       Ti        Tf      G1      G2      G3
   -0.512    -0.510    4.03    1.00    0.00
   -0.510    -0.508    1.00    1.00    0.00
   -0.508    -0.506    0.00    0.00    0.00
   -0.506    -0.504    0.00    0.00    0.00
   -0.504    -0.502    3.03    2.01    1.00
   -0.502    -0.500    2.02    2.02    2.01
   -0.500    -0.498    2.01    1.00    0.00
   -0.498    -0.496    4.03    2.01    0.00
   -0.496    -0.494    4.02    0.00    0.00
   -0.494    -0.492    1.00    0.00    1.00
   -0.492    -0.490    2.01    0.00    2.01
   -0.490    -0.488    4.03    1.00    0.00
   -0.488    -0.486    1.00    1.00    1.00
   -0.486    -0.484    0.00    0.00    0.00
   -0.484    -0.482    1.00    0.00    1.00
   -0.482    -0.480    2.01    1.00    1.00
   -0.480    -0.478    7.09    1.00    1.00
   -0.478    -0.476    0.00    0.00    1.00
   -0.476    -0.474    2.01    1.00    0.00
   -0.474    -0.472    1.00    0.00    0.00
   -0.472    -0.470    0.00    1.00    0.00
   -0.470    -0.468    2.01    1.00    0.00
   -0.468    -0.466    1.01    2.01    1.00
   -0.466    -0.464    3.02    0.00    1.00
   -0.464    -0.462    3.01    0.00    0.00
   -0.462    -0.460    0.00    0.00    0.00
   -0.460    -0.458    0.00    1.00    0.00
   -0.458    -0.456    5.05    1.00    1.00
   -0.456    -0.454    3.01    0.00    0.00
   -0.454    -0.452    1.00    1.00    0.00
   -0.452    -0.450    3.01    0.00    0.00
   -0.450    -0.448    1.01    3.02    0.00
   -0.448    -0.446    4.02    0.00    0.00
   -0.446    -0.444    2.01    1.00    0.00
   -0.444    -0.442    2.01    2.01    1.00
   -0.442    -0.440    1.00    0.00    1.00
   -0.440    -0.438    4.03    1.00    0.00
   -0.438    -0.436    2.01    1.00    0.00
   -0.436    -0.434    0.00    0.00    0.00
   -0.434    -0.432    0.00    1.00    1.00
   -0.432    -0.430    2.01    1.00    1.00
   -0.430    -0.428    3.02    2.01    0.00
   -0.428    -0.426    3.02    1.00    0.00
   -0.426    -0.424    2.01    0.00    0.00
   -0.424    -0.422    4.02    0.00    0.00
   -0.422    -0.420    5.05    0.00    2.01
   -0.420    -0.418    4.02    0.00    0.00
   -0.418    -0.416    0.00    0.00    0.00
   -0.416    -0.414    1.00    0.00    0.00
   -0.414    -0.412    5.04    1.00    0.00
   -0.412    -0.410    0.00    0.00    0.00
   -0.410    -0.408    0.00    0.00    0.00
   -0.408    -0.406    0.00    1.00    0.00
   -0.406    -0.404    0.00    3.04    3.02
   -0.404    -0.402    1.00    0.00    1.00
   -0.402    -0.400    1.00    1.00    0.00
   -0.400    -0.398    2.01    1.00    0.00
   -0.398    -0.396    0.00    0.00    0.00
   -0.396    -0.394    4.02    0.00    0.00
   -0.394    -0.392    5.04    1.00    0.00
   -0.392    -0.390    4.03    1.00    0.00
   -0.390    -0.388    2.01    0.00    0.00
   -0.388    -0.386    0.00    0.00    0.00
   -0.386    -0.384    1.00    0.00    0.00
   -0.384    -0.382    1.00    1.00    1.00
   -0.382    -0.380    0.00    3.04    3.02
   -0.380    -0.378    2.01    2.01    0.00
   -0.378    -0.376    0.00    0.00    0.00
   -0.376    -0.374    2.01    1.00    0.00
   -0.374    -0.372    1.00    0.00    2.01
   -0.372    -0.370    4.04    2.01    1.00
   -0.370    -0.368    1.00    1.00    0.00
   -0.368    -0.366    0.00    1.00    0.00
   -0.366    -0.364    1.00    0.00    0.00
   -0.364    -0.362    1.00    0.00    0.00
   -0.362    -0.360    1.00    0.00    1.00
   -0.360    -0.358    3.01    0.00    0.00
   -0.358    -0.356    1.00    0.00    1.00
   -0.356    -0.354    2.01    0.00    1.00
   -0.354    -0.352    1.00    0.00    1.00
   -0.352    -0.350    2.01    1.00    0.00
   -0.350    -0.348    3.02    1.00    0.00
   -0.348    -0.346    2.01    0.00    0.00
   -0.346    -0.344    0.00    1.00    0.00
   -0.344    -0.342    1.00    0.00    1.00
   -0.342    -0.340    1.00    0.00    0.00
   -0.340    -0.338    3.02    1.00    0.00
   -0.338    -0.336    1.00    0.00    0.00
   -0.336    -0.334    4.04    0.00    3.02
   -0.334    -0.332    3.01    0.00    0.00
   -0.332    -0.330    2.01    0.00    1.00
   -0.330    -0.328    3.02    1.00    0.00
   -0.328    -0.326    2.01    0.00    0.00
   -0.326    -0.324    5.04    0.00    0.00
   -0.324    -0.322    1.01    4.04    1.00
   -0.322    -0.320    1.00    1.00    1.00
   -0.320    -0.318    1.00    1.00    1.00
   -0.318    -0.316    1.00    1.00    0.00
   -0.316    -0.314    4.03    2.01    0.00
   -0.314    -0.312    3.02    0.00    1.00
   -0.312    -0.310    3.02    0.00    1.00
   -0.310    -0.308    1.00    1.00    0.00
   -0.308    -0.306    2.01    0.00    0.00
   -0.306    -0.304    1.00    0.00    1.00
   -0.304    -0.302    0.00    0.00    2.01
   -0.302    -0.300    1.00    0.00    0.00
   -0.300    -0.298    1.00    0.00    1.00
   -0.298    -0.296    2.01    0.00    0.00
   -0.296    -0.294    1.00    0.00    0.00
   -0.294    -0.292    2.01    0.00    0.00
   -0.292    -0.290    0.00    0.00    0.00
   -0.290    -0.288    1.00    1.00    0.00
   -0.288    -0.286    3.02    0.00    1.00
   -0.286    -0.284    2.01    1.00    1.00
   -0.284    -0.282    3.02    1.00    0.00
   -0.282    -0.280    0.00    1.00    0.00
   -0.280    -0.278    1.00    1.00    0.00
   -0.278    -0.276    1.00    1.00    1.00
   -0.276    -0.274    3.03    2.01    1.00
   -0.274    -0.272    2.01    0.00    2.01
   -0.272    -0.270    1.00    1.00    0.00
   -0.270    -0.268    2.01    0.00    2.01
   -0.268    -0.266    1.00    1.00    0.00
   -0.266    -0.264    0.00    2.01    0.00
   -0.264    -0.262    5.04    0.00    1.00
   -0.262    -0.260    4.03    1.00    0.00
   -0.260    -0.258    4.03    0.00    1.00
   -0.258    -0.256    4.04    1.01    2.01
   -0.256    -0.254    4.03    2.01    0.00
   -0.254    -0.252    1.00    1.00    0.00
   -0.252    -0.250    1.00    1.00    0.00
   -0.250    -0.248    2.01    0.00    0.00
   -0.248    -0.246    2.01    0.00    1.00
   -0.246    -0.244    2.01    2.01    0.00
   -0.244    -0.242    1.00    2.01    0.00
   -0.242    -0.240    4.03    1.00    0.00
   -0.240    -0.238    2.01    0.00    0.00
   -0.238    -0.236    2.01    0.00    0.00
   -0.236    -0.234    0.00    0.00    2.01
   -0.234    -0.232    4.02    0.00    0.00
   -0.232    -0.230    1.00    1.00    0.00
   -0.230    -0.228    1.00    0.00    0.00
   -0.228    -0.226    5.04    0.00    1.00
   -0.226    -0.224    2.01    0.00    0.00
   -0.224    -0.222    4.03    1.00    0.00
   -0.222    -0.220    0.00    1.00    0.00
   -0.220    -0.218    2.01    0.00    0.00
   -0.218    -0.216    5.04    0.00    1.00
   -0.216    -0.214    2.01    0.00    0.00
   -0.214    -0.212    2.01    0.00    0.00
   -0.212    -0.210    2.02    2.02    4.04
   -0.210    -0.208    1.00    1.00    1.00
   -0.208    -0.206    3.01    0.00    0.00
   -0.206    -0.204    1.00    1.00    0.00
   -0.204    -0.202    1.00    0.00    1.00
   -0.202    -0.200    2.01    3.02    0.00
   -0.200    -0.198    3.03    3.02    0.00
   -0.198    -0.196    2.01    3.02    0.00
   -0.196    -0.194    2.01    0.00    1.00
   -0.194    -0.192    1.01    3.02    0.00
