       Ti        Tf      G1      G2      G3
   -0.512    -0.510    2.01    0.00    0.00
   -0.510    -0.508    1.00    0.00    0.00
   -0.508    -0.506    1.00    1.00    1.00
   -0.506    -0.504    1.00    0.00    1.00
   -0.504    -0.502    1.00    0.00    0.00
   -0.502    -0.500    4.03    0.00    1.00
   -0.500    -0.498    2.01    0.00    3.02
   -0.498    -0.496    0.00    0.00    0.00
   -0.496    -0.494    2.01    0.00    0.00
   -0.494    -0.492    3.02    0.00    2.01
   -0.492    -0.490    2.01    1.00    0.00
   -0.490    -0.488    1.00    1.00    0.00
   -0.488    -0.486    5.06    2.01    1.00
   -0.486    -0.484    0.00    0.00    4.04
   -0.484    -0.482    0.00    1.00    0.00
   -0.482    -0.480    2.01    0.00    0.00
   -0.480    -0.478    1.00    1.00    1.00
   -0.478    -0.476    1.01    2.01    1.00
   -0.476    -0.474    0.00    0.00    2.01
   -0.474    -0.472    3.01    0.00    0.00
   -0.472    -0.470    1.00    1.00    1.00
   -0.470    -0.468    1.00    1.00    0.00
   -0.468    -0.466    2.01    0.00    0.00
   -0.466    -0.464    3.02    1.00    1.00
   -0.464    -0.462    2.01    2.01    0.00
   -0.462    -0.460    0.00    0.00    0.00
   -0.460    -0.458    4.03    0.00    1.00
   -0.458    -0.456    4.05    3.02    1.00
   -0.456    -0.454    4.03    1.00    0.00
   -0.454    -0.452    0.00    1.00    1.00
   -0.452    -0.450    0.00    0.00    1.00
   -0.450    -0.448    0.00    0.00    0.00
   -0.448    -0.446    1.00    0.00    0.00
   -0.446    -0.444    0.00    1.00    0.00
   -0.444    -0.442    1.00    1.00    1.00
   -0.442    -0.440    1.00    1.00    0.00
   -0.440    -0.438    3.02    1.00    0.00
   -0.438    -0.436    0.00    1.00    0.00
   -0.436    -0.434    3.02    0.00    1.00
   -0.434    -0.432    1.00    0.00    0.00
   -0.432    -0.430    1.00    1.00    0.00
   -0.430    -0.428    5.05    1.00    1.00
   -0.428    -0.426    5.05    2.01    0.00
   -0.426    -0.424    1.00    0.00    1.00
   -0.424    -0.422    2.01    1.00    0.00
   -0.422    -0.420    1.00    0.00    2.01
   -0.420    -0.418    1.00    1.00    0.00
   -0.418    -0.416    1.00    0.00    0.00
   -0.416    -0.414    7.08    0.00    1.00
   -0.414    -0.412    0.00    1.00    1.00
   -0.412    -0.410    1.00    1.00    0.00
   -0.410    -0.408    2.01    1.01    2.01
   -0.408    -0.406    0.00    0.00    0.00
   -0.406    -0.404    1.00    0.00    0.00
   -0.404    -0.402    1.00    1.00    0.00
   -0.402    -0.400    1.00    1.00    0.00
   -0.400    -0.398    2.01    0.00    0.00
   -0.398    -0.396    0.00    0.00    1.00
   -0.396    -0.394    3.02    1.00    1.00
   -0.394    -0.392    3.02    0.00    1.00
   -0.392    -0.390    3.02    0.00    1.00
   -0.390    -0.388    1.01    2.01    1.00
   -0.388    -0.386    4.03    1.00    0.00
   -0.386    -0.384    0.00    0.00    1.00
   -0.384    -0.382    1.00    0.00    0.00
   -0.382    -0.380    2.01    1.00    1.00
   -0.380    -0.378    3.01    0.00    0.00
   -0.378    -0.376    1.01    4.03    0.00
   -0.376    -0.374    4.03    1.00    0.00
   -0.374    -0.372    4.02    0.00    0.00
   -0.372    -0.370    2.01    1.00    0.00
   -0.370    -0.368    2.02    1.01    3.02
   -0.368    -0.366    1.00    0.00    0.00
   -0.366    -0.364    2.01    0.00    1.00
   -0.364    -0.362    3.01    0.00    0.00
   -0.362    -0.360    2.01    1.00    0.00
   -0.360    -0.358    1.00    0.00    1.00
   -0.358    -0.356    1.00    1.00    1.00
   -0.356    -0.354    0.00    1.00    0.00
   -0.354    -0.352    2.01    2.01    0.00
   -0.352    -0.350    2.01    1.00    0.00
   -0.350    -0.348    3.02    1.00    0.00
   -0.348    -0.346    1.01    2.01    1.00
   -0.346    -0.344    2.01    0.00    1.00
   -0.344    -0.342    1.00    0.00    0.00
   -0.342    -0.340    2.01    0.00    2.01
   -0.340    -0.338    1.00    1.00    0.00
   -0.338    -0.336    3.02    1.00    1.00
   -0.336    -0.334    1.00    0.00    1.00
   -0.334    -0.332    1.00    0.00    0.00
   -0.332    -0.330    3.01    0.00    0.00
   -0.330    -0.328    0.00    0.00    1.00
   -0.328    -0.326    0.00    0.00    0.00
   -0.326    -0.324    2.01    0.00    0.00
   -0.324    -0.322    1.00    1.00    0.00
   -0.322    -0.320    2.01    0.00    0.00
   -0.320    -0.318    3.02    2.01    0.00
   -0.318    -0.316    2.01    2.01    1.00
   -0.316    -0.314    1.00    2.01    0.00
   -0.314    -0.312    3.02    1.00    1.00
   -0.312    -0.310    1.00    0.00    1.00
   -0.310    -0.308    2.01    0.00    0.00
   -0.308    -0.306    2.01    1.00    0.00
   -0.306    -0.304    3.02    0.00    1.00
   -0.304    -0.302    1.01    3.02    1.00
   -0.302    -0.300    6.07    2.01    0.00
   -0.300    -0.298    2.01    0.00    1.00
   -0.298    -0.296    0.00    0.00    0.00
   -0.296    -0.294    1.00    0.00    0.00
   -0.294    -0.292    5.04    1.00    0.00
   -0.292    -0.290    6.05    0.00    0.00
   -0.290    -0.288    1.00    1.00    1.00
   -0.288    -0.286    3.01    0.00    0.00
   -0.286    -0.284    3.02    1.00    0.00
   -0.284    -0.282    3.01    0.00    0.00
   -0.282    -0.280    3.02    1.00    1.00
   -0.280    -0.278    3.01    0.00    0.00
   -0.278    -0.276    1.00    1.00    1.00
   -0.276    -0.274    3.01    0.00    0.00
   -0.274    -0.272    3.03    4.03    0.00
   -0.272    -0.270    3.02    1.00    1.00
   -0.270    -0.268    2.01    0.00    1.00
   -0.268    -0.266    1.00    2.01    0.00
   -0.266    -0.264    0.00    3.02    0.00
   -0.264    -0.262    0.00    0.00    0.00
   -0.262    -0.260    3.02    1.00    1.00
   -0.260    -0.258    1.00    1.00    0.00
   -0.258    -0.256    0.00    0.00    0.00
   -0.256    -0.254    4.03    1.00    0.00
   -0.254    -0.252    0.00    0.00    0.00
   -0.252    -0.250    3.02    1.00    0.00
   -0.250    -0.248    2.01    1.00    0.00
   -0.248    -0.246    3.02    1.00    0.00
   -0.246    -0.244    3.01    0.00    0.00
   -0.244    -0.242    1.00    0.00    0.00
   -0.242    -0.240    1.00    1.00    0.00
   -0.240    -0.238    0.00    1.00    0.00
   -0.238    -0.236    1.00    0.00    0.00
   -0.236    -0.234    0.00    1.00    1.00
   -0.234    -0.232    2.01    0.00    0.00
   -0.232    -0.230    1.00    1.00    0.00
   -0.230    -0.228    4.03    0.00    1.00
   -0.228    -0.226    2.01    0.00    0.00
   -0.226    -0.224    0.00    0.00    0.00
   -0.224    -0.222    1.00    0.00    1.00
   -0.222    -0.220    2.01    2.01    0.00
   -0.220    -0.218    3.02    1.00    0.00
   -0.218    -0.216    2.01    0.00    1.00
   -0.216    -0.214    3.02    1.00    0.00
   -0.214    -0.212    1.00    1.00    1.00
   -0.212    -0.210    1.00    1.00    0.00
   -0.210    -0.208    3.02    1.00    1.00
   -0.208    -0.206    3.03    3.02    0.00
   -0.206    -0.204    0.00    1.00    1.00
   -0.204    -0.202    2.01    1.00    1.00
   -0.202    -0.200    0.00    0.00    1.00
   -0.200    -0.198    2.01    0.00    0.00
   -0.198    -0.196    2.01    1.00    0.00
   -0.196    -0.194    0.00    0.00    0.00
   -0.194    -0.192    1.00    0.00    0.00
   -0.192    -0.190    2.02    3.03    2.01
   -0.190    -0.188    0.00    1.00    0.00
   -0.188    -0.186    2.01    0.00    0.00
   -0.186    -0.184    2.01    0.00    1.00
   -0.184    -0.182    3.01    0.00    0.00
   -0.182    -0.180    1.00    1.00    1.00
   -0.180    -0.178    1.00    0.00    0.00
   -0.178    -0.176    6.05    0.00    0.00
   -0.176    -0.174    3.01    0.00    0.00
   -0.174    -0.172    3.01    0.00    0.00
   -0.172    -0.170    0.00    1.00    0.00
   -0.170    -0.168    4.03    1.00    0.00
   -0.168    -0.166    2.01    1.00    0.00
   -0.166    -0.164    1.00    0.00    0.00
   -0.164    -0.162    2.01    0.00    0.00
   -0.162    -0.160    2.01    0.00    0.00
   -0.160    -0.158    3.03    3.02    1.00
   -0.158    -0.156    2.01    0.00    0.00
   -0.156    -0.154    2.01    1.00    0.00
   -0.154    -0.152    0.00    0.00    0.00
   -0.152    -0.150    2.01    1.00    0.00
   -0.150    -0.148    4.02    0.00    0.00
   -0.148    -0.146    2.01    0.00    1.00
   -0.146    -0.144    2.01    0.00    0.00
   -0.144    -0.142    2.01    1.00    0.00
   -0.142    -0.140    2.01    1.00    0.00
   -0.140    -0.138    1.01    3.04    4.04
   -0.138    -0.136    1.00    0.00    1.00
   -0.136    -0.134    3.02    1.00    0.00
   -0.134    -0.132    3.01    0.00    0.00
   -0.132    -0.130    4.03    0.00    1.00
   -0.130    -0.128    2.01    0.00    2.01
   -0.128    -0.126    3.03    0.00    4.04
   -0.126    -0.124    2.01    0.00    1.00
   -0.124    -0.122    0.00    0.00    0.00
   -0.122    -0.120    1.00    1.00    0.00
   -0.120    -0.118    1.00    2.01    0.00
   -0.118    -0.116    1.00    2.01    0.00
   -0.116    -0.114    3.01    0.00    0.00
   -0.114    -0.112    1.00    1.00    0.00
   -0.112    -0.110    2.01    0.00    1.00
   -0.110    -0.108    0.00    1.00    1.00
   -0.108    -0.106    2.01    0.00    0.00
   -0.106    -0.104    1.00    0.00    0.00
   -0.104    -0.102    3.02    0.00    1.00
   -0.102    -0.100    1.00    0.00    0.00
   -0.100    -0.098    3.02    1.00    0.00
   -0.098    -0.096    2.01    2.01    0.00
   -0.096    -0.094    5.06    1.01    2.01
   -0.094    -0.092    3.01    0.00    0.00
   -0.092    -0.090    2.01    0.00    1.00
   -0.090    -0.088    1.00    2.01    0.00
   -0.088    -0.086    1.00    0.00    0.00
   -0.086    -0.084    0.00    2.01    0.00
   -0.084    -0.082    3.02    1.00    1.00
   -0.082    -0.080    1.00    2.01    0.00
   -0.080    -0.078    2.01    1.00    1.00
   -0.078    -0.076    1.00    1.00    0.00
   -0.076    -0.074    2.01    1.00    1.00
   -0.074    -0.072    4.03    0.00    1.00
   -0.072    -0.070    2.01    1.00    0.00
   -0.070    -0.068    0.00    1.00    0.00
   -0.068    -0.066    1.00    1.00    0.00
   -0.066    -0.064    4.03    2.01    0.00
   -0.064    -0.062    5.04    0.00    0.00
   -0.062    -0.060    6.08    3.02    0.00
   -0.060    -0.058    5.05    2.01    0.00
