       Ti        Tf      G1      G2      G3
   -0.512    -0.496   20.12    2.01   10.05
   -0.496    -0.480   14.05    2.00    1.00
   -0.480    -0.464   18.07    1.00    1.00
   -0.464    -0.448   17.08    4.01    1.00
   -0.448    -0.432   21.12    6.03    4.01
   -0.432    -0.416   11.05    3.01    1.00
   -0.416    -0.400   18.13    8.04    7.03
   -0.400    -0.384   11.05    7.03    3.01
   -0.384    -0.368   19.09    1.00    3.01
   -0.368    -0.352   10.04    5.01    3.01
   -0.352    -0.336   13.09    7.07    5.02
   -0.336    -0.320   16.10    8.03    5.02
   -0.320    -0.304   13.05    3.01    3.01
   -0.304    -0.288   19.14    5.01    2.01
   -0.288    -0.272   12.05    4.02    6.03
   -0.272    -0.256   13.07    1.00    5.02
   -0.256    -0.240   16.08    7.04    3.01
   -0.240    -0.224   12.08   12.06    2.01
   -0.224    -0.208   15.10    8.03    4.01
   -0.208    -0.192   17.09    1.00    7.03
   -0.192    -0.176   14.05    4.02    2.01
   -0.176    -0.160   16.09    5.02    6.02
   -0.160    -0.144   12.06    6.04    4.02
   -0.144    -0.128   15.06    5.01    3.01
   -0.128    -0.112   15.08    6.03    4.02
   -0.112    -0.096   14.08    3.02    7.02
   -0.096    -0.080   14.07    6.02    3.01
   -0.080    -0.064   18.11    9.04    2.01
   -0.064    -0.048   10.05    4.03    9.04
   -0.048    -0.032   14.08    7.03    4.02
   -0.032    -0.016   14.08    9.04    3.01
   -0.016     0.000  131.82  207.41   78.52
    0.000     0.016   93.82  242.15  170.79
    0.016     0.032   41.37   90.58   59.23
    0.032     0.048   35.93   72.05   38.68
    0.048     0.064   38.10   83.76   34.49
    0.064     0.080   33.75   58.21   24.22
    0.080     0.096   25.39   50.84   11.05
    0.096     0.112   25.37   47.72    8.04
    0.112     0.128   23.25   26.25    4.01
    0.128     0.144   24.22   20.17    6.03
    0.144     0.160   14.08   11.09    3.01
    0.160     0.176   21.15    5.02    3.01
    0.176     0.192   15.07    9.05    3.01
    0.192     0.208   17.14    6.04    6.02
    0.208     0.224   11.06    8.04    2.01
    0.224     0.240   16.08    6.02    2.01
    0.240     0.256   17.09    8.03    3.01
    0.256     0.272   17.08    3.01    1.00
    0.272     0.288   13.07    7.03    3.01
    0.288     0.304    3.01    3.01    3.01
    0.304     0.320   13.07    5.02    5.02
    0.320     0.336   19.11    4.01    4.01
    0.336     0.352   10.05    6.03    3.01
    0.352     0.368   21.11    4.01    2.01
    0.368     0.384   10.04    2.01    4.01
    0.384     0.400   17.09    6.02    4.02
    0.400     0.416    8.03    6.03    3.01
    0.416     0.432   15.07    5.03    4.02
    0.432     0.448   17.11    4.02    5.02
