adr,dau,pmt,E0_kev,minimum_dt_us
12,4,3,500,1
12,4,3,1000,2
12,4,3,2500,7
12,4,3,3000,7
12,4,3,3500,9
12,4,3,4000,13
12,4,3,4500,13
12,4,3,5000,15
12,4,3,6000,17
12,4,3,6500,17
12,4,3,7000,17
12,4,3,7500,17
12,4,3,10000,19
12,4,3,12500,21
12,4,3,15000,21
12,4,3,20000,23
12,4,3,22500,23
12,4,3,25000,23
12,4,3,27500,23
12,4,3,30000,25
12,4,3,35000,29
12,4,3,40000,45
