tus,erg,typ,adr,dau,det,kev,cal_abc,remove_VD
257777.11111111112,38,0,12,4,3,507.8498,"0.002252, 12.903900, 14.249700",False
258820.11111111112,1041,0,12,4,3,15887.6592,"0.002252, 12.903900, 14.249700",False
261378.77777777775,62,0,12,4,3,822.9482,"0.002252, 12.903900, 14.249700",False
266183.5833333333,158,0,12,4,3,2109.2848,"0.002252, 12.903900, 14.249700",False
266302.52777777775,42,0,12,4,3,560.186,"0.002252, 12.903900, 14.249700",False
267028.27777777775,266,0,12,4,3,3606.0296,"0.002252, 12.903900, 14.249700",False
270570.94444444444,1877,0,12,4,3,32168.9565,"0.002252, 12.903900, 14.249700",False
270664.8611111111,49,0,12,4,3,651.9479,"0.002252, 12.903900, 14.249700",False
270971.5,66,0,12,4,3,875.7168,"0.002252, 12.903900, 14.249700",False
271647.5833333333,1763,0,12,4,3,29763.422,"0.002252, 12.903900, 14.249700",False
273314.94444444444,204,0,12,4,3,2740.3645,"0.002252, 12.903900, 14.249700",False
274386.3333333333,107,0,12,4,3,1420.7501,"0.002252, 12.903900, 14.249700",False
276927.8611111111,1802,0,12,4,3,30579.7809,"0.002252, 12.903900, 14.249700",False
278325.25,105,0,12,4,3,1393.9875,"0.002252, 12.903900, 14.249700",False
279442.6666666667,71,0,12,4,3,941.7789,"0.002252, 12.903900, 14.249700",False
282561.0,2026,0,12,4,3,35401.2815,"0.002252, 12.903900, 14.249700",False
286427.1666666667,1977,0,12,4,3,34327.2673,"0.002252, 12.903900, 14.249700",False
287072.97222222225,56,0,12,4,3,743.9304,"0.002252, 12.903900, 14.249700",False
288903.44444444444,1974,0,12,4,3,34261.8627,"0.002252, 12.903900, 14.249700",False
289054.0,43,0,12,4,3,573.2813,"0.002252, 12.903900, 14.249700",False
289588.52777777775,91,0,12,4,3,1207.1534,"0.002252, 12.903900, 14.249700",False
290870.6666666667,55,0,12,4,3,730.7765,"0.002252, 12.903900, 14.249700",False
292353.94444444444,187,0,12,4,3,2506.0292,"0.002252, 12.903900, 14.249700",False
292413.25,161,0,12,4,3,2150.1517,"0.002252, 12.903900, 14.249700",False
294654.0833333333,54,0,12,4,3,717.6271,"0.002252, 12.903900, 14.249700",False
294931.52777777775,1947,0,12,4,3,33675.0449,"0.002252, 12.903900, 14.249700",False
297361.75,1937,0,12,4,3,33458.5382,"0.002252, 12.903900, 14.249700",False
298680.19444444444,1832,0,12,4,3,31212.4109,"0.002252, 12.903900, 14.249700",False
301090.1388888889,38,0,12,4,3,507.8498,"0.002252, 12.903900, 14.249700",False
302779.1111111111,71,0,12,4,3,941.7789,"0.002252, 12.903900, 14.249700",False
303497.72222222225,32,0,12,4,3,429.4805,"0.002252, 12.903900, 14.249700",False
304699.22222222225,1741,0,12,4,3,29305.934,"0.002252, 12.903900, 14.249700",False
305662.5833333333,46,0,12,4,3,612.5943,"0.002252, 12.903900, 14.249700",False
307721.9166666667,1778,0,12,4,3,30076.5955,"0.002252, 12.903900, 14.249700",False
311142.9166666667,92,0,12,4,3,1220.4694,"0.002252, 12.903900, 14.249700",False
312173.19444444444,1534,0,12,4,3,25108.1396,"0.002252, 12.903900, 14.249700",False
315142.6111111111,112,0,12,4,3,1487.7356,"0.002252, 12.903900, 14.249700",False
317838.30555555556,507,0,12,4,3,7135.4013,"0.002252, 12.903900, 14.249700",False
320487.77777777775,1842,0,12,4,3,31424.1884,"0.002252, 12.903900, 14.249700",False
320567.27777777775,54,0,12,4,3,717.6271,"0.002252, 12.903900, 14.249700",False
324349.27777777775,196,0,12,4,3,2629.9269,"0.002252, 12.903900, 14.249700",False
324427.27777777775,45,0,12,4,3,599.4855,"0.002252, 12.903900, 14.249700",False
325567.05555555556,501,0,12,4,3,7044.3579,"0.002252, 12.903900, 14.249700",False
326861.8611111111,1762,0,12,4,3,29742.5798,"0.002252, 12.903900, 14.249700",False
331202.47222222225,1712,0,12,4,3,28706.2124,"0.002252, 12.903900, 14.249700",False
335828.80555555556,1799,0,12,4,3,30516.7409,"0.002252, 12.903900, 14.249700",False
339531.69444444444,45,0,12,4,3,599.4855,"0.002252, 12.903900, 14.249700",False
340093.3333333333,1784,0,12,4,3,30202.1486,"0.002252, 12.903900, 14.249700",False
340328.05555555556,1796,0,12,4,3,30453.7413,"0.002252, 12.903900, 14.249700",False
341231.8333333333,100,0,12,4,3,1327.1597,"0.002252, 12.903900, 14.249700",False
342267.52777777775,1838,0,12,4,3,31339.4234,"0.002252, 12.903900, 14.249700",False
343487.80555555556,1967,0,12,4,3,34109.4094,"0.002252, 12.903900, 14.249700",False
344302.05555555556,46,0,12,4,3,612.5943,"0.002252, 12.903900, 14.249700",False
