tus,erg,dau,det,a,b,c,keV
-945304.4444444445,25,3,3,-0.003606,24.6944,-0.866357,614.239893
-945304.4166666666,59,1,1,0.005245,8.4154,64.54628,579.312725
-945131.1111111111,46,2,1,0.006566,6.6033,84.98722,402.632676
-944973.4444444445,38,2,1,0.006566,6.6033,84.98722,345.39392399999997
-944973.3888888889,404,2,3,0.004798,9.72422,47.9505,4759.645748
-944973.3611111111,28,1,1,0.005245,8.4154,64.54628,304.28956
-944950.0277777778,41,4,1,0.00306,12.1257,37.1393,539.43686
-944782.6111111111,64,4,2,0.001654,16.4206,-43.19642,1014.496764
-944755.2222222222,1692,3,1,-0.002714,23.1905,0.891068,31469.404172000002
-944221.8888888889,191,2,2,0.004184,11.7314,29.3111,2422.645004
-944108.6944444445,118,2,1,0.006566,6.6033,84.98722,955.601604
-943874.4722222222,205,1,1,0.005245,8.4154,64.54628,2010.124405
-943822.1666666666,1395,2,3,0.004798,9.72422,47.9505,22950.26535
-943822.0833333334,65,4,1,0.00306,12.1257,37.1393,838.2383000000001
-943822.0833333334,334,4,2,0.001654,16.4206,-43.19642,5625.797604
-943822.0833333334,75,4,3,0.002252,12.9039,14.2497,994.7097
-943822.0555555555,99,2,2,0.004184,11.7314,29.3111,1231.7270839999999
-943671.8055555555,51,1,3,0.002895,10.5845,33.544,580.883395
-943258.3055555555,47,1,1,0.005245,8.4154,64.54628,471.656285
-943242.4166666666,1573,2,1,0.006566,6.6033,84.98722,26718.422334
-943156.3333333334,336,3,2,-0.005435,28.0135,-20.6767,8778.26954
-942819.1388888889,50,1,1,0.005245,8.4154,64.54628,498.42877999999996
-942574.3888888889,31,1,2,-0.002817,22.3117,-7.48475,681.470813
-942358.4722222222,54,1,1,0.005245,8.4154,64.54628,534.2723
-942259.1944444445,1610,3,1,-0.002714,23.1905,0.891068,30302.636668000003
-942259.0833333334,62,4,3,0.002252,12.9039,14.2497,822.948188
-942259.0833333334,71,1,3,0.002895,10.5845,33.544,799.637195
-941908.4444444445,22,1,3,0.002895,10.5845,33.544,267.80418000000003
-941774.3611111111,41,1,2,-0.002817,22.3117,-7.48475,902.559573
-941270.5,88,4,2,0.001654,16.4206,-43.19642,1414.6249559999999
-941270.4722222222,320,4,3,0.002252,12.9039,14.2497,4374.1025
-941216.2222222222,138,4,2,0.001654,16.4206,-43.19642,2254.345156
-940808.1111111111,50,2,1,0.006566,6.6033,84.98722,431.56722
-940555.7222222222,31,4,2,0.001654,16.4206,-43.19642,467.43167400000004
-940367.6111111111,568,4,2,0.001654,16.4206,-43.19642,9817.324476
-940171.75,45,4,1,0.00306,12.1257,37.1393,588.9923000000001
-939776.8611111111,1307,3,2,-0.005435,28.0135,-20.6767,27308.634485000002
-939493.5833333334,1630,1,2,-0.002817,22.3117,-7.48475,28876.098949999996
-939493.5,153,1,1,0.005245,8.4154,64.54628,1474.882685
-938673.6388888889,129,4,2,0.001654,16.4206,-43.19642,2102.585194
-938673.6111111111,1219,4,1,0.00306,12.1257,37.1393,19365.40826
-938355.1388888889,82,1,1,0.005245,8.4154,64.54628,789.8764600000001
-937545.25,317,3,3,-0.003606,24.6944,-0.866357,7464.895109000001
-937412.1666666666,1730,2,2,0.004184,11.7314,29.3111,32846.9267
-937273.5833333334,125,4,1,0.00306,12.1257,37.1393,1600.6643000000001
-937273.5833333334,103,4,2,0.001654,16.4206,-43.19642,1665.672666
-937218.0833333334,160,2,1,0.006566,6.6033,84.98722,1309.60482
-937003.8055555555,182,4,3,0.002252,12.9039,14.2497,2437.3547479999997
-937003.75,20,3,1,-0.002714,23.1905,0.891068,463.615468
-936944.2777777778,81,1,1,0.005245,8.4154,64.54628,780.606125
-936805.6388888889,1804,1,1,0.005245,8.4154,64.54628,32315.339799999998
-936521.3611111111,216,2,3,0.004798,9.72422,47.9505,2372.237508
-936347.4166666666,74,1,1,0.005245,8.4154,64.54628,716.0075
-936162.8888888889,188,2,3,0.004798,9.72422,47.9505,2045.6843720000002
-935974.6944444445,1448,3,2,-0.005435,28.0135,-20.6767,29147.285060000006
-935957.5555555555,131,3,2,-0.005435,28.0135,-20.6767,3555.821765
-935899.2777777778,176,2,1,0.006566,6.6033,84.98722,1450.556436
-935840.5,29,3,2,-0.005435,28.0135,-20.6767,787.1439650000001
-935598.0,89,1,3,0.002895,10.5845,33.544,998.4957949999999
-935579.0833333334,19,3,3,-0.003606,24.6944,-0.866357,467.0254770000001
-935507.1388888889,121,1,1,0.005245,8.4154,64.54628,1159.601725
-935409.3611111111,1189,2,1,0.006566,6.6033,84.98722,17218.803006
-935288.6944444445,94,3,2,-0.005435,28.0135,-20.6767,2564.5686400000004
-934895.9444444445,91,2,1,0.006566,6.6033,84.98722,740.260566
-934848.6111111111,1271,1,1,0.005245,8.4154,64.54628,19233.507725
-934772.7222222222,663,3,1,-0.002714,23.1905,0.891068,14183.202302
-934617.3333333334,110,2,3,0.004798,9.72422,47.9505,1175.6705000000002
-934510.75,29,1,1,0.005245,8.4154,64.54628,313.003925
-934465.3333333334,1602,2,2,0.004184,11.7314,29.3111,29560.848236
-934465.1944444445,736,4,2,0.001654,16.4206,-43.19642,12938.330364000001
-934198.6944444445,1508,3,1,-0.002714,23.1905,0.891068,28800.355371999998
-933807.1944444445,70,1,3,0.002895,10.5845,33.544,788.6445
-933664.2222222222,18,3,3,-0.003606,24.6944,-0.866357,442.46449900000005
-933531.0555555555,1942,2,1,0.006566,6.6033,84.98722,37671.371844
-933531.0277777778,1979,1,3,0.002895,10.5845,33.544,32318.366195000002
-933531.0277777778,1702,2,2,0.004184,11.7314,29.3111,32116.381836
-933531.0,1774,4,3,0.002252,12.9039,14.2497,29992.983452
-933530.8888888889,489,1,1,0.005245,8.4154,64.54628,5433.866525
-933530.8611111111,75,2,3,0.004798,9.72422,47.9505,804.25575
-933530.8333333334,43,4,2,0.001654,16.4206,-43.19642,665.9476260000001
-933530.4444444445,147,3,3,-0.003606,24.6944,-0.866357,3551.2883890000003
-933530.4166666666,327,3,2,-0.005435,28.0135,-20.6767,8558.578685
-933519.8888888889,405,1,3,0.002895,10.5845,33.544,4795.118875
-933519.8611111111,167,1,2,-0.002817,22.3117,-7.48475,3640.0058369999997
-931353.9166666666,29,1,1,0.005245,8.4154,64.54628,313.003925
-931293.75,1775,2,1,0.006566,6.6033,84.98722,32492.84847
-931293.6111111111,39,2,2,0.004184,11.7314,29.3111,493.199564
-931255.5833333334,32,1,1,0.005245,8.4154,64.54628,339.20996
-931132.0277777778,101,2,1,0.006566,6.6033,84.98722,818.900286
-931132.0,216,2,2,0.004184,11.7314,29.3111,2758.5022040000003
-931125.9444444445,50,2,1,0.006566,6.6033,84.98722,431.56722
-930933.8333333334,137,4,3,0.002252,12.9039,14.2497,1824.3517880000002
-930792.6944444445,44,3,2,-0.005435,28.0135,-20.6767,1201.39514
-930541.5277777778,1184,3,2,-0.005435,28.0135,-20.6767,25528.219940000006
-930474.5,2104,1,3,0.002895,10.5845,33.544,35118.96432000001
-930474.3611111111,71,1,2,-0.002817,22.3117,-7.48475,1562.4454529999998
-930474.3333333334,296,2,3,0.004798,9.72422,47.9505,3346.701188
-930474.3055555555,271,2,1,0.006566,6.6033,84.98722,2356.695126
-930474.3055555555,903,1,1,0.005245,8.4154,64.54628,11940.472685
-930474.3055555555,113,2,2,0.004184,11.7314,29.3111,1408.384796
-930446.8888888889,52,1,1,0.005245,8.4154,64.54628,516.32956
-930337.2222222222,22,3,1,-0.002714,23.1905,0.891068,509.76849200000004
-929944.9722222222,897,1,3,0.002895,10.5845,33.544,11857.183555
-929903.5277777778,21,3,1,-0.002714,23.1905,0.891068,486.694694
-929766.25,1775,1,3,0.002895,10.5845,33.544,27942.090875
-929626.1388888889,147,3,1,-0.002714,23.1905,0.891068,3351.2477419999996
-929457.1666666666,263,1,1,0.005245,8.4154,64.54628,2640.587885
-929400.25,44,2,3,0.004798,9.72422,47.9505,485.10510800000003
-929400.2222222222,40,2,2,0.004184,11.7314,29.3111,505.2615
-929382.8888888889,1720,2,1,0.006566,6.6033,84.98722,30867.51762
-929382.8333333334,1768,1,3,0.002895,10.5845,33.544,27796.200480000003
-929382.8055555555,1463,3,2,-0.005435,28.0135,-20.6767,29330.168285000003
-929382.7222222222,126,2,3,0.004798,9.72422,47.9505,1349.3752680000002
-929382.7222222222,1171,3,1,-0.002714,23.1905,0.891068,23435.418494
-929365.0,32,2,1,0.006566,6.6033,84.98722,303.01640399999997
-929304.1944444445,1805,4,3,0.002252,12.9039,14.2497,30642.8615
-929304.0555555555,56,1,2,-0.002817,22.3117,-7.48475,1233.1363379999998
-929304.0555555555,19,3,3,-0.003606,24.6944,-0.866357,467.0254770000001
-929304.0277777778,24,3,2,-0.005435,28.0135,-20.6767,648.5167400000001
-929302.3888888889,150,1,3,0.002895,10.5845,33.544,1686.3565
-928774.5277777778,1784,2,2,0.004184,11.7314,29.3111,34274.361404
-928733.8055555555,175,2,2,0.004184,11.7314,29.3111,2210.4411000000005
-928348.2777777778,73,2,3,0.004798,9.72422,47.9505,783.387102
-928014.0833333334,31,2,2,0.004184,11.7314,29.3111,397.00532400000003
-927972.2777777778,1917,1,3,0.002895,10.5845,33.544,30962.834155
-927972.2777777778,1746,1,2,-0.002817,22.3117,-7.48475,30361.073878
-927972.1388888889,555,2,1,0.006566,6.6033,84.98722,5772.31087
-927915.4166666666,1169,4,1,0.00306,12.1257,37.1393,18393.75926
-927618.25,30,3,3,-0.003606,24.6944,-0.866357,736.7202430000001
-927591.6388888889,36,4,3,0.002252,12.9039,14.2497,481.708692
-927547.8611111111,284,1,2,-0.002817,22.3117,-7.48475,6101.830098
-927303.75,477,2,1,0.006566,6.6033,84.98722,4728.7167340000005
-927300.2777777778,67,3,3,-0.003606,24.6944,-0.866357,1637.471109
-926848.1666666666,1156,2,3,0.004798,9.72422,47.9505,17700.888948
-926633.8055555555,240,4,2,0.001654,16.4206,-43.19642,3993.0179799999996
-926633.4722222222,147,1,3,0.002895,10.5845,33.544,1652.023555
-926534.6111111111,39,2,3,0.004798,9.72422,47.9505,434.492838
-926284.6111111111,150,2,3,0.004798,9.72422,47.9505,1614.5384999999999
-926002.6111111111,84,4,3,0.002252,12.9039,14.2497,1114.067412
-924299.0833333334,1580,3,1,-0.002714,23.1905,0.891068,29866.651468
-924299.0,1490,4,3,0.002252,12.9039,14.2497,24240.7259
-924298.9722222222,170,1,2,-0.002817,22.3117,-7.48475,3704.0929499999993
-924298.9444444445,150,3,2,-0.005435,28.0135,-20.6767,4059.0607999999997
-923555.6666666666,164,2,1,0.006566,6.6033,84.98722,1344.527556
-923516.6388888889,25,3,1,-0.002714,23.1905,0.891068,578.9573180000001
-923454.3055555555,1771,2,1,0.006566,6.6033,84.98722,32373.303126
-923454.1388888889,47,1,2,-0.002817,22.3117,-7.48475,1034.9423969999998
-923454.1388888889,307,4,1,0.00306,12.1257,37.1393,4048.1311399999995
-923454.1388888889,536,2,3,0.004798,9.72422,47.9505,6638.578628
-923454.1111111111,148,1,3,0.002895,10.5845,33.544,1663.4620800000002
-923042.8333333334,34,1,3,0.002895,10.5845,33.544,396.76361999999995
-922292.7222222222,1820,1,1,0.005245,8.4154,64.54628,32754.112279999998
-922292.5555555555,216,2,1,0.006566,6.6033,84.98722,1817.643316
-922292.5555555555,252,4,3,0.002252,12.9039,14.2497,3409.0435079999997
-922292.5555555555,362,1,2,-0.002817,22.3117,-7.48475,7700.199701999999
-922292.5555555555,265,4,2,0.001654,16.4206,-43.19642,4424.4147299999995
-921939.1666666666,61,2,3,0.004798,9.72422,47.9505,658.9812780000001
-921918.1666666666,1751,2,3,0.004798,9.72422,47.9505,31785.732518000004
-921918.0277777778,1183,2,2,0.004184,11.7314,29.3111,19763.019276
-921789.5,24,1,2,-0.002817,22.3117,-7.48475,526.3734579999999
-921116.0555555555,281,4,1,0.00306,12.1257,37.1393,3686.08166
-921053.75,78,3,3,-0.003606,24.6944,-0.866357,1903.357939
-920931.1111111111,16,3,3,-0.003606,24.6944,-0.866357,393.32090700000003
-920537.0555555555,156,1,3,0.002895,10.5845,33.544,1755.17872
-920537.0555555555,38,2,2,0.004184,11.7314,29.3111,481.145996
-920148.3888888889,1891,1,1,0.005245,8.4154,64.54628,34733.563525
-920148.3333333334,1676,1,2,-0.002817,22.3117,-7.48475,29474.039057999995
-920148.3055555555,1689,1,3,0.002895,10.5845,33.544,26169.391795000003
-920148.25,127,2,1,0.006566,6.6033,84.98722,1029.509334
-920106.8611111111,242,2,1,0.006566,6.6033,84.98722,2067.517044
-919857.2777777778,1862,1,1,0.005245,8.4154,64.54628,33918.666860000005
-919857.1944444445,1549,1,2,-0.002817,22.3117,-7.48475,27794.225932999998
-919857.1388888889,71,4,1,0.00306,12.1257,37.1393,913.4894600000001
-919857.1111111111,386,1,3,0.002895,10.5845,33.544,4550.50442
-919307.7777777778,1701,2,3,0.004798,9.72422,47.9505,30471.386718
-919173.1944444445,1717,2,1,0.006566,6.6033,84.98722,30780.005694
-918824.8333333334,501,2,3,0.004798,9.72422,47.9505,6124.087518
-918524.2777777778,111,1,3,0.002895,10.5845,33.544,1244.092795
-918524.25,39,4,3,0.002252,12.9039,14.2497,520.927092
-918329.2777777778,39,3,1,-0.002714,23.1905,0.891068,901.192574
-918329.2777777778,420,4,3,0.002252,12.9039,14.2497,5831.1405
-917850.5833333334,77,4,1,0.00306,12.1257,37.1393,988.96094
-917114.5277777778,34,4,2,0.001654,16.4206,-43.19642,517.016004
-916861.0277777778,39,4,3,0.002252,12.9039,14.2497,520.927092
-916622.9444444445,38,1,1,0.005245,8.4154,64.54628,391.90526
-915674.1388888889,38,3,1,-0.002714,23.1905,0.891068,878.211052
-915492.4722222222,1811,2,1,0.006566,6.6033,84.98722,33578.211606000004
-915492.4722222222,1858,2,2,0.004184,11.7314,29.3111,36270.106476
-915492.4444444445,1920,1,3,0.002895,10.5845,33.544,31027.912000000004
-915492.4444444445,1625,4,2,0.001654,16.4206,-43.19642,31007.872330000002
-915492.4166666666,1577,2,3,0.004798,9.72422,47.9505,27315.330782
-915492.3055555555,497,4,1,0.00306,12.1257,37.1393,6819.459739999999
-915492.2777777778,59,4,3,0.002252,12.9039,14.2497,783.419012
-915358.1111111111,126,2,1,0.006566,6.6033,84.98722,1021.244836
-915351.2777777778,241,3,2,-0.005435,28.0135,-20.6767,6414.906565
-915308.0833333334,56,1,3,0.002895,10.5845,33.544,635.3547199999999
-915260.8055555555,43,4,3,0.002252,12.9039,14.2497,573.281348
-915260.7777777778,631,4,2,0.001654,16.4206,-43.19642,10976.760474
-914870.25,45,4,3,0.002252,12.9039,14.2497,599.4855
