tus,dau,det,typ,erg
-510533,0,0,0,57
-510312,2,2,0,80
-510312,0,1,0,1108
-509673,3,1,0,57
-509550,3,0,0,1327
-509550,3,1,0,51
-509161,3,1,0,44
-508846,0,2,0,132
-508690,2,2,0,1372
-508530,1,1,0,108
-508471,1,1,0,188
-508471,0,1,0,100
-508460,2,2,0,31
-508246,0,2,0,2049
-508246,1,0,0,131
-508246,2,0,0,49
-508246,0,1,0,32
-508024,3,0,0,42
-507629,1,1,0,171
-507570,1,0,0,1666
-507564,1,0,3,20
-507563,1,0,1,624
-507563,1,1,0,254
-507563,1,2,0,1266
-507554,3,0,0,1791
-507534,3,2,0,1791
-507534,2,1,0,102
-507534,0,2,0,79
-507534,3,0,0,116
-507127,1,1,0,31
-507126,1,2,0,1083
-506837,0,1,0,248
-506777,0,2,0,41
-506689,3,0,0,42
-506614,3,1,0,34
-506614,3,2,0,68
-506374,1,0,0,52
-506319,3,2,0,171
-506315,1,2,0,1818
-506315,1,1,0,89
-506287,0,0,0,1896
-506191,3,2,0,64
-506147,0,1,0,1631
-505930,0,0,0,47
-505901,2,1,0,19
-505731,2,1,0,59
-505731,2,2,0,182
-505521,1,2,0,161
-505200,0,2,0,129
-504785,0,0,0,1818
-504785,2,1,0,1390
-504785,3,1,0,104
-504785,0,1,0,1280
-504671,0,0,0,1344
-504671,0,1,0,290
-503959,2,2,0,1746
-503959,2,1,0,86
-503888,0,1,0,29
-503510,0,0,0,956
-503450,0,0,0,335
-503371,1,1,0,167
-503267,1,0,0,61
-503012,3,0,0,46
-502843,3,1,0,32
-502843,3,2,0,566
-502319,0,2,0,52
-502050,2,0,0,32
-501800,0,0,0,127
-501713,0,1,0,77
-501713,0,2,0,65
-501638,3,0,0,78
-501515,0,2,0,223
-501444,3,0,0,31
-501098,2,1,0,20
-501098,0,1,0,21
-501098,0,2,0,292
-500706,2,2,0,1527
-500253,2,0,0,18
-500033,0,1,0,1826
-500033,0,0,0,22
-499428,2,1,0,1451
-499396,3,2,0,1490
-499396,3,1,0,71
-499096,3,0,0,1718
-499053,0,1,0,44
-499018,2,1,0,33
-498694,0,0,0,1875
-498694,0,1,0,195
-498432,2,0,0,105
-498432,3,2,0,35
-498352,2,0,0,83
-498253,3,0,0,1823
-498224,0,1,0,28
-497770,1,2,0,231
-496704,2,2,0,34
-496282,1,1,0,40
-496049,3,1,0,131
-495931,0,1,0,1649
-495930,0,0,0,1165
-495860,3,2,0,38
-495812,0,2,0,68
-495570,0,1,0,1438
-495570,1,0,0,142
-495570,3,1,0,33
-495570,0,2,0,226
-495570,0,0,0,42
-495388,1,2,0,34
-495193,1,2,0,1718
-495193,1,1,0,1144
-495104,3,1,0,162
-494942,0,2,0,25
-494942,0,0,0,157
-494598,2,1,0,25
-494432,1,0,0,271
-493827,2,2,0,1459
-493377,3,1,0,263
-492806,3,1,0,41
-492718,1,2,0,38
-492354,0,0,0,1891
-492207,2,0,0,35
-492185,2,0,0,40
-492185,0,2,0,47
-492141,1,1,0,1179
-492097,2,2,0,27
-491893,0,0,0,75
-491791,0,0,0,347
-491774,1,2,0,48
-491600,1,2,0,153
-491351,3,1,0,65
-491351,3,0,0,625
-491118,1,2,0,1464
-490827,3,2,0,1792
-490827,2,1,0,29
-490827,2,2,0,175
-490692,2,0,0,35
-490176,1,1,0,38
-489982,3,1,0,40
-489982,3,2,0,669
-489883,2,1,0,63
-489679,1,0,0,294
-489662,1,2,0,1712
