tus,dau,det,typ,erg
-99900,0,1,0,136
-99570,0,1,0,210
-98712,0,0,0,1790
-98593,0,2,0,1917
-98520,3,1,0,1725
-98402,3,2,0,1709
-98343,2,2,0,1581
-98218,0,2,0,1880
-98089,3,0,0,92
-98018,1,2,0,421
-97653,0,2,0,47
-97545,0,2,0,50
-97472,1,0,0,172
-97336,0,0,0,100
-97304,1,2,0,56
-97219,0,0,0,387
-97219,2,1,0,21
-97175,2,2,0,59
-97090,1,2,0,101
-97071,1,1,0,92
-97071,2,0,0,221
-97071,3,1,0,70
-97071,3,2,0,58
-97071,3,0,0,34
-97067,3,0,0,232
-96834,0,1,0,25
-96834,2,2,0,26
-96831,2,0,0,23
-96646,1,0,0,190
-96646,1,1,0,558
-96556,2,0,0,156
-96546,0,0,0,31
-96197,0,0,0,31
-96197,1,1,0,41
-95951,1,2,0,42
-95951,1,1,0,76
-95857,2,1,0,21
-95832,1,1,0,105
-95598,0,0,0,1818
-95506,0,2,0,42
-95506,1,0,0,57
-95395,1,2,0,1709
-95395,1,1,0,96
-95389,0,0,0,45
-95329,3,0,0,56
-95214,0,1,0,1560
-95170,2,1,0,384
-94623,3,0,0,1716
-94535,1,1,0,100
-94472,1,0,0,173
-94378,0,2,0,1614
-94378,1,0,0,868
-94378,2,0,0,32
-94378,0,0,0,22
-94356,0,0,0,358
-93709,0,0,0,1925
-93294,1,2,0,70
-93294,1,1,0,1651
-92941,0,2,0,1980
-92941,0,0,0,1879
-92941,0,1,0,1777
-92664,1,2,0,110
-92522,3,1,0,399
-92522,3,0,0,31
-92442,2,2,0,70
-92074,3,2,0,98
-91897,0,0,0,438
-91897,0,1,0,66
-91345,3,1,0,1558
-91345,3,0,0,46
-91279,0,2,0,55
-91279,0,1,0,71
-91221,0,1,0,32
-91070,1,1,0,1883
-91070,3,2,0,1704
-91070,1,0,0,1745
-91005,1,0,0,200
-90987,2,1,0,120
-90987,2,2,0,257
-90730,2,2,0,46
-90623,0,0,0,675
-90522,2,1,0,109
-90348,2,1,0,19
-90233,3,2,0,52
-89995,3,1,0,145
-89995,3,2,0,127
-89736,0,0,0,46
-89621,1,1,0,394
-89621,1,0,0,92
-89494,3,1,0,1678
-89494,1,1,0,1655
-89493,2,0,0,19
-89493,1,2,0,417
-89493,3,0,0,46
-89493,1,0,0,151
-89493,3,2,0,1179
-89477,0,2,0,33
-89474,2,1,0,1397
-89474,2,0,0,200
-89259,1,0,0,180
-89259,0,2,0,367
-88982,0,2,0,1490
-88982,1,0,0,1845
-88982,1,1,0,1634
-88685,1,1,0,63
-88669,2,0,0,1862
-88669,3,2,0,1894
-88669,0,2,0,39
-88669,1,1,0,1558
-88669,3,1,0,1328
-88669,0,1,0,34
-88669,1,2,0,121
-88669,1,0,0,315
-88669,3,0,0,691
-88669,0,2,1,250
-88669,0,2,3,38
-88432,3,0,0,1511
-87887,1,0,0,109
-87887,1,1,0,130
-87887,1,2,0,300
-87523,0,0,0,1884
-87356,3,0,0,199
-87220,2,2,0,18
-87208,0,2,0,25
-86974,2,0,0,334
-86921,1,0,0,1747
-86921,0,2,0,244
-86921,1,1,0,1404
-86882,2,2,0,17
-86882,2,1,0,590
-86618,3,0,0,780
-86517,2,1,0,142
-86517,3,2,0,67
-86361,0,1,0,1448
-86263,3,1,0,84
-86263,2,0,0,19
-86263,3,2,0,63
-86205,0,0,0,1732
-86196,3,1,0,1754
-86056,2,1,0,1728
-86056,2,2,0,1707
-86004,0,1,0,86
-85974,3,1,0,1386
-85715,3,2,0,1296
-85715,0,0,0,102
-85715,3,1,0,36
-85207,1,1,0,1716
-85207,3,1,0,1789
-85207,3,2,0,41
-85207,1,2,0,1614
-85207,1,0,0,60
-85207,3,0,0,43
-85167,1,1,0,38
-84903,0,2,0,1875
-84487,0,0,0,138
-84384,2,1,0,1618
-84384,3,1,0,1708
-84384,0,0,0,86
-84384,1,1,0,471
-84384,0,2,0,186
-84384,2,0,0,1640
-84384,3,2,0,705
-84384,2,2,0,33
-84384,3,0,0,123
-84381,2,2,0,18
-84380,3,1,1,233
-84380,3,0,0,46
-84380,3,1,3,75
-84161,0,1,0,109
-84101,3,0,0,162
-83987,1,0,0,1671
-83987,0,2,0,1826
-83893,3,1,0,166
-83858,0,2,0,46
-83835,3,0,0,1079
-83832,3,0,1,373
-83832,3,0,3,44
-83778,1,0,0,38
-83727,2,2,0,26
-83727,2,1,0,36
-83512,0,2,0,1933
-83512,0,0,0,23
-83488,3,0,0,1833
-83488,1,2,0,92
-83488,2,0,0,1647
-83488,2,1,0,21
-83488,3,1,0,1787
-83488,2,2,0,1632
-83488,3,2,0,1952
-83009,3,2,0,1791
-82952,0,1,0,1491
-82952,0,0,0,470
-82671,2,0,0,39
-82482,0,0,0,28
-82482,2,2,0,631
-82476,1,0,0,281
-82390,0,0,0,251
-82077,0,0,0,24
-82077,2,2,0,35
-82060,0,2,0,253
-81869,0,2,0,1623
-81869,1,0,0,1671
-81728,1,1,0,1753
-81728,1,2,0,101
-81709,1,1,0,202
-81463,0,0,0,238
-81423,0,0,0,21
-81240,0,0,0,1734
-81192,0,0,0,32
-81047,3,0,0,105
-80949,0,2,0,1102
-80926,0,2,0,1593
-80925,2,0,0,1397
-80781,1,1,0,42
-80638,2,1,0,44
-80638,2,2,0,18
-80363,0,1,0,29
-80213,0,0,0,1781
-79762,2,1,0,19
-79688,3,1,0,1584
-79545,2,0,0,20
-79404,1,1,0,1036
-79113,2,2,0,17
-79073,3,1,0,923
-79073,3,0,0,269
-79048,2,1,0,1435
-79048,2,2,0,124
-79015,3,0,0,1822
-78536,0,2,0,52
-78536,1,0,0,1693
-78536,3,2,0,228
-78536,1,1,0,1094
-78536,1,2,0,38
-78335,3,0,0,1845
-78331,3,1,0,1658
-78256,0,2,0,1750
-78256,1,2,0,55
-78256,2,0,0,780
-78256,3,2,0,1851
-78256,3,0,0,200
-78256,0,1,0,28
-78256,1,0,0,283
-78256,3,1,0,117
-78124,3,2,0,305
-78051,3,1,0,1628
-78034,1,2,0,78
-78034,3,0,0,33
-77944,3,1,0,62
-77749,1,2,0,664
-77749,2,0,0,50
-77749,3,0,0,1713
-77749,1,0,0,46
-77749,2,2,0,19
-77749,3,1,0,1507
-77749,3,2,0,505
-77749,1,1,0,170
-77711,3,1,0,462
-77570,3,2,0,43
-77470,1,0,0,76
-77351,1,0,0,36
-77121,3,1,0,301
-76824,3,1,0,207
-76575,3,1,0,97
-76216,1,2,0,157
-76209,1,2,0,334
-76110,0,2,0,1927
-76012,2,1,0,19
-76010,1,0,0,56
-76010,3,1,0,32
-76010,2,1,0,60
-76010,3,0,0,461
-76010,1,2,0,107
-76010,2,2,0,16
-75040,2,1,0,1541
-74827,1,0,0,35
-74772,0,0,0,824
-74772,2,1,0,36
-74772,2,2,0,114
-74641,1,2,0,1617
-74483,0,0,0,1645
-74453,0,2,0,1908
-74453,1,0,0,1691
-74453,3,0,0,1789
-74453,1,1,0,426
-74452,3,2,0,869
-74332,0,0,0,34
-74332,2,2,0,92
-74164,1,1,0,32
-74062,1,0,0,31
-73931,3,1,0,46
-73931,0,0,0,32
-73845,3,0,0,93
-73545,2,1,0,24
-73193,3,1,0,1650
-73083,1,0,0,88
-73081,0,1,0,26
-72962,0,0,0,58
-72669,0,0,0,1648
-72514,0,1,0,23
-72432,0,0,0,21
-72299,0,2,0,1937
-72298,1,0,0,59
-72268,1,2,0,1879
-72268,0,2,0,1762
-72268,3,0,0,71
-72268,0,1,0,43
-72268,1,0,0,535
-72268,1,1,0,334
-72125,2,0,0,1596
-72125,3,2,0,1580
-72125,2,1,0,51
-72125,3,0,0,116
-72125,2,2,0,19
-72007,0,1,0,24
-71587,3,0,0,1205
-71495,0,1,0,564
-71495,0,2,0,57
-71390,3,0,0,1898
-71390,3,1,0,732
-71079,3,0,0,39
-70879,1,2,0,31
-70326,2,0,0,31
-70326,3,1,0,39
-70326,3,2,0,252
-70228,3,0,0,1663
-70227,3,1,0,79
-69654,0,0,0,22
-69573,0,1,0,2010
-69573,0,2,0,45
-69473,0,1,0,37
-69473,0,2,0,1509
-68912,3,1,0,31
-68903,0,2,0,23
-68903,1,0,0,171
-68835,0,0,0,26
-68688,0,1,0,262
-68688,0,2,0,25
-68568,0,0,0,266
-68363,1,1,0,61
-68316,0,1,0,1810
-68316,2,2,0,1701
-68040,0,2,0,43
-67881,0,2,0,145
-67870,0,2,0,134
-67870,0,1,0,32
-67786,0,1,0,90
-67319,2,2,0,1777
-67319,0,1,0,31
-67049,1,1,0,350
-67049,2,1,0,168
-67038,1,1,0,41
-67038,3,1,0,93
-66762,2,0,0,21
-66703,1,1,0,31
-66632,2,0,0,1517
-66632,2,1,0,39
-66284,3,2,0,286
-66116,0,2,0,56
-66113,2,1,0,1413
-66113,2,0,0,203
-66097,2,2,0,1581
-66082,2,2,0,67
-66082,2,1,0,17
-66024,1,2,0,48
-66024,1,0,0,189
-66024,1,1,0,774
-65919,3,1,0,47
-65883,3,0,0,1611
-65883,1,2,0,222
-65883,3,1,0,70
-65883,3,2,0,55
-65825,2,0,0,17
-65616,2,1,0,1446
-65586,2,1,0,34
-65441,0,1,0,1625
-65347,2,0,0,47
-65064,2,2,0,16
-64771,3,2,0,48
-64534,0,1,0,84
-64518,0,1,0,33
-64518,1,1,0,102
-64518,1,0,0,41
-64219,3,2,0,55
-64219,3,0,0,107
-64212,3,1,0,780
-64212,3,0,0,268
-64177,1,2,0,210
-64084,1,1,0,65
-64084,2,0,0,22
-64084,3,2,0,1589
-64084,2,1,0,158
-64083,3,0,0,82
-64047,3,1,0,1749
-63856,0,2,0,28
-63736,0,0,0,648
-63733,2,2,0,1493
-63600,0,0,0,37
-63517,1,2,0,60
-63282,2,2,0,1693
-63004,0,1,0,1737
-62852,1,2,0,57
-62841,0,0,0,43
-62841,0,1,0,1057
-62675,1,1,0,1632
-62642,0,1,0,23
-62613,0,2,0,116
-62613,2,1,0,23
-62597,3,0,0,1829
-62597,0,1,0,1870
-62597,1,0,0,1749
-62597,2,2,0,261
-62597,0,2,0,68
-62597,1,2,0,37
-62597,2,1,0,917
-62597,3,1,0,328
-62597,0,0,0,47
-62446,2,0,0,26
-62331,3,0,0,45
-61998,2,2,0,211
-61836,1,0,0,37
-61792,1,0,0,85
-61595,0,1,0,1865
-61595,2,0,0,1560
-61595,0,2,0,1827
-61549,2,0,0,28
-61532,0,0,0,428
-61068,1,0,0,129
-61022,0,0,0,377
-61022,0,2,0,35
-60905,2,0,0,1330
-60905,2,1,0,137
-60662,0,1,0,90
-60662,2,1,0,23
-60625,1,2,0,1722
-60540,0,0,0,386
-60481,0,1,0,23
-60243,1,2,0,87
-60129,0,1,0,95
-60069,1,1,0,37
-59997,1,0,0,327
