tus,dau,det,typ,erg
-469611,0,1,0,27
-469611,2,1,0,44
-469221,0,2,0,1805
-469221,1,0,0,1595
-468945,2,1,0,167
-466100,3,0,0,33
-465780,0,2,0,234
-465780,2,2,0,64
-465780,0,0,0,502
-465400,3,2,0,1876
-464781,1,2,0,33
-463003,3,1,0,39
-462929,0,1,0,39
-462668,3,1,0,204
-462412,0,0,0,234
-462029,2,1,0,16
-460175,3,1,0,52
-460117,1,2,0,213
-459816,0,1,0,126
-459720,0,1,0,144
-459720,0,0,0,35
-459675,1,2,0,111
-458000,3,0,0,84
-458000,3,1,0,72
-457219,1,1,0,676
-456858,0,0,0,118
-456400,0,0,0,243
-456148,1,1,0,148
-454748,1,1,0,44
-454445,0,0,0,87
-454445,2,0,0,129
-454445,2,1,0,274
-454044,3,0,0,33
-453851,2,1,0,42
-453769,2,1,0,53
-453769,2,1,3,39
-453768,2,1,1,71
-452770,2,0,0,23
-452111,3,2,0,33
-451489,3,1,0,36
-450975,0,2,0,584
-450930,0,2,0,70
-450125,2,0,0,34
-450019,1,2,0,62
-449821,0,1,0,37
-448714,0,0,0,49
-448714,1,1,0,62
-447642,0,1,0,27
-447191,2,2,0,23
-446902,1,1,0,35
-446870,0,0,0,1733
-446571,3,0,0,78
-445984,3,0,0,84
-445535,1,0,0,881
-445152,0,0,0,113
-443352,3,0,0,1665
-443312,0,2,0,73
-443296,3,0,0,1730
-442963,0,2,0,154
-442624,2,2,0,1635
-442624,3,1,0,1841
-442624,3,2,0,1881
-442624,2,0,0,1583
-442624,2,1,0,1477
-442624,3,0,0,206
-442572,1,0,0,1756
-441577,1,0,0,184
-440894,2,0,0,81
-440390,2,1,0,39
-438471,0,1,0,21
-435807,0,0,0,125
-435807,1,0,0,64
-435807,0,1,0,481
-435806,2,0,0,17
-435806,0,2,0,23
-435531,0,0,0,326
-435454,3,1,0,47
-434313,0,2,0,30
-433810,0,1,0,47
-433668,0,0,0,184
-433469,1,1,0,32
-433310,1,0,0,1668
-433310,1,1,0,1099
-433224,1,1,0,1036
-432514,2,1,0,1291
-431923,2,1,0,27
-431525,0,2,0,49
-431248,2,0,0,1582
-431234,2,0,0,913
-430655,1,2,0,271
-430512,0,2,0,56
-430512,1,0,0,375
-430290,2,0,0,16
-429789,1,1,0,56
-429426,0,0,0,91
-429372,2,0,0,1363
-429257,1,0,0,330
-429174,1,0,0,38
-428925,1,1,0,256
-427111,1,2,0,53
-426514,3,2,0,171
-425991,1,0,0,33
-425933,2,1,0,34
-425717,0,1,0,1813
-425717,0,2,0,2028
-425717,0,0,0,1900
-425716,1,0,0,129
-425716,2,1,0,230
-425716,2,2,0,593
-425716,2,0,0,125
-424779,1,2,0,1827
-424779,3,1,0,237
-424779,1,1,0,93
-424407,0,0,0,232
-424407,2,2,0,330
-424205,0,0,0,188
-423327,1,2,0,31
-422956,0,1,0,61
-422945,0,1,0,37
-421484,0,0,0,280
-421447,2,0,0,53
-420663,1,0,0,1870
-420663,0,2,0,1925
-420663,1,1,0,1669
-420663,1,2,0,191
-419630,0,0,0,1495
-419630,2,2,0,51
-419196,0,0,0,95
-418824,2,1,0,21
-418824,2,2,0,635
-418433,2,0,0,31
-418382,1,1,0,579
-417574,2,2,0,1741
-417574,0,0,0,141
-416458,2,0,0,18
-415869,0,0,0,28
-415867,2,2,0,39
-415356,3,0,0,164
-415336,2,1,0,17
-415045,1,2,0,72
-413703,0,2,0,64
-413703,1,0,0,337
-413023,1,1,0,109
-411896,1,2,0,90
-411179,0,2,0,32
-411010,0,1,0,51
-410865,3,1,0,86
-410416,0,1,0,114
-410072,1,1,0,56
-409325,3,2,0,1084
-408846,0,1,0,24
-408319,2,0,0,141
-408300,3,0,0,648
-407089,2,1,0,95
-406751,1,2,0,1743
-406217,1,0,0,51
-404448,0,2,0,24
-404087,1,2,0,34
-403513,1,0,0,1694
-403507,0,2,0,31
-403392,0,2,0,80
-403042,2,2,0,38
-401966,3,2,0,38
-401932,2,2,0,38
-401479,3,1,0,45
-401479,3,2,0,35
-401350,0,1,0,26
-400936,1,1,0,146
-400528,0,0,0,29
-400204,0,2,0,157
-400204,0,0,0,23
-400204,0,1,0,880
-400119,2,0,0,70
-400078,2,0,0,24
-397934,1,2,0,120
-397567,2,2,0,106
-397385,1,0,0,64
-395957,3,0,0,761
-394829,3,0,0,34
-394697,3,0,0,1062
-393656,0,0,0,58
-393656,2,1,0,956
-393656,3,1,0,1710
-393656,3,2,0,1808
-393323,0,0,0,1925
-393323,1,0,0,1766
-393323,0,1,0,1874
-393323,0,2,0,2300
-393322,2,0,0,79
-393322,3,2,0,184
-393083,2,2,0,20
