tus,dau,det,typ,erg
-148433,2,0,0,1396
-148394,2,1,0,34
-148265,0,0,0,134
-148007,0,2,0,24
-147786,3,2,0,2079
-147786,1,0,0,1858
-147786,2,0,0,1547
-147786,1,1,0,1634
-147786,2,1,0,1388
-147786,3,0,0,1745
-147786,3,1,0,1573
-147785,0,2,0,446
-147785,1,2,0,48
-147487,3,1,0,1553
-147487,1,0,0,38
-147330,1,1,0,31
-146822,1,2,0,461
-146755,1,0,0,1440
-146439,1,0,0,1665
-146439,3,2,0,1850
-146320,2,2,0,28
-145926,3,2,0,2220
-145925,1,0,0,47
-145925,2,0,0,130
-145925,3,1,0,60
-145781,0,0,0,58
-145641,3,1,0,1663
-145132,0,0,0,1491
-145132,2,1,0,81
-144631,1,1,0,63
-144607,2,0,0,39
-144607,2,1,0,44
-144354,0,1,0,34
-144331,1,0,0,162
-144331,0,1,0,24
-143829,2,0,0,16
-143348,0,1,0,141
-143348,3,0,0,41
-142220,0,0,0,101
-142220,1,2,0,179
-142219,1,2,3,53
-142218,1,2,1,164
-141715,3,0,0,1640
-141548,3,0,0,153
-141272,0,0,0,801
-140718,1,2,0,50
-140456,3,0,0,153
-140432,3,0,0,166
-140208,0,0,0,78
-139426,1,1,0,33
-139396,0,0,0,118
-139396,0,1,0,103
-139327,3,1,0,1626
-139327,0,2,0,82
-139327,3,0,0,1648
-139327,3,2,0,32
-138815,0,2,0,290
-138815,2,2,0,1189
-138259,1,0,0,37
-137960,2,1,0,25
-137960,2,0,0,16
-137479,1,2,0,1752
-137478,3,1,0,1576
-137478,2,2,0,75
-137478,1,1,0,1457
-137478,2,0,0,325
-137478,3,2,0,206
-137308,2,1,0,88
-137308,2,0,0,21
-137030,2,0,0,29
-136577,2,2,0,1603
-135811,0,0,0,44
-135772,0,2,0,104
-135020,0,1,0,1771
-135020,1,0,0,552
-135020,0,2,0,1539
-135020,0,0,0,1768
-134826,0,2,0,1913
-134826,1,0,0,1714
-134826,0,0,0,1219
-134826,1,1,0,1798
-134826,0,1,0,1727
-134826,1,2,0,1690
-134823,0,0,3,59
-134822,0,0,1,382
-133928,1,1,0,87
-132465,0,1,0,31
-132292,1,2,0,1789
-132160,3,1,0,35
-132099,1,0,0,35
-131603,2,1,0,1771
-131603,3,0,0,1860
-131603,0,0,0,196
-131603,1,0,0,288
-131603,2,2,0,1862
-131603,3,1,0,1699
-131603,1,1,0,41
-131603,2,0,0,1581
-131603,3,2,0,1757
-131595,2,2,1,83
-131595,2,2,3,79
-131594,2,2,1,80
-131594,2,2,3,77
-131299,2,1,0,21
-130770,0,0,0,341
-129540,1,2,0,55
-129476,0,2,0,115
-129292,1,1,0,126
-129105,2,0,0,19
-128923,0,0,0,118
-128886,1,0,0,1721
-128886,0,2,0,1699
-128886,2,0,0,398
-128886,0,0,0,449
-128886,1,2,0,1025
-128886,2,1,0,16
-128886,0,1,0,35
-128886,1,1,0,1092
-128709,1,1,0,36
-128306,1,0,0,52
-127705,1,1,0,35
-127147,3,2,0,118
-127136,2,2,0,675
-126877,3,1,0,70
-126877,3,2,0,38
-126281,0,2,0,52
-126253,3,0,0,156
-126064,0,2,0,1458
-126064,0,1,0,243
-125666,3,2,0,193
-125573,0,0,0,214
-125220,0,2,0,22
-124776,1,0,0,1707
-124776,3,0,0,1757
-124776,1,1,0,1660
-124592,0,1,0,1629
-124592,0,2,0,1340
-124592,0,0,0,121
-124260,0,1,0,356
-124260,3,1,0,140
-124260,0,2,0,141
-124260,0,0,0,60
-123741,2,1,0,25
-123734,1,2,0,353
-123469,1,1,0,1214
-123329,2,0,0,33
-123295,3,1,0,34
-123161,3,1,0,38
-123088,0,1,0,64
-122569,1,2,0,1834
-122569,3,0,0,1705
-122569,3,1,0,33
-122302,0,0,0,109
-122241,1,2,0,87
-122081,1,2,0,34
-121993,2,1,0,37
-121529,0,2,0,2045
-121529,1,2,0,1907
-121529,2,0,0,1690
-121529,3,0,0,2142
-121529,1,0,0,1863
-121529,3,1,0,1887
-121529,0,1,0,35
-121529,2,1,0,1629
-121529,0,0,0,140
-121529,1,1,0,1823
-121529,2,2,0,1577
-121529,3,2,0,1920
-121527,1,0,3,74
-121526,1,0,1,138
-121513,3,0,0,84
-121467,0,2,0,192
-121210,0,2,0,43
-121210,3,0,0,72
-121156,3,0,0,1647
-120773,1,1,0,48
-120773,1,2,0,36
-119822,2,2,0,1616
-119788,2,2,0,92
-119788,3,2,0,651
-119788,2,0,0,800
-119788,2,1,0,18
-119027,2,0,0,74
-118733,3,2,0,2011
-118733,2,0,0,49
-118733,3,1,0,67
-118731,0,2,0,1980
-118731,1,2,0,1828
-118731,2,0,0,1614
-118731,0,1,0,88
-118731,1,1,0,1698
-118731,3,0,0,34
-118731,2,1,0,1774
-118731,1,0,0,314
-118731,2,2,0,298
-118632,3,0,0,31
-118594,3,1,0,36
-118088,1,1,0,1685
-118088,1,2,0,109
-118031,2,0,0,29
-117403,2,1,0,134
-116917,3,1,0,69
-116606,2,2,0,66
-116444,2,0,0,1245
-116325,2,2,0,25
-116324,2,2,3,8
-116323,1,0,0,197
-116323,2,2,1,88
-116323,2,0,0,65
-116323,2,1,0,380
-116174,0,2,0,2079
-116174,1,0,0,1574
-116174,2,2,0,63
-116174,3,0,0,1483
-116174,0,1,0,1836
-116174,3,2,0,34
-116173,0,0,0,311
-116121,0,0,0,107
-116121,1,0,0,164
-116121,2,1,0,37
-116121,2,2,0,696
-116042,2,0,0,34
-116042,2,2,0,25
-115787,2,0,0,190
-115463,2,2,0,50
-115134,1,0,0,485
-115050,3,1,0,1640
-115050,3,0,0,1755
-114478,3,0,0,77
-114099,2,2,0,35
-114099,3,1,0,64
-114099,0,0,0,64
-114099,0,1,0,232
-112842,2,2,0,38
-112682,0,1,0,57
-112682,2,1,0,17
-112208,3,2,0,37
-111749,0,0,0,221
-111568,0,2,0,26
-111478,1,1,0,1571
-111478,1,2,0,47
-110929,3,1,0,185
-110332,1,1,0,53
-110332,1,0,0,197
-109679,3,0,0,2040
-109679,1,1,0,48
-109679,2,0,0,16
-109679,3,1,0,1563
-109679,1,0,0,66
-109654,0,0,0,235
-109611,2,2,0,62
-109232,0,0,0,44
-108573,2,2,0,17
-108573,3,0,0,35
-108573,2,0,0,125
-108573,3,2,0,278
-108573,2,1,0,23
-108572,0,2,0,42
-108572,1,0,0,84
-108480,2,0,0,294
-107677,0,2,0,45
-107522,1,1,0,38
-107520,0,1,0,130
-107501,1,1,0,56
-106984,1,0,0,382
-106776,2,2,0,43
-106776,0,0,0,264
-106642,3,2,0,69
-106332,2,1,0,20
-106005,0,2,0,771
-106005,3,2,0,1420
-105311,2,2,0,20
-105255,3,0,0,77
-104690,3,2,0,60
-104417,1,0,0,1784
-104417,3,2,0,277
-104417,1,1,0,53
-104417,3,1,0,35
-104283,0,0,0,461
-104228,0,2,0,35
-102734,0,2,0,157
-102734,3,1,0,694
-102667,3,0,0,315
-102297,3,0,0,54
-102297,0,2,0,46
-101991,0,0,0,400
-101970,0,1,0,1534
-101827,0,2,0,694
-101827,1,0,0,416
-101827,1,1,0,87
-101568,3,2,0,1379
-101392,1,0,0,1448
-101392,3,2,0,1754
-101392,0,2,0,46
-101392,2,0,0,151
-101392,1,1,0,34
-100859,0,2,0,27
-100091,1,1,0,69
-99519,3,0,0,86
-99034,1,0,0,498
-98018,1,2,0,1572
-97963,2,2,0,29
-97934,2,2,0,47
-97902,2,2,0,69
-97874,0,2,0,46
-97583,1,2,0,129
-97433,2,2,0,262
-97289,2,1,0,25
-96422,2,2,0,25
-96380,0,2,0,91
-96210,1,0,0,33
-96168,0,0,0,78
-95963,2,2,0,29
-95661,3,0,0,643
-95661,3,1,0,45
-95635,3,1,0,70
-95502,1,0,0,645
-94699,0,2,0,1689
-94699,1,1,0,364
-94699,2,2,0,40
-94699,0,1,0,1038
-94699,2,1,0,21
-94699,0,0,0,63
-94174,3,2,0,38
-93411,0,0,0,59
-92956,1,0,0,89
-92688,0,0,0,23
-92463,2,2,0,1419
-92463,2,0,0,29
-92240,1,2,0,166
-90413,3,0,0,102
-90379,0,0,0,35
-89902,3,1,0,35
-89796,1,1,0,38
-89537,3,1,0,1731
-89537,3,0,0,1771
-89200,0,0,0,95
-89054,2,0,0,36
-89054,3,2,0,1642
-88873,3,0,0,40
-88826,0,0,0,1914
-88094,0,0,0,30
-87865,3,0,0,159
-87851,2,1,0,19
-86969,0,2,0,2015
-86695,0,2,0,458
-86695,1,0,0,1599
-86695,1,1,0,436
-86694,3,2,0,70
-86694,0,1,0,25
-85928,0,0,0,520
-85784,1,0,0,68
-85331,2,1,0,188
-85331,2,2,0,61
-84229,2,1,0,133
-84136,1,2,0,33
-84083,1,1,0,1701
-84083,1,2,0,109
-84083,1,0,0,1695
-84082,0,1,0,187
-84082,3,1,0,36
-84082,0,2,0,260
-84082,0,0,0,33
-83926,0,2,0,1954
-83926,1,0,0,1790
-83926,3,2,0,1602
-83926,1,2,0,54
-83926,3,1,0,364
-83926,1,1,0,502
-83718,3,2,0,58
-83702,2,0,0,18
-83650,0,0,0,1809
-83650,2,0,0,50
-83582,0,0,0,50
-83523,0,2,0,74
-83478,3,0,0,97
-82604,1,1,0,38
-82604,1,2,0,113
-82602,1,0,0,1464
-81938,2,0,0,38
-81938,2,1,0,16
-81784,0,0,0,175
-81784,1,0,0,89
-81784,2,1,0,17
-81654,0,0,0,69
-81439,2,2,0,20
-81031,0,2,0,34
-80770,2,1,0,82
-80585,2,1,0,1647
-80553,2,1,0,63
-80224,0,1,0,22
-79880,2,2,0,19
-79746,0,0,0,1388
-79428,0,2,0,1968
-79428,1,0,0,41
-79215,1,0,0,241
-78671,2,1,0,1170
-78671,2,0,0,74
-78409,3,2,0,47
-78409,2,0,0,121
-78268,3,0,0,1944
-78267,1,0,0,43
-78267,1,2,0,252
-78267,3,1,0,1380
-78212,0,1,0,25
-77926,3,0,0,32
-77348,0,0,0,38
-77280,1,0,0,1341
-77280,0,2,0,672
-76284,1,0,0,1903
-76284,0,2,0,2078
-76284,3,1,0,69
-76284,0,1,0,60
-76284,1,1,0,134
-76284,1,2,0,102
-75841,2,2,0,46
-75561,0,2,0,82
-75222,1,0,0,282
-75222,2,1,0,1628
-75222,0,1,0,124
-75222,2,0,0,957
-75222,1,2,0,148
-74930,1,0,0,177
-74911,2,1,0,1414
-74910,0,1,0,155
-74483,1,0,0,40
-74224,0,1,0,47
-74224,1,1,0,370
-74224,2,0,0,19
-74082,2,1,0,27
-74059,0,2,0,125
-74059,0,1,0,40
-73942,1,0,0,31
-73765,0,0,0,24
-73303,3,0,0,33
-72887,1,2,0,547
-72284,1,2,0,1978
-72284,2,1,0,24
-72284,3,0,0,1230
-72284,1,0,0,1721
-72284,3,1,0,94
-72284,1,1,0,1624
-72284,3,2,0,32
-71748,3,2,0,71
-71703,2,2,0,65
-71660,1,1,0,104
-71215,1,2,0,71
-71148,1,0,0,101
-71148,1,1,0,35
-71064,3,1,0,215
-70166,0,2,0,27
-69500,1,2,0,1728
-69364,3,0,0,86
-68832,1,2,0,1647
-68832,1,1,0,1171
-67912,0,1,0,236
-67912,0,0,0,844
-67072,1,0,0,1710
-67004,0,0,0,23
-66539,3,1,0,184
-66538,1,0,0,638
-65584,0,0,0,41
-65501,2,1,0,1524
-65501,1,2,0,109
-65501,3,0,0,216
-65501,1,1,0,31
-65501,2,0,0,32
-65501,3,1,0,488
-65501,2,2,0,30
-65501,3,2,0,56
-65353,2,1,0,108
-65353,2,2,0,62
-65211,2,0,0,21
-65180,3,0,0,1529
-65003,2,1,0,31
-64935,3,1,0,158
-64520,3,2,0,1839
-64520,0,2,0,1898
-64520,1,0,0,194
-64520,2,2,0,92
-64520,3,0,0,1724
-64520,0,0,0,31
-64520,2,0,0,114
-64520,0,1,0,81
-64390,0,1,0,23
-64194,3,0,0,1808
-64194,1,1,0,1459
-64194,3,1,0,1211
-63961,3,1,0,427
-63531,0,2,0,44
-63047,0,2,0,34
-62966,0,1,0,22
-62906,0,0,0,315
-62705,1,2,0,95
-62651,1,1,0,107
-62539,1,0,0,58
-62392,1,0,0,617
-62190,1,0,0,365
-62107,0,0,0,1781
-62107,0,1,0,1184
-61974,0,2,0,2100
-61974,1,0,0,1835
-61974,2,2,0,1172
-61974,3,2,0,61
-61974,0,0,0,453
-61974,1,1,0,1327
-61974,2,0,0,314
-61974,3,0,0,233
-61974,0,1,0,131
-61974,1,2,0,949
-61974,2,1,0,515
-61974,3,1,0,44
-61591,3,2,0,1852
-60835,3,1,0,33
-60664,2,1,0,16
-60604,0,2,0,40
-60019,2,2,0,65
-59801,1,0,0,171
-58296,3,2,0,56
-57808,0,0,0,41
-57371,2,0,0,21
-57177,0,2,0,43
-57061,1,2,0,1684
-56575,1,1,0,384
-56217,2,1,0,568
-56217,2,2,0,31
-55686,1,1,0,37
-55642,0,0,0,39
-55634,2,1,0,237
-55539,2,1,0,18
-55518,1,0,0,950
-55162,2,1,0,21
-54922,1,0,0,539
-54415,2,1,0,25
-54236,2,2,0,403
-53297,0,2,0,116
-51615,2,1,0,20
-51615,2,0,0,21
-51337,3,2,0,157
-50840,2,0,0,1160
-50840,2,1,0,38
-50754,0,0,0,121
-50718,2,2,0,17
-50598,3,1,0,1063
-49947,3,0,0,1386
-49936,3,1,0,33
-49770,1,1,0,89
-49357,1,1,0,50
-49012,0,0,0,369
-48583,2,2,0,1633
-48436,0,2,0,197
-48390,1,0,0,63
-48390,1,1,0,200
-48376,1,0,0,102
-47835,2,1,0,89
-47532,1,1,0,173
-47475,1,0,0,69
-47264,0,0,0,41
-47264,3,0,0,124
-47020,0,2,0,1903
-47020,0,1,0,1709
-47020,0,0,0,46
-46576,3,1,0,80
-46535,0,0,0,52
-46500,2,0,0,17
-46225,0,2,0,21
-46194,3,0,0,1773
-45799,0,2,0,78
-45487,2,1,0,23
-44693,2,1,0,20
-44689,2,1,0,1547
-44689,0,0,0,1741
-44689,1,0,0,70
-44689,0,2,0,43
-44689,2,2,0,1481
-44686,3,2,0,1700
-44563,2,1,0,39
-43486,0,0,0,1623
-43486,1,0,0,1547
-43486,0,1,0,60
-43486,0,2,0,1299
-42853,1,2,0,1740
-42853,1,1,0,366
-42218,0,2,0,1963
-42018,0,0,0,43
-40952,3,1,0,1671
-40896,2,2,0,97
-40875,0,0,0,384
-40547,0,1,0,627
-40547,0,2,0,253
-40453,1,1,0,66
-40418,2,1,0,28
-40036,3,1,0,94
-38520,3,1,0,37
-38030,0,2,0,465
-37990,1,1,0,59
-37727,2,2,0,1403
-37727,2,0,0,1091
-37727,2,1,0,27
-37392,0,2,0,1799
-37392,0,1,0,1670
-37358,0,1,0,72
-36653,0,2,0,1908
-36618,2,0,0,1494
-36115,1,1,0,85
-36059,1,0,0,943
-35616,0,2,0,114
-35345,3,0,0,1500
-35108,0,2,0,44
-35058,2,2,0,1495
-35058,3,1,0,829
-35058,0,1,0,247
-35058,2,0,0,600
-35058,3,2,0,543
-35058,2,1,0,796
-34587,3,0,0,236
-34348,3,0,0,1488
-34348,3,1,0,389
-34136,3,2,0,34
-34049,1,0,0,59
-33767,3,1,0,1410
-33767,3,0,0,1422
-33490,0,2,0,2004
-33490,1,0,0,1675
-33490,2,0,0,1647
-33490,3,1,0,564
-33490,1,1,0,208
-33490,2,1,0,78
-33490,2,2,0,70
-33486,1,2,0,1528
-33381,2,2,0,29
-33074,0,1,0,1702
-33074,3,0,0,1311
-31271,2,0,0,20
-31271,2,1,0,18
-31061,0,0,0,1555
-30206,2,1,0,1610
-30001,3,0,0,219
-29854,0,2,0,48
-29529,2,0,0,1574
-29529,1,0,0,75
-28820,2,2,0,42
-28433,1,2,0,62
-27971,2,0,0,23
-27907,2,0,0,70
-27494,0,2,0,1426
-27494,1,2,0,667
-27494,1,0,0,91
-26791,2,1,0,33
-26146,3,0,0,1795
-26146,1,2,0,45
-26146,3,1,0,34
-25837,1,0,0,56
-25690,3,0,0,147
-25585,1,2,0,170
-25389,0,0,0,22
-25389,1,0,0,32
-25389,2,2,0,24
-25324,1,0,0,1752
-25324,2,0,0,69
-25324,3,2,0,1868
-25324,1,2,0,63
-25324,3,1,0,1653
-25324,1,1,0,220
-25011,0,2,0,28
-24957,1,1,0,104
-24908,3,2,0,33
-24795,0,2,0,2092
-24795,1,1,0,90
-24795,2,2,0,45
-24795,3,0,0,45
-24795,0,1,0,1837
-24795,2,0,0,26
-24795,3,2,0,39
-24795,1,0,0,517
-24795,0,0,0,620
-24795,2,1,0,40
-24584,2,0,0,41
-24217,1,2,0,1332
-24111,1,2,0,128
-24053,0,2,0,71
-24053,1,2,0,1317
-23982,1,2,0,315
-23577,3,0,0,59
-23251,2,0,0,66
-23065,0,2,0,95
-22923,1,1,0,67
-22765,0,2,0,29
-22108,0,2,0,99
-22108,2,1,0,37
-22108,2,2,0,18
-21989,0,2,0,134
-21989,1,0,0,571
-21648,3,2,0,205
-21482,0,0,0,46
-21169,1,2,0,37
-20982,0,0,0,180
-20929,0,0,0,134
-20737,0,0,0,26
-20074,3,0,0,124
-20074,3,1,0,36
-19894,2,0,0,47
-19883,3,2,0,43
-19654,2,0,0,50
-19654,3,1,0,60
-19654,2,1,0,862
-19643,3,1,0,48
-19427,0,1,0,264
-19424,1,0,0,242
-19059,0,0,0,224
-18639,0,2,0,142
-18535,3,0,0,53
-17538,0,0,0,136
-17538,0,1,0,37
-17516,3,1,0,65
-17170,1,0,0,62
-17170,0,0,0,40
-16793,3,1,0,104
-16793,3,2,0,56
-16039,2,2,0,16
-15938,0,0,0,197
-15938,0,2,0,98
-15900,3,0,0,1851
-15900,3,1,0,80
-15190,2,0,0,53
-14881,3,0,0,135
-14555,0,0,0,31
-14555,1,0,0,41
-14379,3,0,0,34
-14004,0,2,0,37
-14004,2,1,0,341
-13931,0,2,0,24
-13891,2,1,0,34
-13891,2,2,0,23
-13733,1,1,0,148
-12667,1,2,0,241
-12383,2,2,0,320
-12010,0,0,0,23
-11296,0,0,0,122
-10940,0,0,0,44
-10403,0,0,0,41
-10312,0,2,0,110
-10312,1,1,0,1586
-10312,3,1,0,175
