tus,dau,det,typ,erg
-720393,0,0,0,1768
-720228,0,2,0,1838
-720228,0,1,0,655
-720167,2,0,0,95
-720167,3,1,0,77
-720167,1,1,0,55
-720167,3,2,0,830
-719532,3,2,0,47
-719508,3,1,0,32
-719305,2,2,0,157
-718922,2,0,0,52
-718752,3,0,0,77
-718340,2,1,0,1642
-718340,0,0,0,66
-718340,1,0,0,99
-718340,3,1,0,108
-718340,0,2,0,77
-718340,1,1,0,199
-718340,2,2,0,111
-718340,3,2,0,101
-718340,2,0,0,382
-718340,1,2,0,47
-718256,1,1,0,250
-717365,0,0,0,1925
-717364,1,2,0,1823
-717364,3,2,0,40
-717364,0,1,0,210
-717364,1,0,0,68
-717364,0,2,0,585
-717167,2,0,0,1496
-717167,3,2,0,1308
-717167,2,1,0,18
-716169,0,0,0,26
-715179,2,2,0,268
-712887,1,1,0,1561
-712887,0,1,0,1053
-712887,2,2,0,152
-712887,3,1,0,39
-712887,1,2,0,1747
-712887,3,2,0,77
-712887,1,0,0,1572
-712214,2,2,0,22
-712065,0,1,0,26
-711949,0,0,0,72
-711898,3,2,0,50
-711854,1,1,0,229
-711854,1,2,0,51
-711592,3,0,0,297
-711565,0,1,0,2047
-711565,1,0,0,1803
-711565,0,2,0,1897
-711565,0,0,0,294
-711561,3,2,0,528
-710998,0,2,0,34
-710730,3,2,0,1324
-710730,3,1,0,409
-710397,1,1,0,62
-709994,2,0,0,1212
-709029,1,1,0,35
-709029,0,1,0,38
-709029,2,2,0,18
-708923,2,1,0,36
-708658,2,2,0,1281
-708384,0,2,0,131
-708306,1,1,0,50
-707868,3,0,0,50
-707797,1,0,0,70
-707778,2,0,0,28
-707778,1,0,0,176
-707534,2,2,0,24
-706729,3,1,0,42
-706563,2,2,0,98
-706311,2,2,0,26
-706175,3,1,0,76
-704994,2,1,0,17
-704853,2,2,0,19
-704642,2,0,0,1792
-704642,3,0,0,1766
-704642,0,0,0,33
-704642,1,2,0,233
-704642,2,1,0,1845
-704642,3,2,0,1813
-704642,0,1,0,29
-704642,2,2,0,1784
-704642,0,2,0,68
-704639,2,1,3,69
-704638,2,1,1,129
-704632,2,1,1,81
-704632,2,1,3,78
-703732,3,1,0,54
-703732,3,0,0,472
-702776,0,0,0,39
-701894,1,2,0,94
-701893,0,0,0,46
-701893,2,2,0,29
-701893,1,0,0,69
-701540,3,1,0,42
-701532,3,1,0,127
-700724,3,1,0,558
-699335,0,0,0,200
-698031,2,0,0,80
-697840,0,0,0,142
-697840,2,2,0,1600
-697397,0,2,0,76
-697397,1,0,0,1719
-697397,2,0,0,386
-697397,1,1,0,54
-696996,0,1,0,1672
-696996,2,1,0,531
-696996,0,2,0,46
-696996,2,2,0,379
-696996,0,0,0,695
-695906,0,0,0,1833
-695906,0,1,0,883
-695702,0,0,0,95
-695702,2,2,0,1089
-694961,2,1,0,21
-694468,0,2,0,1793
-694468,1,2,0,507
-694468,0,1,0,52
-693630,2,2,0,21
-693515,3,2,0,42
-692213,2,2,0,49
-692213,2,1,0,50
-691933,2,2,0,1805
-691933,2,1,0,68
-691930,2,2,3,71
-691929,2,2,1,170
-691512,0,2,0,170
-691224,0,2,0,165
