tus,dau,det,typ,erg
-707095,3,2,0,420
-706823,3,1,0,82
-706546,2,2,0,35
-706287,0,2,0,23
-706205,1,1,0,54
-706159,2,2,0,30
-706092,0,1,0,27
-706026,1,2,0,168
-705969,1,0,0,75
-705960,1,1,0,151
-705895,3,2,0,42
-705832,2,1,0,20
-705573,2,1,0,23
-705367,0,1,0,24
-705311,3,0,0,383
-705218,2,0,0,30
-705181,0,0,0,299
-705041,0,0,0,1815
-705041,0,1,0,27
-704975,0,0,0,260
-704769,0,1,0,535
-704769,3,0,0,62
-704761,3,2,0,42
-704711,1,0,0,46
-704707,3,2,0,48
-704654,3,0,0,85
-704568,3,0,0,1872
-704568,3,1,0,145
-704309,3,1,0,34
-704309,3,0,0,56
-704054,1,0,0,55
-704020,1,2,0,48
-704003,3,1,0,37
-703816,3,0,0,114
-703524,3,1,0,1665
-703524,3,2,0,78
-703524,3,0,0,1483
-703317,0,1,0,1628
-703253,0,1,0,23
-703253,1,0,0,80
-702958,1,1,0,83
-702958,2,1,0,72
-702958,0,1,0,23
-702798,1,0,0,322
-702757,0,2,0,57
-702757,3,0,0,48
-702519,2,0,0,1647
-702462,2,0,0,27
-702446,3,1,0,1658
-702446,3,2,0,429
-702236,0,2,0,38
-701925,1,2,0,1684
-701925,1,1,0,1558
-701753,1,0,0,811
-701694,0,0,0,1057
-701680,1,1,0,410
-701639,1,0,0,58
-701518,0,1,0,64
-701518,2,1,0,35
-701401,1,0,0,83
-701399,0,1,0,29
-701209,1,0,0,1731
-701209,1,1,0,1754
-701209,1,2,0,1885
-701208,3,2,0,63
-701208,3,0,0,936
-701204,1,1,1,277
-701204,1,1,3,70
-700896,0,2,0,32
-700808,1,2,0,1784
-700808,1,0,0,1794
-700808,1,1,0,1738
-700436,1,2,0,318
-700397,2,0,0,1347
-700221,1,0,0,185
-700102,1,1,0,51
-699879,1,0,0,769
-699678,1,2,0,1866
-699678,3,1,0,38
-699678,1,0,0,137
-699678,1,1,0,1600
-699584,1,2,0,49
-699359,0,1,0,89
-699102,1,2,0,229
-698957,0,1,0,65
-698457,0,0,0,37
-698436,0,1,0,1876
-698436,1,0,0,281
-698436,2,1,0,1361
-698436,3,2,0,94
-698436,0,2,0,2057
-698436,2,2,0,58
-698436,3,0,0,88
-698436,0,0,0,998
-698436,2,0,0,35
-698396,1,0,0,53
-698396,2,2,0,20
-698228,0,1,0,1686
-698065,1,1,0,178
-698025,0,1,0,96
-697835,2,0,0,27
-697804,1,1,0,186
-697701,2,0,0,1305
-697701,3,2,0,1453
-697560,0,0,0,1822
-697560,2,2,0,17
-697487,0,0,0,1707
-697359,1,2,0,238
-696975,1,0,0,1848
-696975,2,0,0,21
