tus,dau,det,typ,erg
-919078,1,2,0,42
-919013,1,0,0,61
-918946,1,2,0,46
-918943,2,0,0,17
-918943,3,2,0,897
-918929,1,0,0,33
-918902,2,1,0,40
-918455,0,2,0,268
-918455,1,0,0,169
-918278,2,0,0,857
-918278,3,0,0,146
-918095,1,0,0,97
-917364,2,2,0,17
-917071,3,1,0,61
-917043,1,0,0,91
-917043,1,1,0,46
-917024,2,2,0,1636
-917024,3,1,0,32
-916982,0,2,0,409
-916982,1,0,0,54
-916731,0,2,0,173
-916437,3,0,0,404
-916282,2,0,0,66
-915193,0,1,0,75
-914956,2,1,0,38
-914327,0,2,0,1880
-913941,3,1,0,135
-913940,3,0,0,40
-913257,0,2,0,37
-913257,1,1,0,110
-913063,2,1,0,20
-912864,0,2,0,1952
-912864,1,0,0,1765
-912864,2,0,0,1894
-912864,3,2,0,1815
-912864,3,1,0,78
-912864,0,1,0,1778
-912864,1,1,0,801
-912864,2,1,0,1663
-912864,0,0,0,219
-912864,2,2,0,337
-912526,3,0,0,91
-912317,2,0,0,1476
-912042,2,0,0,72
-912042,2,1,0,25
-911286,3,0,0,1684
-911246,1,2,0,35
-911014,1,1,0,1648
-911014,1,2,0,1671
-910899,3,0,0,175
-910775,0,1,0,1563
-910771,1,0,0,988
-910185,0,0,0,40
-910185,0,1,0,51
-909740,2,0,0,68
-909273,2,1,0,1615
-909273,0,1,0,59
-909273,2,2,0,413
-909242,0,2,0,181
-909229,1,1,0,1725
-909229,1,2,0,520
-909115,0,0,0,41
-908752,0,2,0,125
-908752,1,1,0,90
-908752,2,2,0,176
-908752,3,0,0,657
-908752,0,0,0,152
-908582,0,2,0,72
-908566,1,2,0,1478
-908289,1,0,0,1753
-908289,2,0,0,1638
-908289,3,2,0,1828
-908289,1,1,0,1596
-908289,2,1,0,1492
-908289,3,1,0,1685
-908289,1,2,0,1668
-908288,0,2,0,842
-908288,3,0,0,32
-908288,2,2,0,18
-908286,2,1,1,200
-908286,2,1,3,66
-908217,3,1,0,58
-908217,3,2,0,177
-908216,2,0,0,195
-908071,0,0,0,56
-907709,0,0,0,80
-907222,2,1,0,37
-907222,2,2,0,38
-907222,2,0,0,113
-906300,2,1,0,19
-906230,3,1,0,61
-906043,1,0,0,141
-905618,1,1,0,1523
-905618,3,1,0,129
-905438,1,1,0,200
-905162,0,2,0,26
-905007,1,2,0,45
-904478,0,0,0,109
-904439,0,2,0,1904
-904413,1,2,0,36
-904195,3,0,0,51
-903572,0,2,0,40
-903431,2,1,0,17
-903139,3,0,0,1758
-903139,3,1,0,1651
-903139,3,2,0,1708
-903136,0,0,0,56
-903136,2,1,0,50
-903054,1,1,0,1445
-903018,3,1,0,1710
-902906,3,0,0,1859
-902905,1,2,0,1691
-902905,2,0,0,45
-902905,3,1,0,984
-902905,1,0,0,58
-902905,1,1,0,79
-902767,3,1,0,54
-902766,2,2,0,84
-902523,3,1,0,218
-901793,3,1,0,31
-901738,1,0,0,39
-901481,2,2,0,17
-900540,2,1,0,1545
-900540,0,0,0,30
-900540,3,2,0,59
-900447,3,0,0,121
-899949,0,0,0,397
-899920,2,2,0,143
-899852,0,0,0,50
-899139,2,0,0,621
-899139,3,2,0,464
-898966,3,2,0,1316
-898966,0,2,0,1517
-898966,1,0,0,88
-898966,2,0,0,40
-898966,3,1,0,94
-898669,3,0,0,925
-898224,3,1,0,1705
-898224,3,2,0,1803
-898149,0,2,0,32
-898129,2,1,0,22
-898048,0,0,0,28
-897848,3,0,0,1716
-897848,1,0,0,49
-897435,1,1,0,265
-897289,1,1,0,704
-897264,0,0,0,78
-896751,1,1,0,1562
-896649,3,1,0,502
-896235,1,1,0,1194
-896124,0,0,0,26
-895682,0,0,0,417
-895325,0,2,0,2004
-895325,1,0,0,252
-895192,0,2,0,26
-894866,0,0,0,65
-894785,0,0,0,1881
-894734,2,2,0,64
-894734,2,1,0,24
-894718,0,0,0,43
-893611,1,1,0,54
-892091,0,0,0,1750
-892091,2,2,0,1653
-892091,0,1,0,1568
-892091,2,0,0,1656
-892091,2,1,0,1372
-892089,2,2,1,82
-892089,2,1,1,75
-892089,2,2,3,71
-892089,2,1,3,65
-892069,0,1,0,1839
-892069,2,2,0,1547
-892069,0,2,0,1912
-892069,2,0,0,46
-892069,0,0,0,1679
-892068,2,1,0,449
-891906,1,2,0,1571
-891906,0,0,0,54
-891906,1,0,0,31
-891810,3,2,0,127
-891684,3,2,0,93
-891491,1,0,0,489
-891407,2,0,0,55
-891394,0,1,0,81
-891102,3,1,0,291
-890696,1,0,0,134
-890580,2,2,0,1388
-890251,0,1,0,63
-890152,0,0,0,1776
-890151,0,1,0,914
-890148,0,2,0,29
-889854,1,2,0,31
-889719,0,1,0,69
-889719,0,0,0,28
-889704,0,0,0,81
-889405,1,0,0,1642
-889347,2,1,0,19
-889066,2,0,0,18
-888873,0,0,0,27
-888873,0,1,0,50
-888449,2,0,0,27
-888448,2,1,0,1524
-888448,2,0,1,171
-888448,2,0,3,17
-888408,2,0,0,50
-888153,3,2,0,73
-888153,0,2,0,78
-887704,2,1,0,654
-887471,0,0,0,1857
-887076,1,1,0,40
-886370,1,0,0,1819
-886370,0,2,0,1743
-886370,3,0,0,485
-886370,1,1,0,1669
-886370,1,2,0,32
-886196,2,2,0,104
-886083,0,2,0,93
-885722,2,0,0,62
-883979,1,0,0,75
-883464,0,2,0,26
-882921,1,2,0,1693
-882907,1,0,0,1480
-882907,3,1,0,347
-882907,0,2,0,71
-882907,1,1,0,91
-882129,3,0,0,55
-881964,3,0,0,52
-881886,3,2,0,50
-881886,1,0,0,36
-881690,0,2,0,30
-881254,0,2,0,1983
-881254,1,0,0,1734
-881254,0,1,0,22
-881080,1,1,0,1676
-881080,1,2,0,90
-880707,0,2,0,1828
-880707,1,0,0,72
-880650,2,2,0,18
-880622,0,2,0,302
-880042,0,0,0,1787
-880020,1,0,0,1777
-879783,0,1,0,263
-879674,0,1,0,45
-879059,0,2,0,122
-879059,0,0,0,1155
-879059,0,1,0,858
-878776,3,0,0,1882
-878776,0,0,0,73
-878776,2,2,0,45
-878776,2,0,0,54
-878776,3,1,0,48
-878140,1,0,0,159
-877750,1,0,0,370
-877685,2,2,0,34
-877380,0,0,0,78
