tus,dau,det,typ,erg
-425385,2,1,0,34
-425179,1,2,0,67
-425071,3,0,0,2037
-425071,0,2,0,27
-425071,1,2,0,1595
-425071,2,2,0,885
-425071,1,0,0,209
-425071,2,1,0,389
-425071,3,1,0,1571
-425071,1,1,0,788
-425071,3,2,0,302
-424997,2,2,0,16
-424979,1,2,0,107
-424979,0,2,0,1271
-424825,3,1,0,88
-424059,2,1,0,36
-423942,0,0,0,41
-423942,3,1,0,42
-423751,0,1,0,1740
-423751,0,2,0,1490
-423058,3,0,0,1897
-423058,3,1,0,60
-423051,2,0,0,51
-422056,1,2,0,1652
-421893,3,0,0,35
-421867,1,0,0,47
-421821,0,1,0,27
-421821,0,2,0,40
-421704,0,0,0,1715
-421052,0,0,0,154
-421029,1,0,0,1572
-421029,1,1,0,239
-420524,3,0,0,211
-420008,1,0,0,398
-420008,2,2,0,162
-420008,3,2,0,169
-419593,0,2,0,182
-419593,1,1,0,76
-418877,3,1,0,1647
-418773,2,1,0,1689
-418773,3,1,0,49
-418773,2,2,0,1644
-418773,3,2,0,75
-418773,2,0,0,742
-418369,1,1,0,38
-418114,2,2,0,1469
-418075,0,1,0,1664
-418075,0,2,0,1095
-418020,2,1,0,19
-417535,0,0,0,235
-417491,2,2,0,16
-417368,1,1,0,60
-417225,2,1,0,398
-417158,0,2,0,27
-417067,0,2,0,59
-416734,1,0,0,1517
-416266,1,2,0,39
-415860,2,0,0,1352
-415860,3,2,0,311
-415860,0,2,0,258
-415576,3,2,0,87
-415179,0,1,0,1738
-415179,0,0,0,1407
-414983,2,1,0,210
-414983,2,0,0,246
-414647,0,1,0,99
-413953,0,2,0,50
-413952,1,0,0,1123
-413897,0,0,0,21
-413895,2,0,0,51
-413737,3,0,0,51
-413188,2,2,0,34
-412807,2,0,0,31
-412807,0,0,0,40
-412040,2,1,0,26
-411923,2,1,0,17
-411285,0,0,0,60
-410762,0,2,0,25
-410695,0,2,0,2122
-410695,1,0,0,1962
-410695,2,2,0,1774
-410695,3,2,0,2006
-410695,0,0,0,1867
-410695,1,1,0,1727
-410695,2,0,0,1825
-410695,3,0,0,1805
-410695,2,1,0,1853
-410695,3,1,0,1711
-410695,0,1,0,1880
-410695,1,2,0,1643
-410589,0,1,0,1580
-410589,0,2,0,1556
-410292,1,2,0,1720
-410291,1,1,0,73
-409771,1,0,0,257
-408809,3,0,0,181
-408700,0,0,0,437
-408501,1,0,0,36
-408195,2,0,0,1647
