tus,dau,det,typ,erg
-147473,1,2,0,368
-146743,1,2,0,75
-146506,1,1,0,917
-146242,3,0,0,89
-145868,3,2,0,812
-145651,3,0,0,37
-145444,1,0,0,48
-144902,1,2,0,45
-143966,2,2,0,16
-143451,2,1,0,546
-143304,0,0,0,73
-142757,0,2,0,81
-141929,0,2,0,41
-141623,1,1,0,470
-141623,1,2,0,41
-140787,0,0,0,46
-140717,0,1,0,67
-139886,2,0,0,53
-139875,1,0,0,61
-138411,1,0,0,706
-138245,0,2,0,98
-137144,0,0,0,399
-135667,2,0,0,63
-135631,0,0,0,33
-133699,2,0,0,40
-131984,0,2,0,45
-131913,2,1,0,90
-131881,0,0,0,33
-128868,1,1,0,203
-128859,1,2,0,32
-128573,0,2,0,25
-128370,1,1,0,313
-128370,1,2,0,143
-128220,3,2,0,40
-127989,3,2,0,61
-127489,2,2,0,1400
-127489,0,0,0,57
-127489,1,2,0,94
-127489,0,2,0,111
-127362,1,0,0,61
-127093,3,0,0,89
-126125,1,1,0,39
-125721,3,2,0,33
-125421,1,1,0,1610
-125421,0,0,0,365
-125421,0,1,0,185
-125421,1,2,0,947
-125421,1,0,0,1157
-125421,0,2,0,44
-124786,2,2,0,18
-124334,2,0,0,16
-122830,2,2,0,16
-122734,1,1,0,102
-122668,0,1,0,21
-122668,0,0,0,185
-121166,2,1,0,45
-120597,0,2,0,53
-120597,1,0,0,84
-120597,0,0,0,355
-120597,0,1,0,923
-120459,3,0,0,42
-119290,3,1,0,36
-119139,3,1,0,184
-119139,0,2,0,39
-118897,0,0,0,56
-118380,2,0,0,18
-117834,3,0,0,254
-117479,2,0,0,81
-117383,1,0,0,1630
-117383,3,2,0,36
-116842,2,2,0,273
-116507,3,0,0,54
-116332,0,2,0,48
-115887,2,2,0,1540
-115808,2,2,0,1602
-115808,2,1,0,26
-115795,3,0,0,34
-115421,0,2,0,1987
-115421,3,2,0,1701
-114753,1,2,0,47
-114519,3,2,0,60
-114418,1,0,0,58
-112887,2,0,0,1586
-112887,3,2,0,60
-112220,3,2,0,33
-112220,1,2,0,126
-112220,3,0,0,101
-111818,3,2,0,1249
-111818,2,0,0,32
-110860,2,1,0,39
-110521,3,2,0,1427
-110521,2,0,0,1304
-109762,0,2,0,38
-109576,2,2,0,20
-108987,0,1,0,1707
-108987,1,0,0,964
-108987,2,1,0,50
-108987,3,2,0,1686
-108987,0,2,0,1836
-108987,2,2,0,32
-108987,3,0,0,448
-108987,1,1,0,146
-108987,0,0,0,447
-108987,2,0,0,53
-108987,3,1,0,196
-108753,0,2,0,75
-108535,3,0,0,1780
-108535,3,1,0,93
-107842,1,1,0,78
-107625,3,0,0,109
-107074,2,2,0,239
-106567,2,2,0,56
-106143,3,0,0,1590
-105626,0,2,0,262
-105619,2,0,0,1414
-105318,3,1,0,56
-105228,0,1,0,21
-102786,1,0,0,195
-102576,2,1,0,24
-101636,2,0,0,1435
-101636,2,1,0,160
-100786,0,0,0,67
-99528,2,1,0,19
-99122,0,2,0,1282
-97988,1,2,0,34
-97266,1,1,0,1482
-97074,2,0,0,65
-97073,2,1,0,16
-96971,1,1,0,106
-96971,1,0,0,55
-96200,1,1,0,56
-96200,1,2,0,47
-94662,1,1,0,71
-94598,3,0,0,46
-94167,1,1,0,52
-94032,3,0,0,81
-93422,3,2,0,96
-93422,3,0,0,34
-93422,3,1,0,543
-93386,3,1,0,222
-93386,3,0,0,1008
-93008,0,1,0,116
-91482,1,1,0,121
-91455,0,0,0,364
-90905,3,2,0,202
-88595,3,1,0,165
-88119,0,2,0,36
-87774,1,0,0,278
-87232,0,2,0,131
-86799,0,0,0,250
-86467,0,0,0,49
-84696,3,0,0,76
-84308,2,1,0,1407
-83784,3,0,0,168
-83674,3,0,0,164
-83340,1,0,0,183
-82099,0,2,0,80
-82073,2,0,0,20
-81795,1,2,0,92
-81661,1,1,0,1619
-81590,0,2,0,374
-81344,2,1,0,68
-81187,2,1,0,18
-81055,0,0,0,1720
-81055,0,1,0,102
-80981,0,0,0,142
-80822,3,1,0,139
-80515,0,1,0,110
-80219,1,2,0,1749
-78844,1,2,0,687
-78539,0,1,0,32
-78007,2,0,0,1628
-78006,2,1,0,109
-77994,3,1,0,1802
-77994,3,2,0,126
-77994,3,0,0,73
-77734,3,2,0,39
-77399,0,0,0,73
-76620,1,2,0,55
-76620,3,0,0,44
-74833,2,1,0,30
-74570,2,0,0,61
-74052,0,0,0,83
-72757,3,0,0,128
-72719,0,1,0,1730
-72719,0,2,0,1687
-72563,0,2,0,123
-71288,2,2,0,1531
-71225,2,1,0,1633
-71225,3,1,0,170
-71225,0,0,0,264
-71225,1,0,0,169
-71225,2,2,0,1770
-71225,0,1,0,145
-71225,1,1,0,172
-71225,2,0,0,241
-71221,2,2,3,77
-71220,2,2,1,80
-71128,3,1,0,244
-70184,0,2,0,73
-69766,3,2,0,34
-68455,3,1,0,93
-68168,1,2,0,81
-68166,2,0,0,116
-68166,3,2,0,1280
-68166,1,1,0,194
-68166,3,1,0,359
-68045,0,2,0,385
-67699,2,0,0,23
-67380,1,2,0,34
-67335,2,2,0,24
-66093,1,0,0,369
-66081,0,1,0,1898
-66080,1,1,0,33
-66080,0,2,0,226
-66080,0,0,0,994
-65889,0,0,0,164
-65633,1,0,0,54
-65227,0,1,0,49
-64850,0,2,0,1915
-64850,0,1,0,1604
-64849,0,1,1,165
-64849,0,1,3,145
-64681,1,0,0,61
-64681,0,2,0,114
-64191,1,0,0,105
-63187,0,1,0,35
-63063,0,1,0,22
