       Ti        Tf      G1      G2      G3
    1.856     1.872   23.14    6.02    5.01
    1.872     1.888   32.28   11.05    6.01
    1.888     1.904   27.20   11.04    3.00
    1.904     1.920   13.05    9.02    1.00
    1.920     1.936   28.22   13.06    4.01
    1.936     1.952   24.20   14.08   10.03
    1.952     1.968   32.44   31.36   15.07
    1.968     1.984   27.34   30.33   14.06
    1.984     2.000   23.28   33.89   13.06
    2.000     2.016   32.49   40.04   14.06
    2.016     2.032   23.32   42.08   14.06
    2.032     2.048   32.46   33.91   15.07
    2.048     2.064   42.30   54.40   13.06
    2.064     2.080   34.07   46.22   17.09
    2.080     2.096   34.15   56.57   20.13
    2.096     2.112   40.33   58.64   20.13
    2.112     2.128   36.24   60.72   21.14
    2.128     2.144   40.29   52.45   21.14
    2.144     2.160   44.16   33.85    8.02
    2.160     2.176   44.10   25.21    9.03
    2.176     2.192   37.95   24.18    6.01
    2.192     2.208   29.28   19.12    7.02
    2.208     2.224   20.21   28.28   12.05
    2.224     2.240   22.16   17.09    3.00
    2.240     2.256   22.16   14.06    4.01
    2.256     2.272   33.87   24.18    5.01
    2.272     2.288   35.84   16.08    3.00
    2.288     2.304   21.13   12.04    2.00
    2.304     2.320   23.14    8.02    4.01
    2.320     2.336   26.18    9.03    5.01
    2.336     2.352   25.15    8.02    1.00
    2.352     2.368   21.12    9.03    3.00
    2.368     2.384   22.16   13.07    7.02
    2.384     2.400   24.14    7.02    2.00
    2.400     2.416   21.12    9.02    2.00
    2.416     2.432   20.10    4.01    4.01
    2.432     2.448   18.09    7.02    4.01
    2.448     2.464   23.12    4.01    2.00
    2.464     2.480   16.07    5.01    4.01
    2.480     2.496   15.07    8.02    3.00
    2.496     2.512   17.08    7.02    3.00
    2.512     2.528   17.09    8.02    4.01
    2.528     2.544   18.10   10.04    5.01
    2.544     2.560   19.12   15.06    2.00
    2.560     2.576   14.05    6.01    2.00
    2.576     2.592   17.11   13.06    6.01
    2.592     2.608   16.06    4.01    2.00
    2.608     2.624   17.07    4.01    2.00
    2.624     2.640   14.07    6.02    8.02
    2.640     2.656   12.05    7.02    3.00
    2.656     2.672   25.15    4.01    5.01
