       Ti        Tf      G1      G2      G3
    1.856     1.872  181.15  222.10   56.52
    1.872     1.888  212.07  225.66   40.01
    1.888     1.904  162.92  217.01   46.18
    1.904     1.920  146.13  241.40   56.52
    1.920     1.936  170.57  193.74   28.26
    1.936     1.952  188.21  189.47   31.32
    1.952     1.968  144.89  207.70   40.01
    1.968     1.984  197.85  198.99   44.12
    1.984     2.000  158.08  211.95   35.91
    2.000     2.016  165.97  172.33   42.07
    2.016     2.032  166.59  190.20   46.18
    2.032     2.048  153.28  194.23   37.96
    2.048     2.064  165.91  176.46   35.91
    2.064     2.080  170.11  163.56   42.07
    2.080     2.096  160.98  154.65   37.96
    2.096     2.112  156.85  159.18   42.07
    2.112     2.128  139.38  175.92   24.19
    2.128     2.144  134.61  150.05   31.32
    2.144     2.160  134.00  132.45   22.16
    2.160     2.176  139.33  167.43   30.30
    2.176     2.192  157.20  172.33   42.07
    2.192     2.208  130.44  158.66   29.28
    2.208     2.224  147.42  145.60   28.26
    2.224     2.240  147.15  132.73   30.30
    2.240     2.256  151.82  149.85   26.22
    2.256     2.272  129.98  149.54   18.11
    2.272     2.288  125.66  141.16   25.20
    2.288     2.304  129.79  128.43   30.30
    2.304     2.320  147.37  153.87   18.11
    2.320     2.336  160.31  141.24   27.24
    2.336     2.352  138.38  136.71   21.14
    2.352     2.368  143.01  158.00   13.06
    2.368     2.384  147.45  149.81   25.20
    2.384     2.400  138.20  128.16   22.16
    2.400     2.416  130.42  154.43   32.34
    2.416     2.432  125.80  145.56   27.24
    2.432     2.448  121.85  167.13   23.17
    2.448     2.464  152.75  180.65   31.32
    2.464     2.480  151.98  150.08   32.34
    2.480     2.496  139.16  150.38   40.01
    2.496     2.512  139.07  158.62   28.26
    2.512     2.528  143.54  167.21   25.20
    2.528     2.544  157.37  185.27   35.91
    2.544     2.560  113.55  171.97   33.87
    2.560     2.576  153.16  194.03   33.87
    2.576     2.592  154.20  221.51   46.18
    2.592     2.608  165.91  163.81   48.24
    2.608     2.624  157.73  185.86   48.24
    2.624     2.640  153.05  172.70   50.31
    2.640     2.656  179.85  202.91   33.87
    2.656     2.672  158.32  216.66   40.01
    2.672     2.688  153.85  220.80   33.87
    2.688     2.704  165.91  172.24   40.01
    2.704     2.720  136.49  208.48   54.45
    2.720     2.736  161.41  176.29   32.34
    2.736     2.752  162.26  211.53   28.26
    2.752     2.768  152.59  167.76   37.96
    2.768     2.784  170.49  180.95   37.96
    2.784     2.800  156.50  154.49   33.87
    2.800     2.816  161.14  167.48   31.32
    2.816     2.832  152.14  150.30   37.96
    2.832     2.848  122.15  171.90   32.34
    2.848     2.864  143.17  149.89   27.24
    2.864     2.880  151.79  145.63   29.28
    2.880     2.896  138.28  132.42   21.14
    2.896     2.912  147.42  145.60   28.26
    2.912     2.928  147.47  154.03   22.16
    2.928     2.944  121.03  128.16   22.16
    2.944     2.960  155.70  132.59   26.22
    2.960     2.976  142.48  119.83   29.28
    2.976     2.992  125.99  145.88   35.91
    2.992     3.008  134.59  154.19   26.22
    3.008     3.024  125.10  115.44   25.20
    3.024     3.040  134.02  132.48   23.17
    3.040     3.056  150.92  123.75   18.11
    3.056     3.072  142.19  115.35   22.16
    3.072     3.088  146.23  102.67   24.19
    3.088     3.104  103.56  115.08   13.06
    3.104     3.120  116.54  115.41   24.19
    3.120     3.136  112.34  123.79   19.12
    3.136     3.152  103.84  115.53   28.26
    3.152     3.168  116.47  111.18   25.20
    3.168     3.184  111.99  106.74   18.11
    3.184     3.200  103.26   89.94   21.14
    3.200     3.216  116.43  115.26   19.12
    3.216     3.232  111.89  106.60   13.06
    3.232     3.248  116.24  106.74   18.11
    3.248     3.264  111.44   87.57    9.03
    3.264     3.280  107.49   96.11   15.07
    3.280     3.296  132.41   71.00   15.07
    3.296     3.312  107.35   81.57   22.16
    3.312     3.328  107.68  102.54   19.12
    3.328     3.344   99.71  102.48   17.09
    3.344     3.360   94.70   85.67   18.11
    3.360     3.376  115.84   83.64   21.14
    3.376     3.392  136.99   85.59   14.06
    3.392     3.408   94.96  102.48   17.09
    3.408     3.424   92.61   91.85   13.06
    3.424     3.440  116.15  102.51   18.11
    3.440     3.456   96.75   85.61   15.07
    3.456     3.472  103.26  102.27    9.03
    3.472     3.488   92.76  102.35   12.05
    3.488     3.504   99.36   85.59   14.06
    3.504     3.520  120.02   87.68   14.06
    3.520     3.536  115.59   79.29   13.06
    3.536     3.552  124.24   87.66   13.06
    3.552     3.568  106.90   68.85   11.04
    3.568     3.584  103.02   87.59   10.03
    3.584     3.600  107.66  106.63   14.06
    3.600     3.616   99.11   70.98   14.06
    3.616     3.632   83.77   60.61   14.06
    3.632     3.648   99.33   87.59   10.03
    3.648     3.664   99.31   85.52   11.04
    3.664     3.680  115.63   85.48    9.03
    3.680     3.696   99.36   91.74    8.02
    3.696     3.712   90.56   87.82   20.13
    3.712     3.728   96.56   73.10   16.08
    3.728     3.744   94.49   79.27   12.05
    3.744     3.760   82.13   85.72   20.13
    3.760     3.776   77.56   68.82    9.03
    3.776     3.792  102.72   68.87   12.05
    3.792     3.808  111.34   77.23   14.06
    3.808     3.824   94.58   85.52   11.04
    3.824     3.840   92.26   72.99   10.03
    3.840     3.856   85.87   66.74    9.03
    3.856     3.872   99.19   83.32    6.01
    3.872     3.888   99.02   62.73   17.09
    3.888     3.904  106.85   64.72   12.05
    3.904     3.920   99.24   77.25   15.07
    3.920     3.936   83.80   66.76   10.03
    3.936     3.952   79.70   68.89   13.06
    3.952     3.968  106.94   70.93   11.04
    3.968     3.984   96.16   56.41    9.03
    3.984     4.000   94.17   64.64    7.02
    4.000     4.016   85.95   70.91   10.03
    4.016     4.032   85.75   64.57    3.00
    4.032     4.048   79.42   50.26   11.04
    4.048     4.064   96.11   56.37    6.01
    4.064     4.080   85.67   52.30   10.03
    4.080     4.096   79.55   58.52   12.05
    4.096     4.112   91.83   48.17    8.02
    4.112     4.128   92.03   60.52    8.02
    4.128     4.144   79.47   56.41    9.03
    4.144     4.160   85.86   60.61   14.06
    4.160     4.176   79.45   56.38    7.02
    4.176     4.192   71.21   60.52    8.02
    4.192     4.208   77.38   54.36   10.03
    4.208     4.224   83.79   68.78    7.02
    4.224     4.240   92.09   62.62   10.03
    4.240     4.256   87.80   54.38   11.04
    4.256     4.272   75.26   54.32    7.02
    4.272     4.288   64.91   50.26   11.04
    4.288     4.304   77.27   46.14   10.03
    4.304     4.320   73.27   56.44   11.04
    4.320     4.336   67.01   50.30   14.06
    4.336     4.352   85.55   44.09   10.03
    4.352     4.368   56.64   54.31    6.01
    4.368     4.384   60.72   52.22    4.01
    4.384     4.400   64.85   42.08   14.06
    4.400     4.416   71.16   54.36   10.03
    4.416     4.432   77.24   48.14    6.01
    4.432     4.448   89.60   39.96    7.02
    4.448     4.464   70.97   39.98    9.03
    4.464     4.480   64.80   37.99   14.06
    4.480     4.496   58.66   48.17    8.02
    4.496     4.512   73.19   48.23   13.06
    4.512     4.528   70.89   35.88    7.02
    4.528     4.544   56.51   41.99    5.01
    4.544     4.560   66.98   56.35    5.01
    4.560     4.576   81.21   33.84    7.02
    4.576     4.592   81.12   33.79    1.00
    4.592     4.608   60.60   37.92    7.02
    4.608     4.624   74.94   33.81    3.00
    4.624     4.640   60.59   39.93    4.01
    4.640     4.656   58.48   32.31    6.01
    4.656     4.672   64.79   42.03    9.03
    4.672     4.688   68.91   44.05    6.01
    4.688     4.704   73.03   46.06    3.00
    4.704     4.720   66.86   46.08    5.01
    4.720     4.736   64.90   52.28    8.02
    4.736     4.752   56.39   30.26    5.01
    4.752     4.768   56.50   41.98    4.01
    4.768     4.784   56.44   31.31    9.03
    4.784     4.800   60.60   37.92    7.02
    4.800     4.816   58.50   35.86    5.01
    4.816     4.832   56.51   41.99    5.01
    4.832     4.848   62.58   32.30    5.01
    4.848     4.864   58.45   27.24    8.02
    4.864     4.880   52.37   35.89    8.02
    4.880     4.896   60.61   37.93    8.02
    4.896     4.912   35.98   33.85    8.02
    4.912     4.928   48.23   35.85    4.01
    4.928     4.944   60.44   21.15    8.02
    4.944     4.960   52.33   33.83    6.01
    4.960     4.976   52.38   37.92    7.02
    4.976     4.992   50.35   37.94    9.03
    4.992     5.008   62.62   37.88    3.00
    5.008     5.024   50.28   37.87    2.00
    5.024     5.040   54.41   33.86    9.03
    5.040     5.056   52.31   31.29    6.01
    5.056     5.072   52.37   35.89    8.02
    5.072     5.088   73.05   44.05    6.01
    5.088     5.104   60.44   26.19    3.00
    5.104     5.120   52.32   30.29    8.02
    5.120     5.136   44.10   25.21    9.03
    5.136     5.152   50.23   30.25    3.00
    5.152     5.168   48.26   31.34   12.05
    5.168     5.184   46.14   27.23    7.02
    5.184     5.200   52.28   28.24    6.01
    5.200     5.216   44.08   25.20    7.02
    5.216     5.232   54.37   35.84    2.00
    5.232     5.248   52.45   48.12    4.01
    5.248     5.264   50.30   31.32   10.03
    5.264     5.280   48.26   37.90    5.01
    5.280     5.296   46.24   37.93    8.02
    5.296     5.312   60.51   28.25    8.02
    5.312     5.328   48.18   27.22    6.01
    5.328     5.344   56.37   24.20    9.03
    5.344     5.360   44.18   41.97    3.00
    5.360     5.376   48.11   23.14    2.00
    5.376     5.392   52.31   31.29    6.01
    5.392     5.408   52.27   28.23    5.01
    5.408     5.424   33.89   30.24    2.00
    5.424     5.440   52.34   32.32    8.02
    5.440     5.456   38.01   33.83    6.01
    5.456     5.472   50.23   31.26    2.00
    5.472     5.488   48.20   29.26    6.01
    5.488     5.504   56.34   25.19    5.01
    5.504     5.520   56.51   41.99    5.01
    5.520     5.536   46.14   25.21    9.03
    5.536     5.552   62.68   33.89   13.06
    5.552     5.568   42.07   29.26    7.02
    5.568     5.584   60.45   25.19    5.01
    5.584     5.600   44.10   31.27    3.00
    5.600     5.616   42.07   29.26    7.02
