tus,dau,det,typ,erg,adr,keV,st,dt,flag
0.7807149999999999,1,1,0,158,1,1495.7591,5.644048690795898,671.0,False
0.780736,2,1,0,94,4,826.5988,5.265987873077393,1651.0,False
0.780736,4,3,0,222,12,3185.0153,7.740061283111572,4544.0,False
0.780736,2,2,0,73,5,975.2115,3.851269006729126,1769.0,False
0.780736,3,1,0,294,7,7267.0749,10.068299293518066,2826.0,False
0.780736,4,2,0,165,11,2833.7364,8.334945678710938,1544.0,False
0.780736,4,1,0,331,10,4944.3713,14.777484893798828,1769.0,False
0.780736,1,3,0,162,3,1946.0855,6.261447429656982,3795.0,False
0.780736,1,1,0,112,1,1052.0234,3.2774581909179688,21.0,False
0.780736,3,2,0,459,8,12483.3587,14.986686706542969,387.0,False
0.7811089999999999,2,2,0,45,5,612.7338,1.6764028072357178,373.0,False
0.781968,4,1,0,82,10,1203.6316,3.543017625808716,1232.0,False
0.78214,4,3,0,44,12,639.2831,1.2785662412643433,1404.0,False
0.7822589999999999,3,2,0,198,8,5725.0049,6.450009822845459,1523.0,False
0.782538,1,1,0,1707,1,29406.5473,25.0,1802.0,False
0.782647,2,1,0,160,4,1422.46,9.253120422363281,1911.0,False
0.782647,1,2,0,1786,2,30796.0005,21.31839942932129,2300.0,False
0.782647,3,3,0,1623,9,30665.3573,19.532285690307617,2298.0,False
0.782647,1,3,0,22,3,285.6861,0.0,1911.0,False
0.782647,3,2,0,1642,8,31274.4478,20.52933692932129,388.0,False
0.782647,3,1,0,63,7,1619.6719,1.826229214668274,1911.0,False
0.782647,4,2,0,36,11,552.5086,0.10501720011234283,1911.0,False
0.782647,4,3,0,45,12,653.2751,1.306550145149231,507.0,False
0.782921,2,3,0,40,6,501.1634,1.0116339921951294,3836.0,False
0.783264,1,1,0,33,1,341.7893,0.0,726.0,False
0.7838809999999999,3,3,0,1686,9,31319.2284,20.055381774902344,1234.0,False
0.783882,1,1,0,28,1,299.0423,0.0,618.0,False
0.783882,3,2,0,25,8,724.8613,0.4497225880622864,1235.0,False
0.783882,2,1,0,44,4,410.5688,0.21137599647045135,1235.0,False
0.783925,2,3,0,720,6,8533.1738,21.826539993286133,1004.0,False
0.7839809999999999,4,3,0,67,12,961.9837,1.9239673614501953,1334.0,False
0.784114,2,1,0,191,4,1720.6769,10.843609809875488,232.0,False
0.784323,1,1,0,1669,1,28420.454,25.0,441.0,False
0.7843749999999999,1,3,0,25,3,320.241,0.0,1728.0,False
0.78447,3,1,0,20,7,516.3002,1.0,1823.0,False
0.784547,4,3,0,81,12,1159.3172,2.531057357788086,566.0,False
0.784547,1,1,0,229,1,2224.2591,9.52938175201416,224.0,False
0.784547,2,1,0,122,4,1072.898,7.388789176940918,433.0,False
0.785362,1,3,0,22,3,285.6861,0.0,987.0,False
0.785445,2,1,0,1634,4,28576.7828,23.861425399780273,898.0,False
0.785445,1,3,0,23,3,297.1994,0.0,83.0,False
0.785933,3,3,0,1396,9,27976.5752,19.0,2052.0,False
0.78594,3,1,0,26,7,671.2411,1.0,1470.0,False
0.786295,2,2,0,1622,5,30247.0208,23.09880828857422,5186.0,False
0.786318,1,2,0,23,2,499.6847,0.9968469738960266,3671.0,False
0.786318,3,2,0,48,8,1413.5357,1.2756904363632202,2436.0,False
0.78647,3,3,0,61,9,1622.654,1.4151027202606201,537.0,False
0.7865449999999999,3,3,0,1583,9,30229.3745,19.183500289916992,75.0,False
0.7865449999999999,3,1,0,21,7,542.1458,1.0,605.0,False
0.7865449999999999,3,2,0,232,8,6658.9046,7.0,227.0,False
0.7867569999999999,1,3,0,60,3,726.6992,2.813593626022339,1312.0,False
0.7868499999999999,2,2,0,47,5,638.4289,1.8305734395980835,555.0,False
0.788539,1,1,0,71,1,675.2429,1.7009716033935547,3992.0,False
0.7888109999999999,2,1,0,98,4,861.1988,5.611988067626953,3366.0,False
0.789087,1,1,0,248,1,2428.1856,10.616990089416504,548.0,False
0.789087,1,2,0,99,2,2160.0864,2.773391008377075,2769.0,False
0.789104,4,3,0,1155,12,18343.6781,22.33747100830078,4557.0,False
0.790108,3,1,0,67,7,1721.4794,1.9619724750518799,3563.0,False
0.790181,1,1,0,37,1,376.1758,0.0,1094.0,False
0.790354,1,1,0,21,1,239.6375,0.0,173.0,False
0.790378,1,2,0,73,2,1595.6475,2.3970983028411865,1291.0,False
0.790797,3,3,0,22,9,581.8869,0.1637738049030304,4252.0,False
0.791221,1,1,0,55,1,532.9937,1.1319748163223267,867.0,False
0.79166,4,3,0,59,12,849.5299,1.6990598440170288,2556.0,False
0.79166,4,1,0,34,10,509.9965,1.03998601436615,9692.0,False
0.791926,3,2,0,23,8,664.63,0.329259991645813,5381.0,False
0.7920119999999999,2,3,0,1704,6,30816.9205,23.32676887512207,8087.0,False
0.7920119999999999,2,2,0,43,5,587.069,1.522413969039917,5162.0,False
0.792573,4,3,0,309,12,4469.6469,13.0,913.0,False
