DAU 4 CH 2                                          
DATE        TIME      a         b         c         
04-Jun-2018 00:01:06   0.004049 11.5975     23.6217 
04-Jun-2018 12:01:18    0.00405 11.5994    23.43975 
05-Jun-2018 00:01:29    0.00401 11.6531    20.76374 
05-Jun-2018 12:01:40   0.003997 11.7066    20.30312 
06-Jun-2018 00:01:51   0.003932 11.8319    17.16104 
06-Jun-2018 12:02:02   0.003939  11.824    17.82018 
07-Jun-2018 00:02:13   0.003881 11.9308    14.57798 
07-Jun-2018 12:02:24   0.003878 11.9362     14.3614 
08-Jun-2018 00:02:36   0.003883 11.9378    14.98992 
08-Jun-2018 12:02:47   0.003882 11.9587    16.23459 
12-Jun-2018 12:04:16   0.003698 12.3646    20.22732 
13-Jun-2018 00:04:27   0.003683 12.3889    19.18855 
13-Jun-2018 12:04:38   0.003718   12.35    21.00526 
14-Jun-2018 00:04:49   0.003733 12.3378    21.62816 
14-Jun-2018 12:05:01   0.003733 12.3379    21.62739 
15-Jun-2018 00:05:12   0.003732 12.3325    21.32399 
15-Jun-2018 12:05:23   0.003737 12.3169    19.87099 
16-Jun-2018 00:05:34   0.003751 12.2859    19.82274 
16-Jun-2018 12:05:45    0.00374 12.2827    18.62424 
17-Jun-2018 00:05:56    0.00373 12.2805    17.04424 
17-Jun-2018 12:06:07   0.003731 12.2807    15.34765 
18-Jun-2018 00:06:19   0.003759 12.2335    16.84708 
18-Jun-2018 12:06:30   0.003775 12.2148    16.05213 
19-Jun-2018 00:06:41   0.003773  12.218    14.91254 
19-Jun-2018 12:06:52   0.003724 12.2794    12.36039 
20-Jun-2018 00:07:03   0.003726 12.2572    11.88564 
20-Jun-2018 12:07:14   0.003766   12.18    14.17801 
21-Jun-2018 00:07:25   0.003736 12.2258    12.20571 
21-Jun-2018 12:07:37   0.003757 12.1879    14.95391 
22-Jun-2018 00:07:48   0.003735 12.2255    13.47628 
22-Jun-2018 12:07:59   0.003805 12.1291    17.06312 
23-Jun-2018 00:08:10   0.003814 12.1299    16.48038 
23-Jun-2018 12:08:21   0.003765 12.1949    13.76282 
24-Jun-2018 00:08:32    0.00376 12.1995     13.7637 
24-Jun-2018 12:08:44   0.003693 12.2163    7.767723 
25-Jun-2018 00:08:55   0.003853 11.9186     17.1868 
25-Jun-2018 12:09:06   0.003791  11.964    14.11123 
26-Jun-2018 00:09:17   0.003819 11.9086    16.12144 
26-Jun-2018 12:09:28   0.003853 11.8349    17.34283 
27-Jun-2018 00:09:39   0.003885  11.797    18.67719 
27-Jun-2018 12:09:50   0.003873 11.8951    16.23369 
28-Jun-2018 00:10:02   0.003851 11.9346    14.47247 
28-Jun-2018 12:10:13   0.003854 11.9282    13.32768 
29-Jun-2018 00:10:24   0.003873 11.8747    15.49984 
29-Jun-2018 12:10:35   0.003864 11.8904    13.46095 
30-Jun-2018 00:10:46   0.003844 11.9106    11.60522 
30-Jun-2018 12:10:57   0.003866 11.8418    13.00996 
01-Jul-2018 00:11:08   0.003886  11.796    14.17148 
01-Jul-2018 12:11:20   0.003901 11.7473    15.11875 
02-Jul-2018 00:11:31   0.003895 11.7546    13.52751 
02-Jul-2018 12:11:42   0.003894 11.7415    14.07885 
03-Jul-2018 00:11:53   0.003872 11.7566    13.16282 
03-Jul-2018 12:12:04   0.003871 11.7675    12.86987 
04-Jul-2018 00:12:15   0.003856 11.7871    12.24046 
04-Jul-2018 12:12:27   0.003863 11.7727    12.82895 
05-Jul-2018 00:12:38   0.003888 11.6759    13.92349 
05-Jul-2018 12:12:49   0.003878  11.678    14.15667 
06-Jul-2018 00:13:00     0.0039 11.6312    16.25126 
06-Jul-2018 12:13:11   0.003887  11.639    16.28687 
07-Jul-2018 00:13:22     0.0039 11.6271    17.10643 
07-Jul-2018 12:13:33     0.0039 11.6325    17.39008 
08-Jul-2018 00:13:45   0.003874 11.6984    16.72771 
08-Jul-2018 12:13:56   0.003875  11.712    17.75651 
09-Jul-2018 00:14:07   0.003841 11.8116    18.15168 
09-Jul-2018 12:14:18   0.003814 11.8944    17.75701 
10-Jul-2018 00:14:29   0.003785 11.9698    17.68128 
10-Jul-2018 12:14:40   0.003788 11.9599    17.09228 
11-Jul-2018 00:14:51   0.003788 11.9531    17.37028 
11-Jul-2018 12:15:03   0.003798 11.9053    16.67269 
12-Jul-2018 00:15:14   0.003863 11.7303    18.68383 
12-Jul-2018 12:15:25   0.003869 11.7033    16.65941 
13-Jul-2018 00:15:36   0.003858 11.6806    14.58733 
13-Jul-2018 12:15:47   0.003869 11.6398    16.11449 
14-Jul-2018 00:15:58   0.003874 11.6417    16.71088 
14-Jul-2018 12:16:10   0.003877  11.644    16.43867 
15-Jul-2018 00:16:21   0.003886 11.6292    17.04314 
15-Jul-2018 12:16:32   0.003922 11.5658      19.463 
16-Jul-2018 00:16:43   0.003924 11.5553    19.73246 
16-Jul-2018 12:16:54    0.00392 11.5705    18.59286 
17-Jul-2018 00:17:05    0.00393 11.5462    18.57472 
17-Jul-2018 12:17:16   0.003937 11.5333    19.44617 
18-Jul-2018 00:17:28   0.003905 11.5808    16.48133 
18-Jul-2018 12:17:39   0.003902 11.5953    15.36178 
19-Jul-2018 00:17:50   0.003912 11.5764    16.82432 
19-Jul-2018 12:18:01   0.003872 11.6514    18.69148 
20-Jul-2018 00:18:12   0.003908 11.5889    20.58199 
20-Jul-2018 12:18:23   0.003874 11.6483    18.32289 
21-Jul-2018 00:18:34   0.003809 11.7763    13.58147 
21-Jul-2018 12:18:46   0.003771  11.848    10.17207 
22-Jul-2018 00:18:57   0.003735 11.9179    6.992708 
22-Jul-2018 12:19:08    0.00374 11.9098    6.500697 
23-Jul-2018 00:19:19   0.003783 11.9241    14.20887 
23-Jul-2018 12:19:30   0.003773 11.9382    14.10631 
24-Jul-2018 00:19:41   0.003774 11.9285    15.90366 
24-Jul-2018 12:19:53   0.003724 12.0031    13.78495 
25-Jul-2018 00:20:04   0.003741 11.9814    14.97423 
25-Jul-2018 12:20:15   0.003734 11.9851    14.66955 
26-Jul-2018 00:20:26    0.00373 11.9925    14.37051 
26-Jul-2018 12:20:37    0.00373 11.9841     14.3848 
27-Jul-2018 00:20:48   0.003712  12.024    12.61533 
27-Jul-2018 12:20:59   0.003735 11.9915    13.57516 
28-Jul-2018 00:21:11   0.003748 11.9843    14.18206 
28-Jul-2018 12:21:22   0.003755 11.9763    14.49471 
29-Jul-2018 00:21:33    0.00375 11.9855    14.45849 
29-Jul-2018 12:21:44   0.003754 11.9767    15.30699 
30-Jul-2018 00:21:55   0.003776 11.9324     17.0822 
30-Jul-2018 12:22:06   0.003789 11.9099    17.97857 
31-Jul-2018 00:22:17   0.003782 11.8984    17.96955 
31-Jul-2018 12:22:29   0.003788 11.8914    18.73655 
01-Aug-2018 00:22:40   0.003723 12.0121    15.23633 
01-Aug-2018 12:22:51   0.003698 12.0618    13.58383 
02-Aug-2018 00:23:02   0.003649 12.1502    10.89857 
02-Aug-2018 12:23:13   0.003644 12.1743    10.25979 
03-Aug-2018 00:23:24   0.003663 12.1577     10.2376 
03-Aug-2018 12:23:36   0.003654 12.1612    9.775603 
04-Aug-2018 00:23:47   0.003689 12.1179     10.8154 
04-Aug-2018 12:23:58   0.003666 12.1562    9.289233 
05-Aug-2018 00:24:09   0.003696 12.1052    10.32234 
05-Aug-2018 12:24:20   0.003693 12.0953    11.06373 
06-Aug-2018 00:24:31   0.003671 12.1009    11.53573 
