DAU 3 CH 1                                          
DATE        TIME      a         b         c         
04-Jun-2018 00:01:06  -0.000637 19.6818   -10.44631 
04-Jun-2018 12:01:18  -0.000638 19.6832   -10.51975 
05-Jun-2018 00:01:29  -0.000641 19.6731   -10.24749 
05-Jun-2018 12:01:40  -0.000599 19.5929   -9.673509 
06-Jun-2018 00:01:51  -0.000614 19.6071   -9.468419 
06-Jun-2018 12:02:02  -0.000634 19.6259   -9.762265 
07-Jun-2018 00:02:13  -0.000639 19.6082   -9.863321 
07-Jun-2018 12:02:24  -0.000637 19.6081   -9.860386 
08-Jun-2018 00:02:36  -0.000643 19.6136   -10.19203 
08-Jun-2018 12:02:47  -0.000728 19.6863    -10.3469 
12-Jun-2018 12:04:16  -0.000527 19.4621    3.876668 
13-Jun-2018 00:04:27  -0.000516 19.4305     4.68589 
13-Jun-2018 12:04:38  -0.000511 19.4241    4.680824 
14-Jun-2018 00:04:49  -0.000552 19.4836    2.985533 
14-Jun-2018 12:05:01  -0.000575 19.5053    3.287014 
15-Jun-2018 00:05:12  -0.000581 19.5057    3.277956 
15-Jun-2018 12:05:23  -0.000654 19.5663    0.041024 
16-Jun-2018 00:05:34   -0.00063 19.5745   -0.188544 
16-Jun-2018 12:05:45  -0.000599 19.5242    0.932841 
17-Jun-2018 00:05:56  -0.000555 19.4583    2.626717 
17-Jun-2018 12:06:07    -0.0005 19.3824    3.724638 
18-Jun-2018 00:06:19  -0.000493 19.3683    3.579054 
18-Jun-2018 12:06:30  -0.000462 19.3122    5.875848 
19-Jun-2018 00:06:41  -0.000432 19.2713    6.755818 
19-Jun-2018 12:06:52  -0.000446 19.2768    7.298274 
20-Jun-2018 00:07:03    -0.0005 19.3748    5.280076 
20-Jun-2018 12:07:14  -0.000546  19.471    2.117724 
21-Jun-2018 00:07:25  -0.000568 19.5274    0.999743 
21-Jun-2018 12:07:37  -0.000648 19.6847   -3.229396 
22-Jun-2018 00:07:48  -0.000659 19.6672   -2.765159 
22-Jun-2018 12:07:59  -0.000666 19.7056   -4.797222 
23-Jun-2018 00:08:10  -0.000654 19.6736   -4.486501 
23-Jun-2018 12:08:21  -0.000652 19.6755   -3.329943 
24-Jun-2018 00:08:32  -0.000637 19.6477   -2.440717 
24-Jun-2018 12:08:44  -0.000566 19.5185   -0.308765 
25-Jun-2018 00:08:55  -0.000605 19.5909   -2.180404 
25-Jun-2018 12:09:06  -0.000614 19.6054    -1.86498 
26-Jun-2018 00:09:17  -0.000579 19.5496    1.622558 
26-Jun-2018 12:09:28  -0.000525 19.4795    2.734586 
