13338,12128
12888,11619
12451,11127
12027,10651
11616,10191
11218,9746.8
10832,9318
10458,8904.2
10096,8505.3
9746.3,8121
9408.2,7751
9081.6,7395
8766.3,7052.8
8462.1,6724.1
8168.9,6408.6
7886.5,6106.1
7614.7,5816.2
7353.2,5538.8
7102,5273.5
6860.9,5020
6629.5,4778.2
6407.9,4547.6
6195.7,4328.1
5992.8,4119.4
5799.1,3921.2
5614.2,3733.2
5438.1,3555.1
5270.6,3386.8
5111.4,3227.8
4960.4,3078.1
4817.4,2937.1
4682.2,2804.8
4554.6,2680.8
4434.5,2564.9
4321.6,2456.7
4215.8,2356.1
4116.9,2262.7
4024.7,2176.2
3939,2096.5
3859.6,2023.1
3786.4,1956
3719.2,1894.7
3657.7,1839
3601.8,1788.6
3551.3,1743.3
3506.1,1702.8
3465.8,1666.8
3430.4,1635.1
3399.7,1607.4
3373.5,1583.3
3351.6,1562.7
3333.7,1545.2
3319.8,1530.6
3309.7,1518.7
3303,1509
3299.8,1501.5
3299.7,1495.7
3302.7,1491.5
3308.4,1488.5
3316.8,1486.6
3327.6,1485.9
3340.7,1486.7
3355.8,1489.2
3372.8,1493.7
3391.6,1500.3
3411.8,1509.3
3433.4,1521
3456.1,1535.6
3479.9,1553.4
3504.9,1574.5
3531.6,1599.3
3560.2,1628
3591.1,1660.7
3624.7,1697.8
3661.1,1739.5
3700.9,1786
3744.2,1837.6
3791.4,1894.4
3842.9,1956.9
3899,2025.1
3960.1,2099.4
4026.3,2179.9
4098.2,2266.9
4175.9,2360.7
4259.9,2461.5
4350.4,2569.5
4447.9,2685
4552.5,2808.1
4664.8,2939.3
4784.9,3078.6
4913.2,3226.4
5050.1,3382.8
5195.8,3548.2
5350.8,3722.7
5515.3,3906.6
5689.6,4100.1
5874.1,4303.5
6069.2,4517
6275.1,4740.9
6492.2,4975.4
6720.8,5220.7
6961.3,5477.1
7213.9,5744.8
7479,6024
7757,6315.1
8048.1,6618.2
8352.7,6933.5
8671.1,7261.4
9003.7,7602.1
9350.7,7955.7
9712.6,8322.6
10090,8702.9
10482,9097
10890,9505
11315,9927.3
11756,10364
12213,10815
12688,11282
13180,11763
13690,12260
