lat,lon,alt,mlat,cr,time
-20.0448014054457,-19.9902560557289,414.44592789385,-30.7305965423584,0,2019-03-05T00:00:03
-18.5806843481362,-18.7647178589402,413.891785066528,-30.04926872253418,0,2019-03-05T00:00:33
-17.106619609057,-17.5619064352334,413.352159769917,-29.31888771057129,0,2019-03-05T00:01:03
-15.6240519846454,-16.3800664517169,412.827800857722,-28.540451049804688,0,2019-03-05T00:01:33
-14.1338811259443,-15.2170968528592,412.32120240741,-27.715559005737305,0,2019-03-05T00:02:03
-12.6364693211176,-14.070593920986,411.833241767698,-26.846397399902344,0,2019-03-05T00:02:33
-11.1331415554783,-12.9389856897384,411.364945327082,-25.936674118041992,0,2019-03-05T00:03:03
-9.62388507508454,-11.8197699636442,410.917119792213,-24.99034309387207,0,2019-03-05T00:03:33
-8.11087483228473,-10.7121297455965,410.492095059793,-24.013885498046875,0,2019-03-05T00:04:03
-6.59344357042331,-9.61322313349801,410.089914324077,-23.01323699951172,0,2019-03-05T00:04:33
-5.07313226420752,-8.52185402597447,409.712772840228,-21.9971981048584,0,2019-03-05T00:05:03
-3.55039049334415,-7.43609478391937,409.360243323635,-20.9754638671875,0,2019-03-05T00:05:33
-2.02612412748925,-6.35436069478557,409.033430103703,-19.959928512573242,3178,2019-03-05T00:06:03
-0.500414007233798,-5.27450497107707,408.733118680384,-18.964115142822266,3424,2019-03-05T00:06:33
1.02549525663059,-4.19521595826806,408.459641855116,-18.004804611206055,3250,2019-03-05T00:07:03
2.55122441616922,-3.11457173226913,408.212172509049,-17.100975036621094,3459,2019-03-05T00:07:33
4.07577926113356,-2.03107888210482,407.991072154438,-16.274871826171875,3335,2019-03-05T00:08:03
5.59876655539909,-0.942799707170244,407.79739562645,-15.551054000854492,3270,2019-03-05T00:08:33
7.11917613268478,0.151788015911396,407.630808487319,-14.95615291595459,3341,2019-03-05T00:09:03
8.63663971318181,1.25470284526856,407.490383237505,-14.51656436920166,3259,2019-03-05T00:09:33
10.1499760402441,2.36741529521546,407.376871285177,-14.256324768066406,3337,2019-03-05T00:10:03
11.6597298936064,3.49273419423554,407.289107211321,14.19340991973877,3269,2019-03-05T00:10:33
13.1630577377258,4.63100489546844,407.227247331771,14.337237358093262,3148,2019-03-05T00:11:03
14.6602518744992,5.78498056920726,407.189884006794,14.686836242675781,3122,2019-03-05T00:11:33
16.1503170032308,6.95654778895643,407.176863090726,15.23170280456543,3178,2019-03-05T00:12:03
17.6325287201504,8.14785725837205,407.187266260854,15.954122543334961,3430,2019-03-05T00:12:33
19.1057021796805,9.36086561218649,407.220217376892,16.831968307495117,3223,2019-03-05T00:13:03
20.5691626509462,10.5980053044164,407.274527995167,17.8420467376709,3088,2019-03-05T00:13:33
22.0215858937822,11.8613277228141,407.349161982353,18.96144676208496,3132,2019-03-05T00:14:03
23.4621733267676,13.1534600264826,407.442911327476,20.169498443603516,3284,2019-03-05T00:14:33
24.8904765089297,14.4775554349505,407.554547382304,21.4482421875,3201,2019-03-05T00:15:03
26.3035068566355,15.8345508744765,407.682880930283,22.779747009277344,3237,2019-03-05T00:15:33
27.7008194556923,17.2278962055813,407.826181844462,24.150468826293945,3301,2019-03-05T00:16:03
29.0811600922882,18.6605027605466,407.983152560321,25.548044204711914,3482,2019-03-05T00:16:33
30.4428076903787,20.1349936943634,408.152661856516,26.96121597290039,3617,2019-03-05T00:17:03
31.7844392217782,21.6546196310959,408.333032090841,28.380434036254883,3594,2019-03-05T00:17:33
33.1040886873318,23.222120606834,408.52303334476,29.796588897705078,3943,2019-03-05T00:18:03
34.4001976067832,24.8409240873418,408.720529711463,31.201934814453125,3864,2019-03-05T00:18:33
35.6705601094099,26.5138747757165,408.923843340071,32.58885192871094,4022,2019-03-05T00:19:03
36.9133466714307,28.2444998592275,409.13196529624,33.950870513916016,4218,2019-03-05T00:19:33
38.1260937962539,30.0356546194566,409.343048142457,35.281497955322266,4689,2019-03-05T00:20:03
39.3066743961338,31.8908395424157,409.556169570639,36.57524490356445,4670,2019-03-05T00:20:33
40.4523385457896,33.8127435837832,409.769379350681,37.82655715942383,5123,2019-03-05T00:21:03
41.5606479125644,35.8046480934232,409.981201297994,39.03081512451172,5412,2019-03-05T00:21:33
42.6286025126314,37.8688911741369,410.190151510062,40.18336868286133,5572,2019-03-05T00:22:03
43.6533493815272,40.0080295867225,410.394718552979,41.28029251098633,5639,2019-03-05T00:22:33
44.6317248021346,42.2238553946762,410.593826146473,42.317848205566406,5775,2019-03-05T00:23:03
45.5606130633263,44.5179969058839,410.786129378875,43.29286193847656,6152,2019-03-05T00:23:33
46.4365476351591,46.8908239715429,410.970816953728,44.202247619628906,6507,2019-03-05T00:24:03
47.2563202017624,49.3427951576544,411.146640834262,45.04357147216797,6956,2019-03-05T00:24:33
48.0163516128617,51.8724999471036,411.311877388058,45.8143424987793,7256,2019-03-05T00:25:03
48.71383480165,54.4802709928181,411.466101972653,46.51310729980469,7492,2019-03-05T00:25:33
49.344292061257,57.1589148789952,411.607959245913,47.13686752319336,7492,2019-03-05T00:26:03
49.9234231805541,60.003788569808,411.740853914908,47.70233154296875,7858,2019-03-05T00:26:34
50.4091046143051,62.8163560660965,411.855359753735,48.16984558105469,8359,2019-03-05T00:27:04
50.8191593776503,65.6852509777068,411.955663391772,48.558265686035156,7930,2019-03-05T00:27:34
51.1513705516407,68.6017904478198,412.041215630997,48.86652374267578,8050,2019-03-05T00:28:04
51.4033496287101,71.5573449843544,412.111104356177,49.093135833740234,8145,2019-03-05T00:28:34
51.5738847973226,74.5409948564571,412.165498767787,49.23744583129883,8003,2019-03-05T00:29:04
51.6614695067573,77.5427946971446,412.20419417376,49.298187255859375,8503,2019-03-05T00:29:34
51.6653396987406,80.5503854721001,412.226768230201,49.274505615234375,8625,2019-03-05T00:30:04
51.5867956555062,83.553370946416,412.2331935819,49.16725540161133,8260,2019-03-05T00:30:34
51.4248959092237,86.5392628111522,412.223488799872,48.974918365478516,8172,2019-03-05T00:31:04
51.1811743628892,89.4981495698385,412.197914877133,48.698219299316406,8156,2019-03-05T00:31:34
50.8572088081964,92.4187821387688,412.157177349717,48.33788299560547,8017,2019-03-05T00:32:04
50.4551229300361,95.2928359424072,412.101463534152,47.89518737792969,7989,2019-03-05T00:32:34
49.9772154822886,98.1113070837165,412.031106613999,47.37171936035156,7653,2019-03-05T00:33:04
49.4262262802753,100.867706721899,411.946720402335,46.76969528198242,7362,2019-03-05T00:33:34
48.8052064020808,103.556007692133,411.849398774086,46.09191131591797,7096,2019-03-05T00:34:04
48.1173170750658,106.172041205961,411.739364208311,45.34158706665039,6990,2019-03-05T00:34:34
47.365970198527,108.712102822323,411.617717694181,44.52253341674805,6256,2019-03-05T00:35:04
46.5544223384402,111.17461496272,411.485410859294,43.63875198364258,5992,2019-03-05T00:35:34
45.6863072469068,113.558098441358,411.343503091609,42.69501495361328,6110,2019-03-05T00:36:04
44.7647691769055,115.86280032504,411.192954958071,41.695899963378906,5700,2019-03-05T00:36:34
43.7933619781106,118.088984321249,411.034993358403,40.64674377441406,5154,2019-03-05T00:37:04
42.7744033716868,120.239797038906,410.870782414384,39.551849365234375,5190,2019-03-05T00:37:34
41.7125674720221,122.313804512471,410.701941069661,38.41831970214844,4807,2019-03-05T00:38:04
40.6107207203636,124.31390065362,410.529435177954,37.25151443481445,4542,2019-03-05T00:38:34
39.4704605562317,126.245008410138,410.354870422072,36.05565643310547,4217,2019-03-05T00:39:04
38.2949359668752,128.108956584678,410.179209046783,34.83682632446289,4033,2019-03-05T00:39:34
37.0869172856607,129.908442786571,410.00441181745,33.600807189941406,3722,2019-03-05T00:40:04
35.848571857203,131.646980887542,409.831828151798,32.3529167175293,3574,2019-03-05T00:40:34
34.5823676303102,133.327391414665,409.662911176389,31.098894119262695,3497,2019-03-05T00:41:04
33.2901586944535,134.953219567428,409.499197918828,29.843984603881836,3152,2019-03-05T00:41:34
31.9741643096943,136.527307929202,409.342094591523,28.59391212463379,3073,2019-03-05T00:42:04
30.6351976075698,138.053945441804,409.193036460471,27.35322380065918,2980,2019-03-05T00:42:34
29.2768038734455,139.534104950319,409.053843919271,26.12915802001953,2853,2019-03-05T00:43:04
27.8994298710749,140.972073309029,408.925643969174,24.926267623901367,2912,2019-03-05T00:43:34
26.5050368604062,142.370250501574,408.810042512007,23.750734329223633,2747,2019-03-05T00:44:04
25.0945634178171,143.731881157998,408.707978872295,22.608152389526367,2778,2019-03-05T00:44:34
23.6697994195711,145.059193092903,408.621506147109,21.505203247070312,2589,2019-03-05T00:45:04
22.231416598328,146.355306778083,408.551165043545,20.4481258392334,2588,2019-03-05T00:45:34
20.7812951776849,147.622048905794,408.498407142343,19.444610595703125,2586,2019-03-05T00:46:04
19.3198066653803,148.862457683491,408.464324953149,18.501890182495117,2548,2019-03-05T00:46:34
17.8486650193619,150.078239702765,408.450368145692,17.628761291503906,2602,2019-03-05T00:47:04
16.3682652746382,151.272105120462,408.457007963996,16.833852767944336,2547,2019-03-05T00:47:34
14.879935576732,152.445869414885,408.485964769519,16.126909255981445,2601,2019-03-05T00:48:04
13.3842596961468,153.601838945696,408.538090476053,15.517594337463379,2758,2019-03-05T00:48:34
11.882389769685,154.741780247617,408.613121571544,15.015705108642578,2604,2019-03-05T00:49:04
10.3748387098832,155.867859209255,408.712206196685,14.630123138427734,2728,2019-03-05T00:49:34
8.86269337462126,156.981737192447,408.836044752817,14.368460655212402,2540,2019-03-05T00:50:04
7.34635854817934,158.085512090022,408.98455513119,14.23597526550293,2668,2019-03-05T00:50:34
5.82702870849906,159.180656914063,409.158284300735,-14.235185623168945,2473,2019-03-05T00:51:04
4.30486563887436,160.269343628958,409.357842917486,-14.365395545959473,2563,2019-03-05T00:51:34
2.78123556246566,161.352837416039,409.582076274152,-14.622671127319336,2673,2019-03-05T00:52:04
1.2561733543271,162.433337633512,409.832037192663,-15.000561714172363,2610,2019-03-05T00:52:34
-0.269124145833712,163.512188284945,410.106760307414,-15.490325927734375,2571,2019-03-05T00:53:04
-1.79432721659238,164.591347788039,410.406483328044,-16.082202911376953,2810,2019-03-05T00:53:34
-3.31844413327206,165.672304040649,410.730736845684,-16.76564598083496,2744,2019-03-05T00:54:04
-4.84109377437952,166.756981839901,411.078781845184,-17.53037452697754,2578,2019-03-05T00:54:34
-6.36127380705594,167.846892009678,411.450011184949,-18.36621856689453,2552,2019-03-05T00:55:04
-7.87858090794931,168.943997168568,411.843942674628,-19.263931274414062,2745,2019-03-05T00:55:34
-9.39199147102417,170.049848753603,412.259274574843,-20.214597702026367,2656,2019-03-05T00:56:04
-10.9011711429891,171.166548092792,412.694747223893,-21.210418701171875,2736,2019-03-05T00:56:34
-12.4047968489836,172.295536418106,413.150008995662,-22.243606567382812,2808,2019-03-05T00:57:04
-13.9026006556422,173.439068383434,413.623089955074,-23.307626724243164,2878,2019-03-05T00:57:34
-15.3934044486,174.59884030176,414.113066296199,-24.39582633972168,2957,2019-03-05T00:58:04
-16.8774886989694,175.777763921449,414.61965250634,-25.50304412841797,3096,2019-03-05T00:58:34
-18.3520478035374,176.976358885934,415.140408300811,-26.622177124023438,3390,2019-03-05T00:59:04
-19.8171284012965,178.197567562435,415.673626539301,-27.74856185913086,3367,2019-03-05T00:59:34
-21.2716008434596,179.443491566521,416.217394884845,-28.876943588256836,3539,2019-03-05T01:00:04
-22.7146681058432,-179.283355411459,416.770574040826,-30.002609252929688,3461,2019-03-05T01:00:34
-24.144987051368,-177.980787171768,417.33114571661,-31.12066650390625,3557,2019-03-05T01:01:04
-25.5616189879281,-176.646080667284,417.897661740868,-32.22679138183594,3670,2019-03-05T01:01:34
-26.9629624299113,-175.277054871592,418.467900118766,-33.31639099121094,4020,2019-03-05T01:02:04
-28.3480532037524,-173.870621238498,419.040410707634,-34.38560485839844,4165,2019-03-05T01:02:34
-29.7152950863679,-172.424200637209,419.612691152149,-35.43033218383789,4345,2019-03-05T01:03:04
-31.0633152204543,-170.934775196378,420.183884305926,-36.44689178466797,4392,2019-03-05T01:03:34
-32.390276528793,-169.399636249112,420.751228351243,-37.43147277832031,4932,2019-03-05T01:04:04
-33.6947197893554,-167.815434497981,421.313031123762,-38.38076400756836,5214,2019-03-05T01:04:34
-34.9745464954754,-166.179411078358,421.867406373547,-39.29123306274414,5523,2019-03-05T01:05:04
-36.2280764042532,-164.488021015583,422.412164855841,-40.15981674194336,5678,2019-03-05T01:05:34
-37.4528744421269,-162.738570667075,422.94561616191,-40.98314666748047,5746,2019-03-05T01:06:04
-38.647060781499,-160.927397382309,423.465933215851,-41.75840759277344,6114,2019-03-05T01:06:34
-39.8077585212223,-159.052135921326,423.971140117974,-42.4822998046875,6179,2019-03-05T01:07:04
-40.9329562440742,-157.109165592181,424.45958359885,-43.15229034423828,6485,2019-03-05T01:07:34
-42.0196122422865,-155.096157831847,424.929187291675,-43.76533508300781,6544,2019-03-05T01:08:04
-43.0651142319215,-153.010202901628,425.378799586476,-44.31886291503906,6867,2019-03-05T01:08:34
-44.0663535888806,-150.84964951699,425.806516170363,-44.81028366088867,7185,2019-03-05T01:09:04
-45.0203774372917,-148.612270818142,426.210391148522,-45.23723602294922,7257,2019-03-05T01:09:34
-45.9238159859058,-146.29741013143,426.589832049289,-45.59749984741211,7406,2019-03-05T01:10:04
-46.7735626323059,-143.904154229797,426.942503062842,-45.889244079589844,7372,2019-03-05T01:10:34
-47.5661096600609,-141.433345002783,427.26771088411,-46.11084747314453,7591,2019-03-05T01:11:04
-48.2983240050456,-138.885515204537,427.564075753516,-46.261199951171875,7682,2019-03-05T01:11:34
-48.9665452823552,-136.264206373093,427.83005101665,-46.33950424194336,7857,2019-03-05T01:12:04
-49.5677823369184,-133.571848688053,428.065008518066,-46.34556198120117,7384,2019-03-05T01:12:34
