Ti,Tf,Counts
-1.002,-1.0,19
-1.0,-0.998,19
-0.998,-0.996,23
-0.996,-0.994,13
-0.994,-0.992,37
-0.992,-0.99,22
-0.99,-0.988,20
-0.988,-0.986,22
-0.986,-0.984,25
-0.984,-0.982,37
-0.982,-0.98,21
-0.98,-0.978,38
-0.978,-0.976,21
-0.976,-0.974,33
-0.974,-0.972,43
-0.972,-0.97,41
-0.97,-0.968,26
-0.968,-0.966,18
-0.966,-0.964,21
-0.964,-0.962,12
-0.962,-0.96,16
-0.96,-0.958,13
-0.958,-0.956,7
-0.956,-0.954,42
-0.954,-0.952,16
-0.952,-0.95,15
-0.95,-0.948,14
-0.948,-0.946,27
-0.946,-0.944,12
-0.944,-0.942,21
-0.942,-0.94,13
-0.94,-0.938,31
-0.938,-0.936,22
-0.936,-0.934,23
-0.934,-0.932,25
-0.932,-0.93,15
-0.93,-0.928,13
-0.928,-0.926,17
-0.926,-0.924,18
-0.924,-0.922,31
-0.922,-0.92,21
-0.92,-0.918,22
-0.918,-0.916,21
-0.916,-0.914,18
-0.914,-0.912,11
-0.912,-0.91,17
-0.91,-0.908,16
-0.908,-0.906,30
-0.906,-0.904,9
-0.904,-0.902,32
-0.902,-0.9,26
-0.9,-0.898,24
-0.898,-0.896,25
-0.896,-0.894,25
-0.894,-0.892,28
-0.892,-0.89,23
-0.89,-0.888,29
-0.888,-0.886,19
-0.886,-0.884,11
-0.884,-0.882,25
-0.882,-0.88,23
-0.88,-0.878,25
-0.878,-0.876,23
-0.876,-0.874,13
-0.874,-0.872,25
-0.872,-0.87,16
-0.87,-0.868,15
-0.868,-0.866,21
-0.866,-0.864,27
-0.864,-0.862,27
-0.862,-0.86,15
-0.86,-0.858,23
-0.858,-0.856,15
-0.856,-0.854,24
-0.854,-0.852,26
-0.852,-0.85,25
-0.85,-0.848,24
-0.848,-0.846,20
-0.846,-0.844,14
-0.844,-0.842,12
-0.842,-0.84,23
-0.84,-0.838,20
-0.838,-0.836,24
-0.836,-0.834,18
-0.834,-0.832,19
-0.832,-0.83,22
-0.83,-0.828,19
-0.828,-0.826,25
-0.826,-0.824,24
-0.824,-0.822,22
-0.822,-0.82,16
-0.82,-0.818,16
-0.818,-0.816,25
-0.816,-0.814,22
-0.814,-0.812,22
-0.812,-0.81,21
-0.81,-0.808,17
-0.808,-0.806,31
-0.806,-0.804,17
-0.804,-0.802,30
-0.802,-0.8,18
-0.8,-0.798,14
-0.798,-0.796,28
-0.796,-0.794,28
-0.794,-0.792,25
-0.792,-0.79,24
-0.79,-0.788,15
-0.788,-0.786,16
-0.786,-0.784,22
-0.784,-0.782,13
-0.782,-0.78,24
-0.78,-0.778,15
-0.778,-0.776,27
-0.776,-0.774,20
-0.774,-0.772,22
-0.772,-0.77,13
-0.77,-0.768,20
-0.768,-0.766,16
-0.766,-0.764,31
-0.764,-0.762,29
-0.762,-0.76,19
-0.76,-0.758,20
-0.758,-0.756,15
-0.756,-0.754,23
-0.754,-0.752,9
-0.752,-0.75,44
-0.75,-0.748,27
-0.748,-0.746,13
-0.746,-0.744,32
-0.744,-0.742,31
-0.742,-0.74,24
-0.74,-0.738,9
-0.738,-0.736,15
-0.736,-0.734,16
-0.734,-0.732,18
-0.732,-0.73,15
-0.73,-0.728,12
-0.728,-0.726,25
-0.726,-0.724,22
-0.724,-0.722,31
-0.722,-0.72,21
-0.72,-0.718,32
-0.718,-0.716,18
-0.716,-0.714,12
-0.714,-0.712,19
-0.712,-0.71,22
-0.71,-0.708,16
-0.708,-0.706,14
-0.706,-0.704,28
-0.704,-0.702,19
-0.702,-0.7,20
-0.7,-0.698,16
-0.698,-0.696,24
-0.696,-0.694,22
-0.694,-0.692,23
-0.692,-0.69,33
-0.69,-0.688,30
-0.688,-0.686,25
-0.686,-0.684,31
-0.684,-0.682,19
-0.682,-0.68,23
-0.68,-0.678,19
-0.678,-0.676,13
-0.676,-0.674,22
-0.674,-0.672,15
-0.672,-0.67,20
-0.67,-0.668,17
-0.668,-0.666,14
-0.666,-0.664,17
-0.664,-0.662,34
-0.662,-0.66,15
-0.66,-0.658,26
-0.658,-0.656,13
-0.656,-0.654,15
-0.654,-0.652,23
-0.652,-0.65,34
-0.65,-0.648,16
-0.648,-0.646,15
-0.646,-0.644,19
-0.644,-0.642,15
-0.642,-0.64,20
-0.64,-0.638,22
-0.638,-0.636,22
-0.636,-0.634,21
-0.634,-0.632,28
-0.632,-0.63,32
-0.63,-0.628,10
-0.628,-0.626,19
-0.626,-0.624,12
-0.624,-0.622,23
-0.622,-0.62,22
