Ti,Tf,Counts
-0.98,-0.978,11
-0.978,-0.976,17
-0.976,-0.974,24
-0.974,-0.972,33
-0.972,-0.97,23
-0.97,-0.968,15
-0.968,-0.966,28
-0.966,-0.964,20
-0.964,-0.962,14
-0.962,-0.96,16
-0.96,-0.958,27
-0.958,-0.956,9
-0.956,-0.954,10
-0.954,-0.952,16
-0.952,-0.95,29
-0.95,-0.948,11
-0.948,-0.946,15
-0.946,-0.944,28
-0.944,-0.942,21
-0.942,-0.94,29
-0.94,-0.938,31
-0.938,-0.936,19
-0.936,-0.934,14
-0.934,-0.932,38
-0.932,-0.93,11
-0.93,-0.928,21
-0.928,-0.926,25
-0.926,-0.924,12
-0.924,-0.922,17
-0.922,-0.92,26
-0.92,-0.918,23
-0.918,-0.916,27
-0.916,-0.914,18
-0.914,-0.912,19
-0.912,-0.91,21
-0.91,-0.908,26
-0.908,-0.906,10
-0.906,-0.904,24
-0.904,-0.902,19
-0.902,-0.9,27
-0.9,-0.898,23
-0.898,-0.896,15
-0.896,-0.894,28
-0.894,-0.892,26
-0.892,-0.89,20
-0.89,-0.888,13
-0.888,-0.886,12
-0.886,-0.884,16
-0.884,-0.882,26
-0.882,-0.88,9
-0.88,-0.878,12
-0.878,-0.876,26
-0.876,-0.874,13
-0.874,-0.872,14
-0.872,-0.87,24
-0.87,-0.868,14
-0.868,-0.866,22
-0.866,-0.864,20
-0.864,-0.862,22
-0.862,-0.86,10
-0.86,-0.858,23
-0.858,-0.856,24
-0.856,-0.854,9
-0.854,-0.852,35
-0.852,-0.85,17
-0.85,-0.848,21
-0.848,-0.846,15
-0.846,-0.844,22
-0.844,-0.842,27
-0.842,-0.84,19
-0.84,-0.838,27
-0.838,-0.836,12
-0.836,-0.834,30
-0.834,-0.832,31
-0.832,-0.83,31
-0.83,-0.828,22
-0.828,-0.826,6
-0.826,-0.824,11
-0.824,-0.822,10
-0.822,-0.82,14
-0.82,-0.818,13
-0.818,-0.816,23
-0.816,-0.814,39
-0.814,-0.812,15
-0.812,-0.81,29
-0.81,-0.808,32
-0.808,-0.806,16
-0.806,-0.804,24
-0.804,-0.802,23
-0.802,-0.8,21
-0.8,-0.798,31
-0.798,-0.796,25
-0.796,-0.794,22
-0.794,-0.792,23
-0.792,-0.79,20
-0.79,-0.788,13
-0.788,-0.786,22
-0.786,-0.784,11
-0.784,-0.782,22
-0.782,-0.78,17
-0.78,-0.778,12
-0.778,-0.776,14
-0.776,-0.774,26
-0.774,-0.772,14
-0.772,-0.77,20
-0.77,-0.768,29
-0.768,-0.766,28
-0.766,-0.764,15
-0.764,-0.762,25
-0.762,-0.76,24
-0.76,-0.758,27
-0.758,-0.756,19
-0.756,-0.754,22
-0.754,-0.752,26
-0.752,-0.75,37
-0.75,-0.748,23
-0.748,-0.746,30
-0.746,-0.744,10
-0.744,-0.742,12
-0.742,-0.74,33
-0.74,-0.738,15
-0.738,-0.736,33
-0.736,-0.734,17
-0.734,-0.732,13
-0.732,-0.73,14
-0.73,-0.728,18
-0.728,-0.726,22
-0.726,-0.724,19
-0.724,-0.722,18
-0.722,-0.72,20
-0.72,-0.718,32
-0.718,-0.716,22
-0.716,-0.714,25
-0.714,-0.712,25
-0.712,-0.71,15
-0.71,-0.708,13
-0.708,-0.706,21
-0.706,-0.704,22
-0.704,-0.702,15
-0.702,-0.7,37
-0.7,-0.698,21
-0.698,-0.696,8
-0.696,-0.694,30
-0.694,-0.692,21
-0.692,-0.69,23
-0.69,-0.688,25
-0.688,-0.686,23
-0.686,-0.684,15
-0.684,-0.682,13
-0.682,-0.68,9
-0.68,-0.678,13
-0.678,-0.676,19
-0.676,-0.674,9
-0.674,-0.672,21
-0.672,-0.67,26
-0.67,-0.668,14
-0.668,-0.666,26
-0.666,-0.664,16
-0.664,-0.662,13
-0.662,-0.66,26
-0.66,-0.658,17
-0.658,-0.656,37
-0.656,-0.654,19
-0.654,-0.652,15
-0.652,-0.65,24
-0.65,-0.648,34
-0.648,-0.646,15
-0.646,-0.644,20
-0.644,-0.642,20
-0.642,-0.64,19
-0.64,-0.638,19
-0.638,-0.636,18
-0.636,-0.634,36
-0.634,-0.632,23
-0.632,-0.63,24
-0.63,-0.628,22
-0.628,-0.626,24
-0.626,-0.624,12
-0.624,-0.622,36
-0.622,-0.62,31
-0.62,-0.618,27
-0.618,-0.616,20
-0.616,-0.614,20
-0.614,-0.612,30
-0.612,-0.61,18
-0.61,-0.608,14
-0.608,-0.606,22
-0.606,-0.604,36
-0.604,-0.602,11
-0.602,-0.6,23
-0.6,-0.598,16
-0.598,-0.596,31
-0.596,-0.594,31
-0.594,-0.592,11
-0.592,-0.59,12
-0.59,-0.588,13
-0.588,-0.586,36
-0.586,-0.584,33
-0.584,-0.582,8
-0.582,-0.58,15
-0.58,-0.578,10
-0.578,-0.576,10
-0.576,-0.574,25
-0.574,-0.572,31
-0.572,-0.57,17
-0.57,-0.568,15
-0.568,-0.566,25
-0.566,-0.564,17
-0.564,-0.562,23
-0.562,-0.56,9
-0.56,-0.558,28
-0.558,-0.556,25
-0.556,-0.554,19
-0.554,-0.552,23
-0.552,-0.55,22
-0.55,-0.548,11
-0.548,-0.546,15
-0.546,-0.544,21
-0.544,-0.542,22
-0.542,-0.54,9
-0.54,-0.538,25
-0.538,-0.536,17
-0.536,-0.534,27
-0.534,-0.532,9
-0.532,-0.53,28
-0.53,-0.528,25
-0.528,-0.526,35
-0.526,-0.524,15
-0.524,-0.522,32
-0.522,-0.52,28
-0.52,-0.518,22
-0.518,-0.516,21
-0.516,-0.514,24
-0.514,-0.512,11
-0.512,-0.51,14
-0.51,-0.508,21
-0.508,-0.506,29
-0.506,-0.504,33
-0.504,-0.502,31
-0.502,-0.5,22
-0.5,-0.498,23
-0.498,-0.496,25
-0.496,-0.494,20
-0.494,-0.492,15
-0.492,-0.49,15
-0.49,-0.488,16
-0.488,-0.486,31
-0.486,-0.484,11
-0.484,-0.482,32
-0.482,-0.48,29
-0.48,-0.478,29
-0.478,-0.476,23
-0.476,-0.474,18
-0.474,-0.472,22
-0.472,-0.47,16
-0.47,-0.468,29
-0.468,-0.466,14
-0.466,-0.464,28
-0.464,-0.462,17
-0.462,-0.46,28
-0.46,-0.458,10
-0.458,-0.456,24
-0.456,-0.454,21
-0.454,-0.452,32
-0.452,-0.45,17
-0.45,-0.448,22
-0.448,-0.446,20
-0.446,-0.444,16
-0.444,-0.442,27
-0.442,-0.44,20
-0.44,-0.438,13
-0.438,-0.436,16
-0.436,-0.434,14
-0.434,-0.432,9
-0.432,-0.43,22
-0.43,-0.428,33
-0.428,-0.426,15
-0.426,-0.424,33
-0.424,-0.422,35
-0.422,-0.42,25
-0.42,-0.418,18
-0.418,-0.416,13
-0.416,-0.414,28
-0.414,-0.412,16
-0.412,-0.41,25
-0.41,-0.408,23
-0.408,-0.406,19
-0.406,-0.404,16
-0.404,-0.402,23
-0.402,-0.4,22
-0.4,-0.398,32
-0.398,-0.396,14
-0.396,-0.394,8
-0.394,-0.392,15
-0.392,-0.39,18
-0.39,-0.388,23
-0.388,-0.386,15
-0.386,-0.384,13
-0.384,-0.382,22
-0.382,-0.38,39
-0.38,-0.378,23
-0.378,-0.376,25
-0.376,-0.374,12
-0.374,-0.372,26
-0.372,-0.37,9
-0.37,-0.368,22
-0.368,-0.366,24
-0.366,-0.364,23
-0.364,-0.362,19
-0.362,-0.36,26
-0.36,-0.358,15
-0.358,-0.356,19
-0.356,-0.354,25
-0.354,-0.352,20
