Ti,Tf,Counts
-0.205,-0.189,82
-0.189,-0.173,55
-0.173,-0.157,53
-0.157,-0.141,48
-0.141,-0.125,53
-0.125,-0.109,78
-0.109,-0.093,49
-0.093,-0.077,55
-0.077,-0.061,51
-0.061,-0.045,50
-0.045,-0.029,64
-0.029,-0.013,61
-0.013,0.003,109
0.003,0.019,90
0.019,0.035,90
0.035,0.051,81
0.051,0.067,85
0.067,0.083,84
0.083,0.099,100
0.099,0.115,103
0.115,0.131,112
0.131,0.147,135
0.147,0.163,98
0.163,0.179,123
0.179,0.195,102
0.195,0.211,110
0.211,0.227,87
0.227,0.243,87
0.243,0.259,81
0.259,0.275,73
0.275,0.291,93
0.291,0.307,83
0.307,0.323,73
0.323,0.339,77
0.339,0.355,91
0.355,0.371,74
0.371,0.387,71
0.387,0.403,80
0.403,0.419,71
0.419,0.435,105
0.435,0.451,85
0.451,0.467,50
0.467,0.483,71
0.483,0.499,90
0.499,0.515,74
0.515,0.531,64
0.531,0.547,97
0.547,0.563,75
0.563,0.579,79
0.579,0.595,101
0.595,0.611,100
0.611,0.627,74
0.627,0.643,81
0.643,0.659,87
0.659,0.675,80
0.675,0.691,117
0.691,0.707,108
0.707,0.723,116
0.723,0.739,122
0.739,0.755,146
0.755,0.771,158
0.771,0.787,154
0.787,0.803,194
0.803,0.819,177
0.819,0.835,195
0.835,0.851,186
0.851,0.867,209
0.867,0.883,190
0.883,0.899,206
0.899,0.915,208
0.915,0.931,210
0.931,0.947,226
0.947,0.963,254
0.963,0.979,226
0.979,0.995,259
0.995,1.011,225
1.011,1.027,208
1.027,1.043,177
1.043,1.059,229
1.059,1.075,267
1.075,1.091,259
1.091,1.107,233
1.107,1.123,219
1.123,1.139,161
1.139,1.155,141
1.155,1.171,155
1.171,1.187,152
1.187,1.203,135
1.203,1.219,148
1.219,1.235,118
1.235,1.251,140
1.251,1.267,112
1.267,1.283,124
1.283,1.299,123
1.299,1.315,100
1.315,1.331,112
1.331,1.347,122
1.347,1.363,85
1.363,1.379,83
1.379,1.395,82
1.395,1.411,58
1.411,1.427,60
1.427,1.443,54
1.443,1.459,65
1.459,1.475,54
1.475,1.491,49
1.491,1.507,81
1.507,1.523,81
1.523,1.539,62
1.539,1.555,49
1.555,1.571,79
1.571,1.587,70
1.587,1.603,58
1.603,1.619,61
1.619,1.635,47
1.635,1.651,63
1.651,1.667,48
1.667,1.683,87
1.683,1.699,66
1.699,1.715,38
1.715,1.731,47
1.731,1.747,53
1.747,1.763,42
1.763,1.779,48
1.779,1.795,44
1.795,1.811,29
