Ti,Tf,Counts
-1.001,-0.985,33
-0.985,-0.969,37
-0.969,-0.953,49
-0.953,-0.937,37
-0.937,-0.921,38
-0.921,-0.905,57
-0.905,-0.889,48
-0.889,-0.873,31
-0.873,-0.857,32
-0.857,-0.841,39
-0.841,-0.825,32
-0.825,-0.809,42
-0.809,-0.793,27
-0.793,-0.777,43
-0.777,-0.761,27
-0.761,-0.745,37
-0.745,-0.729,43
-0.729,-0.713,37
-0.713,-0.697,25
-0.697,-0.681,34
-0.681,-0.665,37
-0.665,-0.649,37
-0.649,-0.633,24
-0.633,-0.617,44
-0.617,-0.601,53
-0.601,-0.585,37
-0.585,-0.569,39
-0.569,-0.553,41
-0.553,-0.537,39
-0.537,-0.521,41
-0.521,-0.505,45
-0.505,-0.489,32
-0.489,-0.473,45
-0.473,-0.457,51
-0.457,-0.441,47
-0.441,-0.425,42
-0.425,-0.409,67
-0.409,-0.393,57
-0.393,-0.377,39
-0.377,-0.361,44
-0.361,-0.345,36
-0.345,-0.329,38
-0.329,-0.313,30
-0.313,-0.297,74
-0.297,-0.281,24
-0.281,-0.265,45
-0.265,-0.249,54
-0.249,-0.233,32
-0.233,-0.217,54
-0.217,-0.201,23
-0.201,-0.185,47
-0.185,-0.169,50
-0.169,-0.153,43
-0.153,-0.137,31
-0.137,-0.121,42
-0.121,-0.105,44
-0.105,-0.089,61
-0.089,-0.073,71
-0.073,-0.057,40
-0.057,-0.041,33
-0.041,-0.025,52
-0.025,-0.009,55
-0.009,0.007,212
0.007,0.023,187
0.023,0.039,173
0.039,0.055,65
0.055,0.071,39
0.071,0.087,41
0.087,0.103,39
0.103,0.119,30
0.119,0.135,39
0.135,0.151,36
0.151,0.167,33
0.167,0.183,40
0.183,0.199,41
0.199,0.215,40
0.215,0.231,45
0.231,0.247,45
0.247,0.263,44
0.263,0.279,39
0.279,0.295,29
0.295,0.311,41
0.311,0.327,36
0.327,0.343,34
0.343,0.359,32
0.359,0.375,29
0.375,0.391,59
0.391,0.407,70
0.407,0.423,24
0.423,0.439,31
0.439,0.455,33
0.455,0.471,39
0.471,0.487,25
0.487,0.503,40
0.503,0.519,40
0.519,0.535,35
0.535,0.551,41
0.551,0.567,69
0.567,0.583,26
0.583,0.599,36
0.599,0.615,32
0.615,0.631,44
0.631,0.647,53
0.647,0.663,44
0.663,0.679,41
0.679,0.695,48
0.695,0.711,42
0.711,0.727,40
0.727,0.743,63
0.743,0.759,35
0.759,0.775,60
0.775,0.791,30
0.791,0.807,50
0.807,0.823,39
0.823,0.839,46
0.839,0.855,45
0.855,0.871,35
0.871,0.887,34
0.887,0.903,70
0.903,0.919,53
0.919,0.935,43
0.935,0.951,33
0.951,0.967,51
0.967,0.983,48
0.983,0.999,36
0.999,1.015,28
