Ti,Tf,Counts
-1.009,-0.977,200
-0.977,-0.945,192
-0.945,-0.913,181
-0.913,-0.881,199
-0.881,-0.849,145
-0.849,-0.817,173
-0.817,-0.785,164
-0.785,-0.753,187
-0.753,-0.721,149
-0.721,-0.689,180
-0.689,-0.657,175
-0.657,-0.625,174
-0.625,-0.593,170
-0.593,-0.561,147
-0.561,-0.529,171
-0.529,-0.497,175
-0.497,-0.465,172
-0.465,-0.433,158
-0.433,-0.401,155
-0.401,-0.369,144
-0.369,-0.337,143
-0.337,-0.305,192
-0.305,-0.273,200
-0.273,-0.241,154
-0.241,-0.209,162
-0.209,-0.177,160
-0.177,-0.145,174
-0.145,-0.113,195
-0.113,-0.081,195
-0.081,-0.049,218
-0.049,-0.017,201
-0.017,0.015,253
0.015,0.047,185
0.047,0.079,260
0.079,0.111,274
0.111,0.143,277
0.143,0.175,350
0.175,0.207,315
0.207,0.239,343
0.239,0.271,363
0.271,0.303,356
0.303,0.335,394
0.335,0.367,425
0.367,0.399,386
0.399,0.431,412
0.431,0.463,437
0.463,0.495,477
0.495,0.527,505
0.527,0.559,552
0.559,0.591,550
0.591,0.623,674
0.623,0.655,648
0.655,0.687,652
0.687,0.719,603
0.719,0.751,573
0.751,0.783,597
0.783,0.815,573
0.815,0.847,624
0.847,0.879,499
0.879,0.911,565
0.911,0.943,559
0.943,0.975,518
0.975,1.007,544
1.007,1.039,515
1.039,1.071,451
1.071,1.103,481
1.103,1.135,476
1.135,1.167,482
1.167,1.199,412
1.199,1.231,454
1.231,1.263,414
1.263,1.295,421
1.295,1.327,469
1.327,1.359,491
1.359,1.391,436
1.391,1.423,428
1.423,1.455,396
1.455,1.487,401
1.487,1.519,377
1.519,1.551,396
1.551,1.583,351
1.583,1.615,368
1.615,1.647,382
1.647,1.679,350
1.679,1.711,391
1.711,1.743,417
1.743,1.775,382
1.775,1.807,398
1.807,1.839,403
1.839,1.871,381
1.871,1.903,399
1.903,1.935,334
1.935,1.967,300
1.967,1.999,374
1.999,2.031,325
2.031,2.063,335
2.063,2.095,336
2.095,2.127,287
2.127,2.159,294
2.159,2.191,258
2.191,2.223,245
2.223,2.255,275
2.255,2.287,258
2.287,2.319,280
2.319,2.351,269
2.351,2.383,296
2.383,2.415,255
2.415,2.447,320
2.447,2.479,261
2.479,2.511,287
2.511,2.543,307
2.543,2.575,306
2.575,2.607,315
2.607,2.639,310
2.639,2.671,326
2.671,2.703,315
2.703,2.735,304
2.735,2.767,339
2.767,2.799,357
2.799,2.831,348
2.831,2.863,318
2.863,2.895,341
2.895,2.927,294
2.927,2.959,269
2.959,2.991,250
2.991,3.023,231
3.023,3.055,266
3.055,3.087,248
3.087,3.119,247
3.119,3.151,217
3.151,3.183,283
3.183,3.215,231
3.215,3.247,265
3.247,3.279,204
3.279,3.311,246
3.311,3.343,278
3.343,3.375,222
3.375,3.407,216
3.407,3.439,187
3.439,3.471,233
3.471,3.503,198
3.503,3.535,218
3.535,3.567,183
3.567,3.599,236
3.599,3.631,220
3.631,3.663,215
3.663,3.695,180
3.695,3.727,224
3.727,3.759,183
3.759,3.791,209
3.791,3.823,178
3.823,3.855,176
3.855,3.887,217
3.887,3.919,195
3.919,3.951,237
3.951,3.983,174
3.983,4.015,120
4.015,4.047,0
4.047,4.079,0
4.079,4.111,0
4.111,4.143,0
4.143,4.175,0
4.175,4.207,0
4.207,4.239,0
4.239,4.271,0
4.271,4.303,0
4.303,4.335,0
4.335,4.367,0
4.367,4.399,0
4.399,4.431,0
4.431,4.463,0
4.463,4.495,0
4.495,4.527,0
4.527,4.559,0
4.559,4.591,0
4.591,4.623,0
4.623,4.655,0
4.655,4.687,0
