Ti,Tf,Counts
-1.047,-1.031,113
-1.031,-1.015,121
-1.015,-0.999,149
-0.999,-0.983,100
-0.983,-0.967,121
-0.967,-0.951,119
-0.951,-0.935,134
-0.935,-0.919,126
-0.919,-0.903,124
-0.903,-0.887,124
-0.887,-0.871,91
-0.871,-0.855,89
-0.855,-0.839,136
-0.839,-0.823,126
-0.823,-0.807,108
-0.807,-0.791,124
-0.791,-0.775,144
-0.775,-0.759,121
-0.759,-0.743,131
-0.743,-0.727,115
-0.727,-0.711,122
-0.711,-0.695,106
-0.695,-0.679,129
-0.679,-0.663,110
-0.663,-0.647,121
-0.647,-0.631,153
-0.631,-0.615,112
-0.615,-0.599,112
-0.599,-0.583,160
-0.583,-0.567,117
-0.567,-0.551,122
-0.551,-0.535,129
-0.535,-0.519,131
-0.519,-0.503,111
-0.503,-0.487,140
-0.487,-0.471,146
-0.471,-0.455,104
-0.455,-0.439,104
-0.439,-0.423,108
-0.423,-0.407,146
-0.407,-0.391,134
-0.391,-0.375,120
-0.375,-0.359,99
-0.359,-0.343,124
-0.343,-0.327,136
-0.327,-0.311,111
-0.311,-0.295,115
-0.295,-0.279,121
-0.279,-0.263,126
-0.263,-0.247,129
-0.247,-0.231,119
-0.231,-0.215,152
-0.215,-0.199,127
-0.199,-0.183,125
-0.183,-0.167,127
-0.167,-0.151,112
-0.151,-0.135,120
-0.135,-0.119,109
-0.119,-0.103,151
-0.103,-0.087,132
-0.087,-0.071,116
-0.071,-0.055,146
-0.055,-0.039,141
-0.039,-0.023,151
-0.023,-0.007,131
-0.007,0.009,179
0.009,0.025,190
0.025,0.041,403
0.041,0.057,308
0.057,0.073,232
0.073,0.089,269
0.089,0.105,249
0.105,0.121,184
0.121,0.137,133
0.137,0.153,113
0.153,0.169,122
0.169,0.185,139
0.185,0.201,116
0.201,0.217,176
0.217,0.233,131
0.233,0.249,146
0.249,0.265,87
0.265,0.281,128
0.281,0.297,106
0.297,0.313,118
0.313,0.329,105
0.329,0.345,148
0.345,0.361,136
0.361,0.377,106
0.377,0.393,122
0.393,0.409,134
0.409,0.425,124
0.425,0.441,119
0.441,0.457,126
0.457,0.473,127
0.473,0.489,125
0.489,0.505,124
0.505,0.521,136
0.521,0.537,91
0.537,0.553,146
0.553,0.569,167
0.569,0.585,99
0.585,0.601,98
0.601,0.617,128
0.617,0.633,124
0.633,0.649,104
0.649,0.665,104
0.665,0.681,131
0.681,0.697,117
0.697,0.713,124
0.713,0.729,115
0.729,0.745,142
0.745,0.761,126
0.761,0.777,112
0.777,0.793,111
0.793,0.809,126
0.809,0.825,155
0.825,0.841,110
0.841,0.857,99
0.857,0.873,126
0.873,0.889,127
0.889,0.905,123
0.905,0.921,117
0.921,0.937,108
0.937,0.953,122
0.953,0.969,65
