Ti,Tf,Counts
-0.98,-0.964,171
-0.964,-0.948,132
-0.948,-0.932,195
-0.932,-0.916,162
-0.916,-0.9,164
-0.9,-0.884,153
-0.884,-0.868,138
-0.868,-0.852,165
-0.852,-0.836,160
-0.836,-0.82,155
-0.82,-0.804,191
-0.804,-0.788,178
-0.788,-0.772,138
-0.772,-0.756,187
-0.756,-0.74,193
-0.74,-0.724,151
-0.724,-0.708,170
-0.708,-0.692,175
-0.692,-0.676,140
-0.676,-0.66,151
-0.66,-0.644,181
-0.644,-0.628,181
-0.628,-0.612,200
-0.612,-0.596,171
-0.596,-0.58,159
-0.58,-0.564,150
-0.564,-0.548,160
-0.548,-0.532,145
-0.532,-0.516,206
-0.516,-0.5,185
-0.5,-0.484,156
-0.484,-0.468,198
-0.468,-0.452,174
-0.452,-0.436,151
-0.436,-0.42,186
-0.42,-0.404,158
-0.404,-0.388,155
-0.388,-0.372,175
-0.372,-0.356,157
-0.356,-0.34,182
-0.34,-0.324,183
-0.324,-0.308,146
-0.308,-0.292,160
-0.292,-0.276,180
-0.276,-0.26,182
-0.26,-0.244,157
-0.244,-0.228,201
-0.228,-0.212,177
-0.212,-0.196,157
-0.196,-0.18,203
-0.18,-0.164,181
-0.164,-0.148,193
-0.148,-0.132,196
-0.132,-0.116,150
-0.116,-0.1,148
-0.1,-0.084,113
-0.084,-0.068,160
-0.068,-0.052,183
-0.052,-0.036,164
-0.036,-0.02,215
-0.02,-0.004,203
-0.004,0.012,253
0.012,0.028,352
0.028,0.044,293
0.044,0.06,282
0.06,0.076,252
0.076,0.092,212
0.092,0.108,230
0.108,0.124,174
0.124,0.14,234
0.14,0.156,361
0.156,0.172,1037
0.172,0.188,1066
0.188,0.204,750
0.204,0.22,962
0.22,0.236,460
0.236,0.252,473
0.252,0.268,366
0.268,0.284,218
0.284,0.3,175
0.3,0.316,220
0.316,0.332,196
0.332,0.348,166
0.348,0.364,195
0.364,0.38,190
0.38,0.396,179
0.396,0.412,165
0.412,0.428,197
0.428,0.444,179
0.444,0.46,154
0.46,0.476,159
0.476,0.492,183
0.492,0.508,211
0.508,0.524,164
0.524,0.54,178
0.54,0.556,139
0.556,0.572,130
0.572,0.588,186
0.588,0.604,165
0.604,0.62,173
0.62,0.636,146
0.636,0.652,184
0.652,0.668,163
0.668,0.684,200
0.684,0.7,197
0.7,0.716,198
0.716,0.732,164
0.732,0.748,186
0.748,0.764,245
0.764,0.78,187
0.78,0.796,175
0.796,0.812,115
0.812,0.828,192
0.828,0.844,168
0.844,0.86,173
0.86,0.876,178
0.876,0.892,154
0.892,0.908,155
0.908,0.924,146
0.924,0.94,157
0.94,0.956,158
0.956,0.972,166
0.972,0.988,166
0.988,1.004,157
1.004,1.02,155
1.02,1.036,96
