Ti,Tf,Counts
-0.884,-0.882,9
-0.882,-0.88,8
-0.88,-0.878,23
-0.878,-0.876,14
-0.876,-0.874,3
-0.874,-0.872,18
-0.872,-0.87,8
-0.87,-0.868,5
-0.868,-0.866,24
-0.866,-0.864,11
-0.864,-0.862,8
-0.862,-0.86,5
-0.86,-0.858,6
-0.858,-0.856,12
-0.856,-0.854,11
-0.854,-0.852,21
-0.852,-0.85,3
-0.85,-0.848,3
-0.848,-0.846,16
-0.846,-0.844,6
-0.844,-0.842,8
-0.842,-0.84,15
-0.84,-0.838,9
-0.838,-0.836,13
-0.836,-0.834,14
-0.834,-0.832,14
-0.832,-0.83,9
-0.83,-0.828,8
-0.828,-0.826,5
-0.826,-0.824,12
-0.824,-0.822,12
-0.822,-0.82,13
-0.82,-0.818,17
-0.818,-0.816,3
-0.816,-0.814,15
-0.814,-0.812,10
-0.812,-0.81,13
-0.81,-0.808,27
-0.808,-0.806,11
-0.806,-0.804,18
-0.804,-0.802,24
-0.802,-0.8,9
-0.8,-0.798,6
-0.798,-0.796,12
-0.796,-0.794,13
-0.794,-0.792,7
-0.792,-0.79,9
-0.79,-0.788,11
-0.788,-0.786,8
-0.786,-0.784,7
-0.784,-0.782,11
-0.782,-0.78,7
-0.78,-0.778,6
-0.778,-0.776,6
-0.776,-0.774,8
-0.774,-0.772,8
-0.772,-0.77,23
-0.77,-0.768,10
-0.768,-0.766,8
-0.766,-0.764,13
-0.764,-0.762,11
-0.762,-0.76,17
-0.76,-0.758,12
-0.758,-0.756,6
-0.756,-0.754,5
-0.754,-0.752,13
-0.752,-0.75,20
-0.75,-0.748,23
-0.748,-0.746,5
-0.746,-0.744,2
-0.744,-0.742,11
-0.742,-0.74,4
-0.74,-0.738,3
-0.738,-0.736,9
-0.736,-0.734,9
-0.734,-0.732,12
-0.732,-0.73,9
-0.73,-0.728,8
-0.728,-0.726,8
-0.726,-0.724,6
-0.724,-0.722,8
-0.722,-0.72,15
-0.72,-0.718,11
-0.718,-0.716,8
-0.716,-0.714,7
-0.714,-0.712,7
-0.712,-0.71,29
-0.71,-0.708,10
-0.708,-0.706,13
-0.706,-0.704,8
-0.704,-0.702,9
-0.702,-0.7,11
-0.7,-0.698,3
-0.698,-0.696,16
-0.696,-0.694,8
-0.694,-0.692,16
-0.692,-0.69,5
-0.69,-0.688,7
-0.688,-0.686,7
-0.686,-0.684,3
-0.684,-0.682,7
-0.682,-0.68,8
-0.68,-0.678,13
-0.678,-0.676,11
-0.676,-0.674,9
-0.674,-0.672,12
-0.672,-0.67,10
-0.67,-0.668,19
-0.668,-0.666,4
-0.666,-0.664,17
-0.664,-0.662,8
-0.662,-0.66,18
-0.66,-0.658,17
-0.658,-0.656,8
-0.656,-0.654,5
-0.654,-0.652,14
-0.652,-0.65,15
-0.65,-0.648,8
-0.648,-0.646,10
-0.646,-0.644,13
-0.644,-0.642,4
-0.642,-0.64,10
-0.64,-0.638,5
-0.638,-0.636,15
-0.636,-0.634,6
-0.634,-0.632,8
-0.632,-0.63,5
-0.63,-0.628,10
-0.628,-0.626,11
-0.626,-0.624,13
-0.624,-0.622,17
-0.622,-0.62,7
-0.62,-0.618,8
-0.618,-0.616,10
-0.616,-0.614,13
-0.614,-0.612,6
-0.612,-0.61,18
-0.61,-0.608,3
-0.608,-0.606,20
-0.606,-0.604,9
-0.604,-0.602,5
-0.602,-0.6,8
-0.6,-0.598,7
-0.598,-0.596,15
-0.596,-0.594,17
-0.594,-0.592,7
-0.592,-0.59,4
-0.59,-0.588,8
-0.588,-0.586,7
-0.586,-0.584,13
-0.584,-0.582,30
-0.582,-0.58,6
-0.58,-0.578,7
-0.578,-0.576,13
-0.576,-0.574,12
-0.574,-0.572,12
-0.572,-0.57,6
-0.57,-0.568,17
-0.568,-0.566,19
-0.566,-0.564,9
-0.564,-0.562,22
-0.562,-0.56,13
-0.56,-0.558,8
-0.558,-0.556,18
-0.556,-0.554,14
-0.554,-0.552,3
-0.552,-0.55,3
-0.55,-0.548,7
-0.548,-0.546,11
-0.546,-0.544,22
-0.544,-0.542,9
-0.542,-0.54,13
-0.54,-0.538,2
-0.538,-0.536,8
-0.536,-0.534,3
-0.534,-0.532,12
-0.532,-0.53,7
-0.53,-0.528,6
-0.528,-0.526,18
-0.526,-0.524,1
-0.524,-0.522,14
