######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000125    2021-Jan-01 19:48:12.359284      10842 
000126    2021-Jan-01 19:48:13.858728      10848 
000127    2021-Jan-01 19:48:15.025206      10855 
000128    2021-Jan-01 19:48:16.025293      10861 
000129    2021-Jan-01 19:48:17.025189      10868 
000130    2021-Jan-01 19:48:19.109304      10881 
000131    2021-Jan-01 19:48:20.442378      10894 
000132    2021-Jan-01 19:48:21.608964      10900 
000133    2021-Jan-01 19:48:23.442384      10913 
000134    2021-Jan-01 19:48:25.607895      10926 
000135    2021-Jan-01 19:48:26.691147      10933 
000136    2021-Jan-01 19:48:28.274930      10946 
000137    2021-Jan-01 19:48:29.358092      10952 
000138    2021-Jan-01 19:48:31.358091      10965 
000139    2021-Jan-01 19:48:32.358088      10972 
000140    2021-Jan-01 19:48:33.607830      10978 
000141    2021-Jan-01 19:48:39.506564      11017 
000142    2021-Jan-01 19:48:47.090163      11063 
000143    2021-Jan-01 19:48:51.339922      11095 
000144    2021-Jan-01 19:48:52.339976      11102 
000145    2021-Jan-01 19:48:53.339986      11108 
000146    2021-Jan-01 19:48:54.922670      11115 
000147    2021-Jan-01 19:48:56.589688      11128 
000148    2021-Jan-01 19:49:00.838367      11154 
000149    2021-Jan-01 19:49:01.838410      11160 
000150    2021-Jan-01 19:49:07.089029      11193 
000151    2021-Jan-01 19:49:13.755126      11238 
000152    2021-Jan-01 19:49:21.588533      11290 
000153    2021-Jan-01 19:49:26.087887      11316 
000154    2021-Jan-01 19:49:28.920473      11335 
000155    2021-Jan-01 19:49:30.670684      11348 
000156    2021-Jan-01 19:49:57.005589      11517 
000157    2021-Jan-01 19:50:11.837940      11615 
000158    2021-Jan-01 21:26:56.417916      49301 
000159    2021-Jan-01 21:27:01.335931      49333 
000160    2021-Jan-01 21:27:02.335918      49340 
000161    2021-Jan-01 21:27:03.335911      49346 
000162    2021-Jan-01 21:27:06.083873      49359 
000163    2021-Jan-01 21:27:07.083813      49366 
000164    2021-Jan-01 21:27:09.667398      49385 
000165    2021-Jan-01 21:27:12.584341      49405 
000166    2021-Jan-01 21:27:13.584264      49411 
000167    2021-Jan-01 21:27:14.584382      49418 
000168    2021-Jan-01 21:27:19.082775      49444 
000169    2021-Jan-01 21:27:21.082622      49457 
000170    2021-Jan-01 21:27:22.500084      49470 
000171    2021-Jan-01 21:27:25.082731      49483 
000172    2021-Jan-01 21:27:26.166552      49489 
000173    2021-Jan-01 21:27:29.334759      49515 
000174    2021-Jan-01 21:27:30.334749      49522 
000175    2021-Jan-01 21:27:31.416889      49528 
000176    2021-Jan-01 21:27:32.916042      49535 
000177    2021-Jan-01 21:27:35.834743      49554 
000178    2021-Jan-01 21:27:37.918003      49567 
000179    2021-Jan-01 21:27:38.918046      49574 
000180    2021-Jan-01 21:27:39.918101      49580 
000181    2021-Jan-01 21:27:41.253494      49587 
000182    2021-Jan-01 21:27:43.335353      49606 
000183    2021-Jan-01 21:27:45.335909      49619 
000184    2021-Jan-01 21:27:47.252298      49626 
000185    2021-Jan-01 21:27:49.501862      49645 
000186    2021-Jan-01 21:27:50.501885      49652 
000187    2021-Jan-01 21:27:52.167407      49658 
000188    2021-Jan-01 21:27:53.167390      49665 
000189    2021-Jan-01 21:27:54.334265      49678 
000190    2021-Jan-01 21:27:55.833643      49684 
000191    2021-Jan-01 21:27:56.918353      49691 
000192    2021-Jan-01 21:27:59.500665      49710 
000193    2021-Jan-01 21:28:03.335564      49736 
000194    2021-Jan-02 00:32:41.228835      88308 
000195    2021-Jan-02 00:46:15.164494      85319 
000196    2021-Jan-02 00:46:31.330843      85261 
000197    2021-Jan-02 02:12:01.883540      66294 
000198    2021-Jan-02 02:12:19.968787      66226 
000199    2021-Jan-02 02:12:37.151421      66163 
000200    2021-Jan-02 02:12:42.568857      66140 
000201    2021-Jan-02 02:12:54.734278      66096 
000202    2021-Jan-02 03:52:07.789248      44129 
000203    2021-Jan-02 06:59:26.830895       2172 
000204    2021-Jan-02 08:11:53.463820     -13951 
000205    2021-Jan-02 08:12:04.130800     -13992 
000206    2021-Jan-02 08:12:15.797882     -14038 
000207    2021-Jan-02 08:12:36.213230     -14113 
000208    2021-Jan-02 11:18:02.323731     -56632 
000209    2021-Jan-02 12:48:33.877496     -77336 
000210    2021-Jan-02 12:48:42.879565     -77370 
000211    2021-Jan-02 12:48:44.045557     -77378 
000212    2021-Jan-02 12:49:10.044610     -77476 
000213    2021-Jan-02 12:49:27.293376     -77540 
000214    2021-Jan-02 12:49:39.962579     -77589 
000215    2021-Jan-02 12:49:56.044709     -77649 
000216    2021-Jan-02 12:50:17.794941     -77728 
000217    2021-Jan-02 12:50:43.962832     -77830 
000218    2021-Jan-02 12:50:48.628603     -77845 
000219    2021-Jan-02 12:50:57.961794     -77883 
000220    2021-Jan-02 12:51:09.211542     -77924 
000221    2021-Jan-02 12:51:25.376984     -77984 
000222    2021-Jan-02 12:53:44.563086     -78508 
000223    2021-Jan-02 14:27:52.433606     -99481 
000224    2021-Jan-02 14:28:27.016425     -99611 
000225    2021-Jan-02 14:29:16.516055     -99793 
000226    2021-Jan-02 14:29:29.515141     -99842 
000227    2021-Jan-02 14:29:30.515131     -99846 
000228    2021-Jan-02 14:30:05.433053     -99976 
000229    2021-Jan-02 14:30:17.599552    -100021 
