######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000125    2021-Jan-02 17:44:53.400665     -25913 
000126    2021-Jan-02 17:53:52.296241     -22484 
000127    2021-Jan-02 17:58:23.742435     -20754 
000128    2021-Jan-02 19:08:54.623986       6439 
000129    2021-Jan-02 19:17:44.136599       9871 
000130    2021-Jan-02 19:21:46.930166      11438 
000131    2021-Jan-02 19:24:44.515204      12591 
000132    2021-Jan-02 20:33:07.551347      39234 
000133    2021-Jan-02 20:38:02.334118      41151 
000134    2021-Jan-02 20:38:07.167602      41184 
000135    2021-Jan-02 20:39:05.426107      41561 
000136    2021-Jan-02 20:54:24.566082      47527 
000137    2021-Jan-02 20:55:11.232711      47831 
000138    2021-Jan-02 20:59:33.767588      49530 
000139    2021-Jan-02 20:59:46.038139      49608 
000140    2021-Jan-02 22:15:15.582966      79004 
000141    2021-Jan-02 22:23:52.888199      82370 
000142    2021-Jan-02 23:39:55.010584      93839 
000143    2021-Jan-02 23:40:29.249667      93712 
000144    2021-Jan-02 23:49:05.640391      91773 
000145    2021-Jan-02 23:51:10.684537      91302 
000146    2021-Jan-03 00:04:08.173700      88360 
000147    2021-Jan-03 00:08:04.576938      87458 
000148    2021-Jan-03 01:17:42.356777      71498 
000149    2021-Jan-03 01:19:57.690666      70982 
000150    2021-Jan-03 01:22:41.827811      70354 
000151    2021-Jan-03 01:36:40.064447      67145 
000152    2021-Jan-03 01:36:57.486603      67076 
000153    2021-Jan-03 01:39:16.704794      66538 
000154    2021-Jan-03 02:50:28.212700      50096 
000155    2021-Jan-03 02:53:11.805849      49465 
000156    2021-Jan-03 02:53:58.738941      49284 
000157    2021-Jan-03 02:56:54.236130      48611 
000158    2021-Jan-03 03:03:37.024283      47060 
000159    2021-Jan-03 03:08:27.590864      45942 
000160    2021-Jan-03 03:16:00.410954      44195 
000161    2021-Jan-03 04:18:24.993875      30135 
000162    2021-Jan-03 04:19:13.250442      29956 
000163    2021-Jan-03 04:21:37.903941      29414 
000164    2021-Jan-03 04:39:51.321284      25316 
000165    2021-Jan-03 04:40:28.147635      25176 
000166    2021-Jan-03 04:46:46.580236      23747 
000167    2021-Jan-03 04:47:03.397674      23687 
000168    2021-Jan-03 05:50:26.151256       9236 
000169    2021-Jan-03 05:54:43.132762       8253 
000170    2021-Jan-03 05:58:58.729112       7272 
000171    2021-Jan-03 06:11:19.810861       4420 
000172    2021-Jan-03 06:11:32.315535       4374 
000173    2021-Jan-03 06:20:02.415687       2414 
000174    2021-Jan-03 07:27:21.105177     -12820 
000175    2021-Jan-03 07:30:12.868478     -13469 
000176    2021-Jan-03 07:33:19.854606     -14177 
000177    2021-Jan-03 07:34:54.909239     -14537 
000178    2021-Jan-03 07:40:18.235415     -15760 
000179    2021-Jan-03 07:44:19.520398     -16676 
000180    2021-Jan-03 07:44:25.225902     -16699 
000181    2021-Jan-03 09:20:24.340662     -38842 
000182    2021-Jan-03 10:34:59.268181     -55749 
000183    2021-Jan-03 10:36:11.036256     -56017 
000184    2021-Jan-03 10:36:54.745801     -56181 
000185    2021-Jan-03 10:37:16.460310     -56259 
000186    2021-Jan-03 10:51:20.517935     -59403 
000187    2021-Jan-03 10:53:00.960974     -59779 
000188    2021-Jan-03 10:54:19.637965     -60070 
000189    2021-Jan-03 12:04:28.912828     -75732 
