Full photon list bin count,Filtered (by=energy flags) bin count,Filtered+ (by=energy flags background) bin count. bg is 10 counts pr 2 ms bin,left bin edge [ms]
9,6,-4,6.142604
35,12,2,8.142604
20,13,3,10.142604
16,10,0,12.142604
19,8,-2,14.142604
17,8,-2,16.142604
27,8,-2,18.142604
36,14,4,20.142604
29,10,0,22.142604
27,8,-2,24.142604
14,10,0,26.142604
16,11,1,28.142604
20,12,2,30.142604
19,8,-2,32.142604
17,7,-3,34.142604
13,9,-1,36.142604
21,8,-2,38.142604
23,8,-2,40.142604
9,8,-2,42.142604
21,10,0,44.142604
13,6,-4,46.142604
20,7,-3,48.142604
16,11,1,50.142604
12,4,-6,52.142604
25,11,1,54.142604
14,8,-2,56.142604
17,9,-1,58.142604
7,4,-6,60.142604
24,9,-1,62.142604
33,12,2,64.142604
30,8,-2,66.142604
26,10,0,68.142604
16,9,-1,70.142604
21,3,-7,72.142604
26,10,0,74.142604
25,4,-6,76.142604
31,11,1,78.142604
21,8,-2,80.142604
9,5,-5,82.142604
28,14,4,84.142604
32,15,5,86.142604
14,6,-4,88.142604
11,4,-6,90.142604
38,15,5,92.142604
14,6,-4,94.142604
14,5,-5,96.142604
45,19,9,98.142604
16,3,-7,100.142604
16,7,-3,102.142604
35,17,7,104.142604
25,10,0,106.142604
11,6,-4,108.142604
30,6,-4,110.142604
13,9,-1,112.142604
17,10,0,114.142604
15,7,-3,116.142604
16,12,2,118.142604
28,7,-3,120.142604
43,11,1,122.142604
23,9,-1,124.142604
29,17,7,126.142604
23,7,-3,128.142604
30,14,4,130.142604
25,8,-2,132.142604
15,8,-2,134.142604
10,5,-5,136.142604
23,11,1,138.142604
12,8,-2,140.142604
22,10,0,142.142604
31,18,8,144.142604
32,11,1,146.142604
17,6,-4,148.142604
25,14,4,150.142604
19,5,-5,152.142604
20,14,4,154.142604
28,7,-3,156.142604
24,9,-1,158.142604
23,9,-1,160.142604
36,18,8,162.142604
33,9,-1,164.142604
9,3,-7,166.142604
18,8,-2,168.142604
35,13,3,170.142604
42,12,2,172.142604
42,10,0,174.142604
21,9,-1,176.142604
26,16,6,178.142604
23,10,0,180.142604
28,14,4,182.142604
30,11,1,184.142604
26,16,6,186.142604
29,16,6,188.142604
16,3,-7,190.142604
26,10,0,192.142604
25,14,4,194.142604
32,11,1,196.142604
20,8,-2,198.142604
29,12,2,200.142604
34,17,7,202.142604
24,11,1,204.142604
27,15,5,206.142604
14,7,-3,208.142604
13,6,-4,210.142604
26,10,0,212.142604
30,13,3,214.142604
30,11,1,216.142604
9,5,-5,218.142604
44,15,5,220.142604
21,7,-3,222.142604
23,12,2,224.142604
13,6,-4,226.142604
33,14,4,228.142604
28,13,3,230.142604
30,15,5,232.142604
24,15,5,234.142604
35,16,6,236.142604
20,9,-1,238.142604
30,8,-2,240.142604
12,9,-1,242.142604
30,8,-2,244.142604
34,12,2,246.142604
22,12,2,248.142604
29,15,5,250.142604
22,8,-2,252.142604
15,5,-5,254.142604
24,10,0,256.142604
18,8,-2,258.142604
16,9,-1,260.142604
40,11,1,262.142604
17,10,0,264.142604
28,13,3,266.142604
26,13,3,268.142604
17,9,-1,270.142604
17,9,-1,272.142604
12,6,-4,274.142604
19,7,-3,276.142604
22,9,-1,278.142604
40,14,4,280.142604
19,9,-1,282.142604
26,8,-2,284.142604
33,16,6,286.142604
22,12,2,288.142604
16,5,-5,290.142604
10,5,-5,292.142604
27,4,-6,294.142604
22,11,1,296.142604
16,7,-3,298.142604
24,12,2,300.142604
34,11,1,302.142604
17,7,-3,304.142604
21,7,-3,306.142604
20,7,-3,308.142604
13,9,-1,310.142604
22,9,-1,312.142604
10,9,-1,314.142604
16,10,0,316.142604
21,10,0,318.142604
22,11,1,320.142604
21,6,-4,322.142604
16,8,-2,324.142604
14,8,-2,326.142604
23,13,3,328.142604
19,7,-3,330.142604
23,15,5,332.142604
15,3,-7,334.142604
22,12,2,336.142604
25,7,-3,338.142604
23,12,2,340.142604
28,12,2,342.142604
30,14,4,344.142604
20,10,0,346.142604
21,12,2,348.142604
30,8,-2,350.142604
12,8,-2,352.142604
36,15,5,354.142604
21,11,1,356.142604
17,5,-5,358.142604
13,7,-3,360.142604
18,8,-2,362.142604
25,11,1,364.142604
15,6,-4,366.142604
9,8,-2,368.142604
34,15,5,370.142604
18,12,2,372.142604
21,13,3,374.142604
19,8,-2,376.142604
34,14,4,378.142604
13,4,-6,380.142604
17,7,-3,382.142604
11,6,-4,384.142604
18,7,-3,386.142604
19,11,1,388.142604
24,12,2,390.142604
18,9,-1,392.142604
24,8,-2,394.142604
19,9,-1,396.142604
16,8,-2,398.142604
17,5,-5,400.142604
20,10,0,402.142604
28,9,-1,404.142604
19,8,-2,406.142604
25,8,-2,408.142604
18,9,-1,410.142604
27,11,1,412.142604
34,13,3,414.142604
21,7,-3,416.142604
12,12,2,418.142604
14,2,-8,420.142604
17,7,-3,422.142604
35,18,8,424.142604
21,10,0,426.142604
30,9,-1,428.142604
15,14,4,430.142604
16,7,-3,432.142604
18,7,-3,434.142604
17,14,4,436.142604
28,16,6,438.142604
21,5,-5,440.142604
16,8,-2,442.142604
23,12,2,444.142604
11,7,-3,446.142604
23,7,-3,448.142604
24,12,2,450.142604
28,12,2,452.142604
32,16,6,454.142604
30,12,2,456.142604
29,13,3,458.142604
30,11,1,460.142604
17,3,-7,462.142604
14,5,-5,464.142604
10,10,0,466.142604
23,10,0,468.142604
35,16,6,470.142604
22,9,-1,472.142604
21,5,-5,474.142604
30,18,8,476.142604
30,12,2,478.142604
21,13,3,480.142604
17,9,-1,482.142604
18,15,5,484.142604
21,11,1,486.142604
13,6,-4,488.142604
16,7,-3,490.142604
23,9,-1,492.142604
30,15,5,494.142604
18,5,-5,496.142604
27,11,1,498.142604
29,13,3,500.142604
12,10,0,502.142604
27,16,6,504.142604
51,34,24,506.142604
55,35,25,508.142604
119,87,77,510.142604
166,140,130,512.142604
374,294,284,514.142604
308,210,200,516.142604
271,203,193,518.142604
324,241,231,520.142604
222,153,143,522.142604
158,111,101,524.142604
101,70,60,526.142604
69,53,43,528.142604
77,59,49,530.142604
94,64,54,532.142604
64,46,36,534.142604
57,30,20,536.142604
56,39,29,538.142604
50,26,16,540.142604
43,21,11,542.142604
18,12,2,544.142604
42,26,16,546.142604
26,14,4,548.142604
30,16,6,550.142604
25,13,3,552.142604
22,9,-1,554.142604
14,6,-4,556.142604
15,12,2,558.142604
39,18,8,560.142604
32,10,0,562.142604
29,12,2,564.142604
24,10,0,566.142604
20,9,-1,568.142604
24,9,-1,570.142604
21,9,-1,572.142604
32,15,5,574.142604
29,16,6,576.142604
16,8,-2,578.142604
22,13,3,580.142604
19,9,-1,582.142604
17,7,-3,584.142604
18,12,2,586.142604
31,19,9,588.142604
20,10,0,590.142604
20,6,-4,592.142604
16,9,-1,594.142604
19,9,-1,596.142604
20,13,3,598.142604
16,5,-5,600.142604
10,5,-5,602.142604
35,17,7,604.142604
28,8,-2,606.142604
31,17,7,608.142604
22,14,4,610.142604
22,11,1,612.142604
7,6,-4,614.142604
23,9,-1,616.142604
26,10,0,618.142604
25,7,-3,620.142604
13,7,-3,622.142604
23,9,-1,624.142604
24,12,2,626.142604
36,19,9,628.142604
32,11,1,630.142604
35,19,9,632.142604
16,10,0,634.142604
47,13,3,636.142604
28,8,-2,638.142604
23,10,0,640.142604
21,11,1,642.142604
28,11,1,644.142604
14,3,-7,646.142604
30,8,-2,648.142604
26,10,0,650.142604
26,15,5,652.142604
20,9,-1,654.142604
17,9,-1,656.142604
18,12,2,658.142604
32,12,2,660.142604
21,10,0,662.142604
12,4,-6,664.142604
31,11,1,666.142604
