|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB211219910|  73.729|               |               |              |
|GRB200803149| 118.274|               |               |              |
|GRB090120627|   1.856|   2.483486e+03|  -6.376111e-01| -1.161602e+01|
|GRB141022061|  11.520|   1.382681e+02|  -8.222713e-01| -1.192093e+01|
|GRB170113420|  49.152|   1.125081e+02|  -1.703981e+00| -2.046363e+01|
|GRB120827216|   5.056|   5.156775e+02|  -7.602259e-01| -2.238817e+00|
|GRB100517639|   5.440|   8.608310e+01|  -3.404391e-01| -1.770687e+01|
|GRB090802666|  27.520|   4.993767e+01|  -5.284542e-01| -2.065254e+00|
|GRB110618366| 163.843|   4.364673e+02|  -1.080016e+00| -2.127818e+00|
|GRB090516137| 110.594|   2.590915e+02|  -8.584126e-01| -2.070860e+00|
|GRB190906767|  23.040|               |               |              |
|GRB210501205|   8.192|               |               |              |
|GRB200117517|  28.416|               |               |              |
|GRB130320560| 340.992|   1.285410e+02|  -1.307841e+00| -2.643303e+00|
|GRB201104001|  52.480|               |               |              |
|GRB120711115|  44.033|   1.317518e+03|  -9.844215e-01| -2.796243e+00|
|GRB210603907|   7.936|               |               |              |
|GRB090927422|   0.512|   1.952236e+02|  -7.267829e-01| -9.536743e+00|
|GRB180801492|   7.424|               |               |              |
|GRB171212434|  32.001|   6.403893e+01|  -8.400794e-01| -2.230346e+00|
|GRB140616165|   0.512|               |               |              |
|GRB190507712|   0.096|               |               |              |
|GRB090606471|   8.064|   2.768213e+02|  -1.043536e+00| -7.338524e+00|
|GRB130505955|  50.241|   8.689952e+02|  -7.203459e-01| -3.461918e+00|
|GRB200120962|  12.800|               |               |              |
|GRB191111547| 158.212|               |               |              |
|GRB190814837|   9.984|               |               |              |
|GRB171020813|  19.200|   6.907344e+01|  -1.063568e+00| -2.814436e+00|
|GRB080717543|  36.608|   5.325081e+02|  -1.406158e+00| -2.021926e+00|
|GRB100429999|  25.024|   2.161082e+02|  -7.956460e-01| -2.325466e+00|
|GRB180630335|  48.896|   3.657000e+02|  -1.015022e+00| -1.868409e+00|
|GRB120107384|  23.040|   2.020189e+02|  -9.427786e-01| -2.399791e+00|
|GRB080905570|  26.624|   7.475285e+01|  -9.450022e-01| -2.698344e+00|
|GRB131204937|  29.952|   1.798132e+02|  -1.400977e-01| -2.059209e+00|
|GRB130327350|  31.233|   3.561315e+02|  -5.613060e-01| -1.048031e+01|
|GRB220730659|   0.160|               |               |              |
|GRB210727410|   1.088|               |               |              |
|GRB090725838|  13.760|   1.242924e+02|  -1.403905e+00| -9.922364e+00|
|GRB140322424|  10.496|   3.854314e+01|  -5.940437e-01| -2.789117e+00|
|GRB210520797|  56.065|               |               |              |
|GRB190828614|  19.968|               |               |              |
|GRB150902733|  13.568|   3.463027e+02|  -5.366204e-01| -2.250910e+00|
|GRB170625692|  22.784|   9.689835e+01|  -1.446692e+00| -9.682215e+00|
|GRB180804931|  18.432|               |               |              |
|GRB140110411|   0.768|               |               |              |
|GRB220610295|  17.664|               |               |              |
|GRB130218261|  37.121|   1.974223e+02|  -1.335935e+00| -1.960579e+00|
|GRB130420422|  27.328|   3.430990e+02|  -7.850576e-01| -2.432863e+00|
|GRB081226044|   0.832|   5.845919e+02|  -8.064137e-01| -1.862549e+01|
|GRB171024977|  35.072|   2.702735e+02|  -1.362207e+00| -2.108269e+01|
|GRB180804765|  21.504|               |               |              |
|GRB090411838|  21.501|   1.199402e+02|  -5.278348e-01| -1.688969e+00|
|GRB221021388|  68.353|               |               |              |
|GRB221201517|  28.929|               |               |              |
|GRB200924386|   2.816|               |               |              |
|GRB160716144|  28.928|   1.346466e+02|  -1.076884e+00| -8.434940e+00|
|GRB210126417|  61.441|               |               |              |
|GRB090719063|  11.392|   2.558756e+02|  -7.308776e-01| -3.053171e+00|
|GRB180906759|  13.309|               |               |              |
|GRB200223814|  65.281|               |               |              |
|GRB100605774|   8.192|   1.220556e+02|   4.111103e-01| -5.173023e+00|
|GRB110316139|   2.944|   1.982939e+03|  -9.986588e-01| -8.714062e+00|
|GRB191220589|  27.905|               |               |              |
|GRB090213236|  20.224|               |               |              |
|GRB190422670|  20.736|               |               |              |
|GRB081006604|   6.400|   4.618405e+02|  -2.196954e-01| -2.063542e+00|
|GRB090524346|  54.337|   9.533353e+01|  -9.864626e-01| -2.668753e+00|
|GRB150404733|   4.864|   8.516070e+01|  -8.258899e-01| -1.527519e+01|
|GRB100719311|   1.600|   1.189092e+03|  -8.065798e-01| -2.096406e+00|
|GRB090819607|   0.192|   4.120474e+02|  -7.185562e-02| -1.454315e+01|
|GRB180703876|  20.736|   3.507898e+02|  -7.756252e-01| -1.966854e+00|
|GRB131118958|  85.249|   3.259861e+02|  -8.206120e-01| -4.371963e+00|
|GRB170323775|  35.328|   1.124341e+02|  -4.345279e-01| -3.289078e+00|
|GRB181128751|  17.664|               |               |              |
|GRB181208188|  62.465|               |               |              |
|GRB200714774|  20.736|               |               |              |
|GRB210714331|  42.369|               |               |              |
|GRB111107035|  12.032|   2.138753e+02|  -1.251887e+00| -2.000000e+00|
|GRB190420981|   1.472|               |               |              |
|GRB151003729|  44.032|   4.337548e+03|  -1.587921e+00| -2.110636e+00|
|GRB210925056|   4.544|               |               |              |
|GRB210807955| 125.442|               |               |              |
|GRB200130417|  11.293|               |               |              |
|GRB221103285| 140.290|               |               |              |
|GRB090926181|  13.760|   3.338166e+02|  -8.480111e-01| -2.377665e+00|
|GRB220518717|   3.840|               |               |              |
|GRB150628767|   0.640|   4.210796e+02|  -7.691644e-02| -2.408373e+00|
|GRB220124074|  53.760|               |               |              |
|GRB191118925|  36.353|               |               |              |
|GRB200705674|  16.128|               |               |              |
|GRB120919816|  20.480|   6.508845e+01|  -3.264842e-01| -9.948210e+00|
|GRB180723757|  19.712|               |               |              |
|GRB200130248|  56.577|               |               |              |
