|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB180728728|   6.400|               |               |              |
|GRB200714344|   0.960|               |               |              |
|GRB200503721|  92.930|               |               |              |
|GRB140605377|   0.512|   6.817196e+02|  -2.488219e-01| -1.714062e+01|
|GRB150601904|   0.768|   5.655834e+02|   1.474660e+00| -1.337000e+01|
|GRB211222768|   1.024|               |               |              |
|GRB220724988|  35.585|               |               |              |
|GRB150913161|  20.992|   2.480648e+02|  -8.397306e-01| -2.844791e+00|
|GRB170317666| 212.995|   3.584693e+02|  -1.116668e+00| -9.902344e+00|
|GRB220803402|   7.936|               |               |              |
|GRB190110726|   8.960|               |               |              |
|GRB210925800| 229.124|               |               |              |
|GRB110930564|  37.889|   7.602265e+01|  -4.475403e-02| -2.075837e+00|
|GRB190622368|  31.744|               |               |              |
|GRB150422294|  30.208|   3.517495e+01|   1.366899e+00| -2.080017e+00|
|GRB221022612|   0.256|               |               |              |
|GRB210308838|   0.384|               |               |              |
|GRB220320194|  19.968|               |               |              |
|GRB220910627|   1.600|               |               |              |
|GRB130906435|   8.192|   3.072320e+02|  -3.112942e-01| -3.301827e+00|
|GRB200623752|   0.704|               |               |              |
|GRB210427206|  18.688|               |               |              |
|GRB080804972|  24.704|   2.212021e+02|  -5.175154e-01| -1.904774e+00|
|GRB190510120|  69.633|               |               |              |
|GRB200709147|  51.969|               |               |              |
|GRB180822423|   8.448|               |               |              |
|GRB100204566|  32.513|   1.223948e+02|  -1.079469e+00| -2.760216e+00|
|GRB141215560|  11.264|   3.304149e+02|  -4.955053e-01| -2.959833e+00|
|GRB120521380|  91.134|   1.110307e+02|   4.897810e+00| -2.036000e+00|
|GRB191026350|  59.136|               |               |              |
|GRB210528586|   1.024|               |               |              |
|GRB180125891|  22.784|   6.737186e+01|  -8.573226e-01| -3.064346e+00|
|GRB221112263|  10.752|               |               |              |
|GRB100313288|  12.864|   1.852286e+02|  -4.288652e-01| -2.241002e+00|
|GRB210312169|  65.281|               |               |              |
|GRB200909168|  28.097|               |               |              |
|GRB141122875|  30.720|   3.093943e+01|  -1.756101e-01| -2.757501e+00|
|GRB150508945| 113.920|   6.909257e+01|  -1.180527e+00| -2.895556e+00|
|GRB121127914|   0.640|   9.645307e+02|  -5.990942e-01| -1.462188e+01|
|GRB160316139|  17.152|   5.946344e+01|   2.273029e-01| -2.056241e+00|
|GRB211104765|  39.681|               |               |              |
|GRB200411187|   1.440|               |               |              |
|GRB170209048|  39.677|   1.234011e+02|  -7.689872e-01| -2.925004e+00|
|GRB190204627|  41.216|               |               |              |
|GRB120420249|  25.600|   6.435129e+01|  -5.070123e-01| -2.139719e+00|
|GRB220622394|   0.512|               |               |              |
|GRB090920035|  26.624|   5.583808e+01|  -5.662816e-01| -2.477853e+00|
|GRB201229639|  77.826|               |               |              |
|GRB190425089|   7.680|               |               |              |
|GRB090412061|   0.896|   5.967103e+02|  -5.640915e-01| -3.349075e+00|
|GRB080831053|   0.576|   1.765626e+02|   8.805455e-01| -6.079528e+00|
|GRB100620119|  51.841|   1.532831e+03|  -1.218062e+00| -2.627292e+00|
|GRB110319628|  15.104|   5.178542e+01|   1.265144e+00| -2.195725e+00|
|GRB130830921|  36.352|   8.271097e+02|  -1.419091e+00| -1.841417e+00|
|GRB150627183|  64.577|   2.255229e+02|  -1.008627e+00| -2.179372e+00|
|GRB161230298|   0.448|   5.347946e+02|  -6.479979e-01| -6.850028e+00|
|GRB160909061|  18.432|   4.040855e+01|   8.592957e-01| -1.923825e+00|
|GRB160609941|  60.160|   5.229201e+01|  -3.544761e-01| -2.003334e+00|
|GRB101014175| 449.415|   2.017850e+02|  -1.120706e+00| -2.055746e+00|
|GRB150718656|  19.456|   1.372354e+02|  -4.615721e-01| -1.599121e+01|
|GRB220408311|  32.513|               |               |              |
|GRB220130968|  61.441|               |               |              |
|GRB190727846|  35.073|               |               |              |
|GRB090805622|  46.592|   8.929100e+01|  -9.931940e-01| -3.108672e+00|
|GRB160905471|  33.537|   1.002720e+03|  -8.734648e-01| -2.956237e+00|
|GRB190609315|  97.538|               |               |              |
|GRB190507270|  84.993|               |               |              |
|GRB110706477|  73.217|   1.113520e+02|  -4.466816e-01| -1.783124e+00|
|GRB230204130|   0.032|               |               |              |
|GRB081215880|   7.680|   1.164013e+02|  -2.789874e-01| -2.568832e+00|
|GRB210201567|  39.680|               |               |              |
|GRB210923124| 128.512|               |               |              |
|GRB201207977|  17.408|               |               |              |
|GRB200216380|   8.192|               |               |              |
|GRB150922883|   2.816|   8.582873e+01|   1.947574e-01| -3.227214e+00|
|GRB140608153|  71.681|   1.496656e+02|  -9.864493e-01| -8.154210e+00|
|GRB180404091|  80.897|   2.124747e+02|  -2.954402e-01| -3.414187e+00|
|GRB091207333|  27.073|   1.003805e+02|  -4.028186e-01| -2.230000e+00|
|GRB120709883|  27.328|   4.908990e+02|  -1.113280e+00| -3.304129e+00|
|GRB100819498|  12.544|   1.905713e+02|  -7.433196e-01| -1.646365e+00|
|GRB150923864|   1.792|   1.246500e+02|  -3.755178e-02| -2.715524e+00|
|GRB141012773|  37.633|   1.082939e+03|  -9.330295e-01| -4.861624e+00|
|GRB230116205|   7.933|               |               |              |
|GRB121205507|   2.816|               |               |              |
|GRB200311636|  52.481|               |               |              |
|GRB200928552|  14.848|               |               |              |
|GRB101013412|  15.360|   1.353795e+02|  -9.591521e-01| -2.448194e+00|
|GRB090309767|  56.513|   5.105845e+02|  -1.605031e+00| -8.455101e+00|
|GRB091015129|   3.840|   8.141959e+01|  -5.391634e-01| -2.910383e+01|
|GRB130121835| 178.691|   1.649205e+02|  -9.265869e-01| -2.167603e+00|
|GRB160416022|  26.621|   3.794367e+01|   7.200619e-02| -2.177874e+00|
|GRB211204144|  77.056|               |               |              |
|GRB201011837|  56.576|               |               |              |
|GRB101227536|  28.864|   7.952971e+02|  -7.599712e-01| -9.586608e+00|
|GRB150721732|  11.520|   1.171459e+02|  -8.979937e-01| -2.140703e+00|
|GRB201128746|  11.264|               |               |              |
|GRB210706571|   3.840|               |               |              |
|GRB200206706|  13.824|               |               |              |
|GRB200505994|   9.984|               |               |              |
|GRB190315512|  29.184|               |               |              |
|GRB110322558|  36.097|   7.217573e+01|  -8.006809e-01| -1.995478e+00|
|GRB190916590|  37.376|               |               |              |
|GRB140115899|  10.496|   5.043893e+01|  -1.549791e+00| -3.180376e+00|
|GRB190228973|  50.944|               |               |              |
|GRB100424729| 175.363|   2.721455e+02|  -6.014040e-01| -2.587170e+00|
|GRB120314412|   1.280|   3.749549e+02|  -9.251227e-02| -3.033263e+00|
|GRB170825784|  65.024|   6.010856e+01|  -7.315424e-02| -2.291504e+00|
|GRB150301045|   0.416|   1.494255e+02|  -4.246629e-01| -2.378370e+00|
|GRB180416340| 103.426|   1.259482e+02|  -1.362660e+00| -2.424586e+00|
|GRB160223670| 288.005|   2.292558e+02|  -1.112011e+00| -2.366608e+00|
|GRB150820880|   5.888|   5.247877e+01|   7.735890e-01| -1.584234e+00|
|GRB200207058|  15.616|               |               |              |
|GRB130919985|  17.408|   1.302460e+03|  -8.237258e-01| -7.063246e+00|
|GRB190226515|   0.192|               |               |              |
|GRB160227831|   7.680|   5.815842e+02|  -4.915118e-01| -1.714062e+01|
|GRB120212353|   0.864|   4.772156e+02|  -1.318006e-01| -2.241273e+00|
|GRB150322066|  15.613|   4.209026e+02|  -7.504713e-01| -2.466796e+00|
|GRB180605458|  24.064|   6.398347e+02|  -6.588361e-01| -3.134230e+00|
|GRB151114645|  34.816|   3.020649e+02|  -7.369337e-01| -3.305801e+00|
|GRB100204024|  49.665|   1.959621e+02|  -9.355288e-01| -8.694540e+00|
|GRB180611145|   8.960|   2.106718e+02|  -8.844042e-01| -2.170404e+00|
|GRB150313657|   5.120|   9.391585e+01|  -1.423045e+00| -3.341022e+00|
|GRB180807097|  54.272|               |               |              |
|GRB210801649|   5.376|               |               |              |
|GRB080815917|   0.832|   1.176338e+02|  -5.161942e-01| -1.575247e+00|
|GRB150830128|  44.801|   1.118111e+02|  -1.498611e+00| -8.244636e+00|
|GRB220831664|   2.816|               |               |              |
|GRB200703341|   0.704|               |               |              |
|GRB121027038| 166.915|   1.442363e+02|  -6.695772e-01| -1.980266e+00|
|GRB210113379|  38.400|               |               |              |
|GRB130722021|  81.408|               |               |              |
|GRB081226509|   0.192|   3.598159e+02|  -3.993676e-01| -1.862645e+01|
|GRB191225735|  82.690|               |               |              |
|GRB200211310|  78.594|               |               |              |
|GRB150630958|  39.169|   2.653578e+02|  -1.184757e+00| -2.063850e+00|
|GRB181020792|  15.104|               |               |              |
|GRB120801920| 479.239|   3.411284e+02|  -1.091349e+00| -1.192768e+01|
|GRB181026540|  44.800|               |               |              |
|GRB220711675|   0.256|               |               |              |
|GRB190324947|  26.881|               |               |              |
|GRB211024065|   0.064|               |               |              |
|GRB161119633|  77.824|   4.062779e+01|  -7.867507e-01| -2.387820e+00|
|GRB170906030|  78.849|   2.741907e+02|  -1.030255e+00| -2.201652e+00|
|GRB141102536|   2.624|   5.986384e+02|  -6.763711e-01| -2.599141e+00|
|GRB090706283|  57.857|   1.610389e+02|  -1.573197e+00| -4.356832e+00|
|GRB210524208|  20.992|               |               |              |
|GRB171119992|  26.369|   3.082263e+02|  -9.347296e-01| -2.613085e+00|
|GRB090718720|  76.481|   5.756479e+02|  -1.072604e+00| -2.388165e+00|
|GRB170115743|  44.288|   1.150763e+03|  -8.355250e-01| -2.704238e+00|
|GRB170208758|   7.168|   1.767166e+02|  -9.818795e-01| -2.157480e+00|
|GRB150604284|  52.736|   2.815472e+02|  -4.130672e-01| -1.021385e+01|
|GRB130403866|  22.784|   1.196420e+02|  -3.511116e-01| -7.088653e+00|
|GRB120203812|  10.240|   2.174321e+02|  -1.306612e+00| -6.343195e+00|
|GRB170629537|  28.160|   1.550461e+02|  -1.295943e+00| -7.419828e+00|
|GRB090630311|   2.880|   6.452754e+01|  -1.342461e+00| -2.067188e+01|
|GRB090320418|   7.936|   2.027593e+02|  -6.214567e-01| -2.106124e+00|
|GRB181231359|   3.072|               |               |              |
|GRB190714573|  66.049|               |               |              |
|GRB190930400| 185.860|               |               |              |
|GRB201226553|  70.914|               |               |              |
|GRB210627748|  15.680|               |               |              |
|GRB150908408|  60.928|   2.796131e+01|   3.575254e+00| -1.652622e+00|
|GRB170308221|  11.520|   1.806071e+02|  -5.825672e-01| -2.183368e+00|
|GRB170803415|  66.816|   7.851858e+01|  -1.250106e+00| -2.951886e+00|
|GRB120304248|   5.376|   1.469702e+03|  -6.419023e-01| -3.910972e+00|
|GRB200307894|   1.664|               |               |              |
|GRB110125894|   4.800|   2.029382e+01|  -5.501910e-01| -1.965251e+00|
|GRB210309999|   0.512|               |               |              |
|GRB150222450|  65.281|   1.221140e+02|  -8.049452e-01| -1.884118e+00|
|GRB100718160|  32.641|   9.355440e+01|  -8.792187e-01| -2.443405e+00|
|GRB180718201|   7.168|               |               |              |
|GRB221022815|   6.912|               |               |              |
|GRB161128216|   6.912|   1.538543e+02|  -1.140699e+00| -1.447031e+01|
|GRB210324833|  67.073|               |               |              |
|GRB100918863|  88.834|   5.032753e+02|  -7.771851e-01| -3.311648e+00|
|GRB130830864|  83.968|               |               |              |
|GRB220309253|  62.208|               |               |              |
|GRB170402961|  22.528|   5.273125e+00|  -1.585997e+00| -2.175218e+00|
|GRB120728434| 100.481|   8.810446e+01|  -1.170364e+00| -2.921669e+00|
|GRB190320052|  43.009|               |               |              |
|GRB180720213|   8.896|               |               |              |
|GRB110817191|   5.949|   1.337792e+02|  -7.748725e-01| -1.620213e+00|
|GRB141112539| 335.876|   8.564932e+00|  -1.224733e+00| -1.470283e+00|
|GRB210801581|  13.824|               |               |              |
|GRB120701654|   1.024|               |               |              |
|GRB090427644|   1.024|   3.038374e+02|  -6.531940e-01| -1.896602e+00|
|GRB110228011|  44.481|   4.969125e+01|   4.871421e-03| -2.105456e+00|
|GRB190607071|  37.888|               |               |              |
|GRB120926753|   3.072|   1.165111e+02|   7.359735e-01| -1.697258e+00|
|GRB220831550|  12.032|               |               |              |
|GRB120919309|  21.248|   1.519627e+02|  -8.005959e-01| -2.089403e+00|
|GRB220120619|   1.280|               |               |              |
|GRB120319983|  72.448|   7.426297e+02|  -1.252384e+00| -1.562731e+00|
|GRB190205938|  98.050|               |               |              |
|GRB210926044|   7.424|               |               |              |
|GRB150523396|  82.433|   5.452399e+02|  -5.556022e-01| -3.267608e+00|
|GRB110511616|   5.888|   3.279267e+01|   4.823458e-01| -1.947417e+00|
|GRB221107058| 231.428|               |               |              |
|GRB200407265|   3.072|               |               |              |
|GRB220823145|   1.088|               |               |              |
|GRB210929821|  10.752|               |               |              |
|GRB170301812|  12.544|   5.525792e+02|  -1.394141e+00| -1.602824e+00|
|GRB221118575|  17.920|               |               |              |
|GRB200612201| 984.084|               |               |              |
|GRB120323162|   4.352|   1.456476e+02|  -6.621565e-01| -1.818791e+00|
|GRB190905985|   0.704|               |               |              |
|GRB170424425|  53.249|   4.787672e+02|  -8.207103e-01| -2.205426e+00|
|GRB200619492|  50.432|               |               |              |
|GRB211109113| 285.701|               |               |              |
|GRB200129409|   0.112|               |               |              |
|GRB111024722|  65.025|   7.520642e+01|  -7.847859e-01| -2.073265e+00|
|GRB200924235|  58.113|               |               |              |
|GRB220702569|   3.840|               |               |              |
|GRB120611108|  49.921|   6.802528e+01|  -1.332788e+00| -2.731419e+01|
|GRB150305724|  16.128|   7.277675e+02|  -6.658457e-02| -2.141506e+00|
|GRB220704575|  22.016|               |               |              |
|GRB220620261|  48.385|               |               |              |
|GRB200722094|  64.769|               |               |              |
|GRB140817229|  26.112|   2.316013e+02|  -1.117827e+00| -7.236281e+00|
|GRB100517132|  19.840|   7.823145e+01|  -5.165505e-01| -1.632116e+00|
|GRB110720177|  11.200|   1.625843e+02|  -8.390227e-01| -1.933290e+00|
|GRB130928537| 132.994|   1.414276e+02|  -6.529870e-01| -7.263486e+00|
|GRB151111356|  46.336|   1.186465e+02|  -7.834093e-02| -1.326562e+01|
|GRB121014638|   0.576|   3.336771e+02|  -1.148783e+00| -1.680433e+00|
|GRB101004426| 161.027|   1.938307e+02|  -1.398724e+00| -4.043582e+00|
|GRB090514734|  54.401|   8.591090e+01|  -1.213617e+00| -2.237037e+00|
|GRB180131528|   0.960|   8.237513e+02|  -3.374556e-01| -6.185841e+00|
|GRB090928646|  15.616|   2.329061e+02|  -5.608495e-01| -1.969999e+00|
|GRB150418819|   3.840|   4.443285e+01|  -5.759305e-01| -2.460877e+00|
|GRB180201706|   0.192|   1.076184e+03|  -9.821340e-01| -7.629395e+00|
|GRB120719146|  75.009|   9.522993e+01|  -6.869389e-01| -1.903826e+00|
|GRB081118876|  20.736|   6.272816e+01|  -6.319442e-01| -2.201905e+00|
|GRB090320045|   2.368|   3.074568e+02|  -1.088426e+00| -4.828318e+00|
|GRB090623107|  47.105|   3.948045e+02|  -7.759818e-01| -2.113326e+00|
|GRB111103948|   0.320|   1.337159e+03|  -5.784050e-01| -6.848126e+00|
|GRB210228058|   3.776|               |               |              |
|GRB191221802|   2.240|               |               |              |
|GRB230116374|   0.064|               |               |              |
|GRB210626991|  46.337|               |               |              |
|GRB090620901|   0.960|   7.473507e+02|  -5.540781e-01| -1.534795e+01|
|GRB090227310|  16.189|   1.690609e+03|  -9.209647e-01| -1.923927e+00|
|GRB141011467|  12.029|   7.049849e+02|  -7.214957e-01| -1.972032e+00|
|GRB150324164|   4.608|   7.082114e+02|  -5.763429e-01| -2.372676e+00|
|GRB151210041|  37.633|   1.707739e+02|  -1.429221e+00| -1.247862e+01|
|GRB121109338|  22.144|   3.173202e+02|  -9.064851e-01| -2.051791e+00|
|GRB080823363|  43.456|   5.854986e+01|  -8.579061e-01| -1.636403e+00|
|GRB220727192|   6.461|               |               |              |
|GRB210904866|   3.904|               |               |              |
|GRB200616654|  24.576|               |               |              |
|GRB130404840|  34.561|   1.026236e+01|  -1.614420e+00| -1.892038e+00|
|GRB220115709|  25.345|               |               |              |
|GRB221025040|   0.448|               |               |              |
|GRB090610723| 146.434|   1.129259e+02|  -5.996802e-01| -2.637135e+00|
|GRB090701225|   4.160|   5.876680e+01|  -9.451199e-01| -2.147485e+00|
|GRB090328401|  61.697|   6.505475e+02|  -1.082825e+00| -2.389771e+00|
|GRB180124392|  86.528|   9.131441e+02|  -1.106769e+00| -6.313449e+00|
|GRB190824616| 108.546|               |               |              |
|GRB220820998|   0.128|               |               |              |
|GRB210704684|  43.521|               |               |              |
|GRB150228845|   4.125|   1.025694e+03|  -7.840170e-01| -2.424788e+00|
|GRB220905433| 144.640|               |               |              |
|GRB110709862|   5.376|   5.340467e+01|  -7.872884e-01| -2.435729e+00|
|GRB170801690|  10.240|   7.541248e+01|   4.422661e-01| -1.996361e+00|
|GRB200412290|  12.606|               |               |              |
|GRB190324348|  52.225|               |               |              |
|GRB150219522|  36.097|   1.681707e+02|  -6.546971e-01| -2.217685e+00|
|GRB220831581|   1.728|               |               |              |
|GRB211224980|   0.192|               |               |              |
|GRB221226945|   4.864|               |               |              |
|GRB131113483|  60.545|   1.440379e+02|  -4.700912e-01| -2.543093e+00|
|GRB210605215|   0.448|               |               |              |
|GRB190310398|  59.393|               |               |              |
|GRB090327404|  14.080|   8.264994e+01|  -3.948301e-01| -2.439841e+00|
|GRB090117335|  27.264|   1.401421e+02|  -1.261055e+00| -1.827657e+00|
|GRB160131116|  34.816|   6.353382e+01|  -1.572567e-02| -2.000477e+00|
|GRB180401846|  23.040|   8.820311e+01|  -5.406788e-01| -1.212000e+01|
|GRB220725244|   0.512|               |               |              |
|GRB210228277|  42.753|               |               |              |
|GRB110420946|   0.128|   3.535197e+02|  -2.288367e-01| -9.536743e+00|
|GRB221126547|   7.424|               |               |              |
|GRB170219110|  10.240|   7.150983e+01|   8.038096e-03| -2.319394e+00|
|GRB140721336| 127.746|   1.507134e+02|  -1.088725e+00| -2.255660e+00|
|GRB200105914|  16.896|               |               |              |
|GRB190626254|  23.808|               |               |              |
|GRB211204493| 139.266|               |               |              |
|GRB140329272|   0.064|   4.137592e+02|  -2.823210e-01| -9.258270e+00|
|GRB180122129|   4.352|   6.697651e+01|  -1.604063e+00| -1.126872e+01|
|GRB210625891|   4.096|               |               |              |
|GRB221228204|  86.274|               |               |              |
|GRB150817251|  13.312|   1.994792e+02|  -6.527327e-01| -3.849721e+00|
|GRB150222832|  74.752|   8.369872e+01|  -1.504442e-01| -4.308549e+00|
|GRB150923429|   0.192|   2.193840e+02|   1.214409e+00| -1.910362e+01|
|GRB100907751|   5.376|   7.658852e+01|  -5.770481e-01| -7.032380e+00|
|GRB191019970| 137.730|               |               |              |
|GRB131211510|  44.800|   6.835033e+01|  -1.319100e+00| -1.718460e+01|
|GRB190222312|  13.824|               |               |              |
|GRB210202841|  17.664|               |               |              |
|GRB210615892|   6.400|               |               |              |
|GRB160411062|   0.672|   1.615329e+02|   3.130793e-01| -4.953921e+00|
|GRB210519277|  25.024|               |               |              |
|GRB130509078|  24.320|   1.717489e+02|  -1.810396e+00| -2.105587e+00|
|GRB120415076|  12.544|   6.818591e+01|  -7.567455e-02| -1.439989e+00|
|GRB190303240|  64.768|               |               |              |
|GRB141230871|   0.224|   5.940583e+01|   6.767139e-01| -1.640892e+00|
|GRB130609902| 191.491|   5.209636e+02|  -8.555558e-01| -2.798844e+00|
|GRB190419414| 212.741|               |               |              |
|GRB161213295|  23.296|               |               |              |
|GRB220921462| 209.988|               |               |              |
|GRB201221978|   7.168|               |               |              |
|GRB220117199| 115.458|               |               |              |
|GRB161004964|  12.800|   1.355809e+02|  -8.107229e-01| -2.392184e+00|
|GRB200522650|  30.977|               |               |              |
|GRB150522433|  43.776|   5.756359e+02|  -1.258980e+00| -3.843561e+00|
|GRB190619595| 134.914|               |               |              |
|GRB110118857|  34.561|   5.829891e+01|  -4.593332e-01| -2.173276e+00|
|GRB181008877| 224.516|               |               |              |
|GRB220721021|  17.920|               |               |              |
|GRB110625579|  33.281|   6.461806e+01|   5.012642e-01| -1.940739e+00|
|GRB190330694|  36.097|               |               |              |
|GRB180731891|  31.233|               |               |              |
|GRB201201120|  44.288|               |               |              |
|GRB150708339|  95.234|   1.528279e+02|  -1.150322e+00| -2.141446e+00|
|GRB120121101|  18.432|   9.040485e+01|  -7.428194e-01| -2.856352e+00|
|GRB170510217| 127.746|   3.659475e+02|  -1.029861e+00| -2.277343e+00|
|GRB170802638|   2.240|   5.409509e+02|  -7.256588e-01| -2.070378e+00|
|GRB150523690| 114.690|   1.929983e+02|  -1.266248e+00| -1.885591e+00|
|GRB211019250|  47.361|               |               |              |
|GRB211229145| 119.807|               |               |              |
|GRB220421346|   6.429|               |               |              |
|GRB140619490|   0.448|   2.439339e+02|  -5.019913e-01| -9.052113e+00|
|GRB170607946|  18.176|   5.714997e+02|  -7.522203e-01| -2.710294e+00|
|GRB101205309|   7.936|   2.750185e+02|  -5.663722e-01| -1.746230e+01|
|GRB100625773|   0.240|   4.821331e+02|  -5.933414e-01| -1.223786e+01|
|GRB180524416|  13.312|   1.105012e+03|  -6.922599e-01| -1.664270e+00|
|GRB090926914|  64.001|   8.233972e+01|   2.346046e-01| -3.342915e+00|
|GRB170323058|  33.536|   3.174796e+01|   1.981621e-01| -2.103541e+00|
|GRB090316311|  10.240|   1.321912e+02|  -1.135297e+00| -5.450454e+00|
|GRB140710537|   0.384|   2.273371e+02|   6.394512e-01| -2.422266e+00|
|GRB090907017|  39.489|   2.470224e+02|  -5.140634e-01| -1.751039e+00|
|GRB181222279| 130.691|               |               |              |
|GRB150423285|  14.336|   7.596981e+01|  -6.522684e-01| -2.273951e+00|
|GRB190519309|  43.521|               |               |              |
|GRB201218798|  75.265|               |               |              |
|GRB181119649|  25.344|               |               |              |
|GRB220308233|  32.768|               |               |              |
|GRB090117632|  86.017|   2.824951e+02|  -1.282359e+00| -2.038769e+00|
|GRB200320414|   9.021|               |               |              |
|GRB101224998|  18.688|   1.725273e+02|  -5.921682e-01| -2.567673e+00|
|GRB190331093|   4.800|               |               |              |
|GRB180823442|  47.745|               |               |              |
|GRB170504734|   0.704|               |               |              |
|GRB110721200|  21.822|   4.651933e+02|  -1.027921e+00| -1.779303e+00|
|GRB111107076|  77.185|   1.842576e+02|  -7.276048e-01| -6.514013e+00|
|GRB150712846|  59.648|   2.284369e+02|  -7.724673e-01| -7.170410e+00|
|GRB170915161|  15.613|   1.425977e+02|  -7.645418e-01| -2.048981e+00|
|GRB190712018|   1.792|               |               |              |
|GRB200103678|   9.984|               |               |              |
|GRB170125102|   0.672|               |               |              |
|GRB220305676|  27.137|               |               |              |
|GRB110609425|  33.024|   8.301320e+01|  -1.149064e+00| -1.981112e+00|
|GRB180821653|  13.568|               |               |              |
|GRB101206036|  34.813|   4.337194e+02|  -1.135228e+00| -2.153500e+00|
|GRB120919052| 118.018|   2.234681e+02|  -8.500534e-01| -2.168590e+00|
|GRB171207809|  25.600|   1.810465e+02|  -9.695840e-01| -3.884589e+00|
|GRB140706815|  43.776|   7.839101e+01|  -1.008786e+00| -2.601704e+00|
|GRB210415284|  16.896|               |               |              |
|GRB120612687|   0.256|   9.815550e+02|  -5.421199e-01| -1.042500e+01|
|GRB230220892|  28.672|               |               |              |
|GRB170614505|   5.376|   7.558098e+01|  -5.272950e-01| -2.509129e+00|
|GRB150603105|  67.328|   4.440753e+01|  -8.035664e-01| -2.720343e+00|
|GRB110702187|  34.369|   7.786281e+01|  -1.603675e-01| -6.054505e+00|
|GRB150201574|  15.616|   1.252563e+02|  -9.927314e-01| -2.645259e+00|
|GRB200914534|  65.281|               |               |              |
|GRB190810675|   0.160|               |               |              |
|GRB220523175|   7.680|               |               |              |
|GRB090608052|  21.504|   2.539467e+02|  -1.642350e+00| -7.086621e+00|
|GRB200517786|  27.392|               |               |              |
|GRB100118100|   9.216|   7.548055e+02|  -1.269692e-01| -2.430031e+00|
|GRB111120556|  98.626|   6.678596e+01|  -1.076312e+00| -2.771958e+00|
|GRB210102861|  83.970|               |               |              |
|GRB210802839|  10.240|               |               |              |
|GRB120926426|  60.161|   2.379946e+02|  -9.906170e-01| -2.343016e+00|
|GRB130627372|  35.840|   1.006275e+02|  -9.852166e-01| -1.329716e+01|
|GRB101102840|  43.520|   1.536728e+02|  -5.222652e-01| -1.555496e+00|
|GRB141003564|   8.704|   5.039355e+01|  -7.829505e-01| -2.401732e+00|
|GRB140430716|  26.368|   1.159969e+02|  -5.715278e-01| -2.036432e+00|
|GRB180610377| 163.331|   1.016852e+02|  -1.001995e+00| -1.661814e+00|
|GRB091112737|  24.576|   6.782327e+02|  -1.102902e+00| -2.210857e+00|
|GRB180816088|  34.561|               |               |              |
|GRB140911012| 116.736|   5.741160e+02|  -8.544290e-01| -2.453466e+00|
|GRB200714661|   3.328|               |               |              |
|GRB120222119|  29.440|   1.284688e+02|  -8.996014e-01| -2.528827e+00|
|GRB090718762|  23.744|   1.618354e+02|  -1.112374e+00| -2.436241e+00|
|GRB181224987|   1.088|               |               |              |
|GRB190411407|  18.688|               |               |              |
|GRB200111633|   6.016|               |               |              |
|GRB140110263|   9.472|   1.462343e+03|  -6.612541e-01| -2.459412e+00|
|GRB150726877|  46.849|   5.160627e+01|  -4.942761e-02| -1.682323e+00|
|GRB210917157|   7.040|               |               |              |
|GRB200925610|  50.176|               |               |              |
|GRB201221591|   0.032|               |               |              |
|GRB090531775|   0.768|   1.659394e+03|  -6.329355e-01| -8.628751e+00|
|GRB100805845|  58.430|   7.145165e+01|   2.853904e-01| -2.072632e+00|
|GRB210318131|  24.320|               |               |              |
|GRB230110649|   6.848|               |               |              |
|GRB090528173|  35.905|   4.012205e+01|  -5.304306e-01| -2.246463e+00|
|GRB081231140|  28.736|   2.517603e+02|  -1.170484e+00| -1.971332e+00|
|GRB120908873|  46.849|   2.791440e+02|  -1.187873e+00| -2.918349e+00|
|GRB180311074|   0.960|   3.299301e+02|  -9.109765e-01| -1.617890e+00|
|GRB141128962|   0.272|   1.642563e+02|  -8.988203e-01| -2.708416e+00|
|GRB150118409|  40.193|   7.701132e+02|  -9.660724e-01| -4.059436e+00|
|GRB180606730|   6.080|   8.132078e+02|  -1.287761e+00| -5.189323e+00|
|GRB150527662|  63.233|   3.223816e+02|  -1.350157e+00| -1.045261e+01|
|GRB141121414|   3.840|   1.271528e+02|  -3.305713e-01| -2.637001e+00|
|GRB100504806|  16.512|   8.127497e+01|  -5.906775e-01| -3.697624e+00|
|GRB100510810|  31.169|   6.426194e+01|  -7.851790e-01| -2.878669e+00|
|GRB111025078|  51.712|   1.831976e+02|  -8.652568e-01| -3.683752e+00|
|GRB131216081|  19.262|   3.452198e+02|  -6.085239e-01| -1.989231e+00|
|GRB150711766|  82.177|   7.558894e+01|  -9.993583e-01| -2.185028e+00|
|GRB210712405|   7.168|               |               |              |
|GRB200601097| 153.859|               |               |              |
|GRB170923101|  46.080|   1.425575e+03|  -1.174057e+00| -1.956933e+00|
|GRB101128322|   8.192|   1.069763e+02|  -2.807649e-01| -2.140120e+00|
|GRB230102015|   0.176|               |               |              |
|GRB200101861|   9.984|               |               |              |
|GRB201105482|   0.960|               |               |              |
|GRB171227000|  37.633|   8.987153e+02|  -8.755313e-01| -2.572340e+00|
|GRB170718152|  40.192|   1.945698e+02|  -8.727632e-01| -3.555011e+00|
|GRB180910352|   0.256|               |               |              |
|GRB221226698| 128.514|               |               |              |
|GRB121225417|  58.497|   2.847611e+02|  -1.132606e+00| -2.150043e+00|
|GRB160225809|  64.257|   1.126186e+02|  -7.929146e-01| -2.873157e+00|
|GRB180809485| 236.036|               |               |              |
|GRB221016986|  12.736|               |               |              |
|GRB200915144|   1.536|               |               |              |
